XDP_action  ,packets                  ,packets/sec       ,time     
XDP_ABORTED ,0                        ,0                 ,0.000000
XDP_DROP    ,0                        ,0                 ,0.000000
XDP_PASS    ,0                        ,0                 ,0.000000
XDP_ABORTED ,0                        ,0                 ,0.100231
XDP_DROP    ,0                        ,0                 ,0.100237
XDP_PASS    ,0                        ,0                 ,0.100240
XDP_ABORTED ,0                        ,0                 ,0.200405
XDP_DROP    ,0                        ,0                 ,0.200411
XDP_PASS    ,0                        ,0                 ,0.200414
XDP_ABORTED ,0                        ,0                 ,0.300576
XDP_DROP    ,0                        ,0                 ,0.300582
XDP_PASS    ,0                        ,0                 ,0.300584
XDP_ABORTED ,0                        ,0                 ,0.400746
XDP_DROP    ,0                        ,0                 ,0.400752
XDP_PASS    ,0                        ,0                 ,0.400754
XDP_ABORTED ,0                        ,0                 ,0.500922
XDP_DROP    ,0                        ,0                 ,0.500928
XDP_PASS    ,0                        ,0                 ,0.500930
XDP_ABORTED ,0                        ,0                 ,0.601094
XDP_DROP    ,0                        ,0                 ,0.601100
XDP_PASS    ,0                        ,0                 ,0.601102
XDP_ABORTED ,0                        ,0                 ,0.701264
XDP_DROP    ,0                        ,0                 ,0.701270
XDP_PASS    ,0                        ,0                 ,0.701272
XDP_ABORTED ,0                        ,0                 ,0.801437
XDP_DROP    ,0                        ,0                 ,0.801442
XDP_PASS    ,0                        ,0                 ,0.801445
XDP_ABORTED ,0                        ,0                 ,0.901607
XDP_DROP    ,0                        ,0                 ,0.901613
XDP_PASS    ,0                        ,0                 ,0.901615
XDP_ABORTED ,0                        ,0                 ,1.001780
XDP_DROP    ,0                        ,0                 ,1.001786
XDP_PASS    ,0                        ,0                 ,1.001788
XDP_ABORTED ,0                        ,0                 ,1.102072
XDP_DROP    ,0                        ,0                 ,1.102078
XDP_PASS    ,281991                  ,2811734         ,1.102079
XDP_ABORTED ,0                        ,0                 ,1.202270
XDP_DROP    ,15696                   ,156648           ,1.202277
XDP_PASS    ,725571                  ,4426927         ,1.202280
XDP_ABORTED ,0                        ,0                 ,1.302509
XDP_DROP    ,262496                  ,2461848         ,1.302527
XDP_PASS    ,979267                  ,2530633         ,1.302530
XDP_ABORTED ,0                        ,0                 ,1.402733
XDP_DROP    ,747928                  ,4843999         ,1.402740
XDP_PASS    ,998180                  ,188728           ,1.402742
