XDP_action;packets;packets/sec;time
XDP_ABORTED;0;0;0.000
XDP_DROP;0;0;0.000
XDP_PASS;0;0;0.000
XDP_ABORTED;0;0;0.100
XDP_DROP;0;0;0.100
XDP_PASS;0;0;0.100
XDP_ABORTED;0;0;0.200
XDP_DROP;0;0;0.200
XDP_PASS;0;0;0.200
XDP_ABORTED;0;0;0.301
XDP_DROP;0;0;0.301
XDP_PASS;0;0;0.301
XDP_ABORTED;0;0;0.401
XDP_DROP;0;0;0.401
XDP_PASS;0;0;0.401
XDP_ABORTED;0;0;0.501
XDP_DROP;0;0;0.501
XDP_PASS;0;0;0.501
XDP_ABORTED;0;0;0.601
XDP_DROP;0;0;0.601
XDP_PASS;0;0;0.601
XDP_ABORTED;0;0;0.701
XDP_DROP;0;0;0.701
XDP_PASS;0;0;0.701
XDP_ABORTED;0;0;0.801
XDP_DROP;0;0;0.801
XDP_PASS;1621;16184;0.801
XDP_ABORTED;0;0;0.902
XDP_DROP;0;0;0.902
XDP_PASS;7639;60068;0.902
XDP_ABORTED;0;0;1.002
XDP_DROP;0;0;1.002
XDP_PASS;13663;60125;1.002
XDP_ABORTED;0;0;1.102
XDP_DROP;71;709;1.102
XDP_PASS;19591;59179;1.102
XDP_ABORTED;0;0;1.202
XDP_DROP;408;3364;1.202
XDP_PASS;25264;56629;1.202
XDP_ABORTED;0;0;1.302
XDP_DROP;1161;7516;1.302
XDP_PASS;30523;52493;1.302
XDP_ABORTED;0;0;1.403
XDP_DROP;2285;11217;1.403
XDP_PASS;35407;48741;1.403
XDP_ABORTED;0;0;1.503
XDP_DROP;3723;14354;1.503
XDP_PASS;39991;45756;1.503
XDP_ABORTED;0;0;1.603
XDP_DROP;5545;18184;1.603
XDP_PASS;44177;41776;1.603
XDP_ABORTED;0;0;1.703
XDP_DROP;7690;21407;1.703
XDP_PASS;48034;38492;1.703
XDP_ABORTED;0;0;1.803
XDP_DROP;10140;24455;1.803
XDP_PASS;51599;35584;1.803
XDP_ABORTED;0;0;1.903
XDP_DROP;12862;27180;1.903
XDP_PASS;54880;32762;1.903
XDP_ABORTED;0;0;2.004
XDP_DROP;16013;31458;2.004
XDP_PASS;57752;28672;2.004
XDP_ABORTED;0;0;2.104
XDP_DROP;19544;35242;2.104
XDP_PASS;60235;24782;2.104
XDP_ABORTED;0;0;2.204
XDP_DROP;23409;38583;2.204
XDP_PASS;62372;21333;2.204
XDP_ABORTED;0;0;2.304
XDP_DROP;27610;41934;2.304
XDP_PASS;64184;18087;2.304
XDP_ABORTED;0;0;2.404
XDP_DROP;32168;45499;2.404
XDP_PASS;65630;14434;2.404
XDP_ABORTED;0;0;2.505
XDP_DROP;37098;49210;2.505
