XDP_action;packets;packets/sec;time
XDP_ABORTED;0;0;0.000
XDP_DROP;0;0;0.000
XDP_PASS;0;0;0.000
XDP_ABORTED;0;0;0.100
XDP_DROP;0;0;0.100
XDP_PASS;0;0;0.100
XDP_ABORTED;0;0;0.200
XDP_DROP;0;0;0.200
XDP_PASS;0;0;0.200
XDP_ABORTED;0;0;0.301
XDP_DROP;0;0;0.301
XDP_PASS;0;0;0.301
XDP_ABORTED;0;0;0.401
XDP_DROP;0;0;0.401
XDP_PASS;0;0;0.401
XDP_ABORTED;0;0;0.501
XDP_DROP;0;0;0.501
XDP_PASS;0;0;0.501
XDP_ABORTED;0;0;0.601
XDP_DROP;0;0;0.601
XDP_PASS;0;0;0.601
XDP_ABORTED;0;0;0.701
XDP_DROP;0;0;0.701
XDP_PASS;0;0;0.701
XDP_ABORTED;0;0;0.802
XDP_DROP;0;0;0.802
XDP_PASS;0;0;0.802
XDP_ABORTED;0;0;0.902
XDP_DROP;0;0;0.902
XDP_PASS;0;0;0.902
XDP_ABORTED;0;0;1.002
XDP_DROP;0;0;1.002
XDP_PASS;0;0;1.002
XDP_ABORTED;0;0;1.102
XDP_DROP;0;0;1.102
XDP_PASS;28676;286368;1.102
XDP_ABORTED;0;0;1.202
XDP_DROP;0;0;1.202
XDP_PASS;82974;542396;1.202
XDP_ABORTED;0;0;1.302
XDP_DROP;912;9104;1.302
XDP_PASS;138090;550163;1.302
XDP_ABORTED;0;0;1.403
XDP_DROP;6633;57105;1.403
XDP_PASS;177090;389282;1.403
XDP_ABORTED;0;0;1.503
XDP_DROP;13306;66601;1.503
XDP_PASS;211931;347738;1.503
XDP_ABORTED;0;0;1.603
XDP_DROP;20663;73445;1.603
XDP_PASS;245517;335287;1.603
XDP_ABORTED;0;0;1.703
XDP_DROP;27584;69103;1.703
XDP_PASS;279057;334887;1.703
XDP_ABORTED;0;0;1.803
XDP_DROP;34582;69890;1.803
XDP_PASS;312479;333791;1.803
XDP_ABORTED;0;0;1.903
XDP_DROP;43302;87056;1.903
XDP_PASS;345478;329446;1.903
XDP_ABORTED;0;0;2.003
XDP_DROP;54848;115330;2.003
XDP_PASS;378919;334035;2.003
XDP_ABORTED;0;0;2.104
XDP_DROP;67218;123543;2.104
XDP_PASS;412281;333196;2.104
XDP_ABORTED;0;0;2.204
XDP_DROP;80446;132117;2.204
XDP_PASS;445466;331442;2.204
XDP_ABORTED;0;0;2.304
XDP_DROP;92958;124975;2.304
XDP_PASS;478899;333940;2.304
XDP_ABORTED;0;0;2.404
XDP_DROP;101768;87990;2.404
XDP_PASS;512149;332086;2.404
XDP_ABORTED;0;0;2.504
XDP_DROP;109054;72766;2.504
