XDP_action;packets;packets/sec;time
XDP_ABORTED;0;0;0.000
XDP_DROP;0;0;0.000
XDP_PASS;0;0;0.000
XDP_ABORTED;0;0;0.100
XDP_DROP;0;0;0.100
XDP_PASS;234758239;0;0.100
XDP_ABORTED;0;0;0.200
XDP_DROP;0;0;0.200
XDP_PASS;234758239;0;0.200
XDP_ABORTED;0;0;0.301
XDP_DROP;0;0;0.301
XDP_PASS;234758239;0;0.301
XDP_ABORTED;0;0;0.401
XDP_DROP;0;0;0.401
XDP_PASS;234758239;0;0.401
XDP_ABORTED;0;0;0.501
XDP_DROP;0;0;0.501
XDP_PASS;234758239;0;0.501
XDP_ABORTED;0;0;0.601
XDP_DROP;0;0;0.601
XDP_PASS;235307223;5478297;0.601
XDP_ABORTED;0;0;0.702
XDP_DROP;0;0;0.702
XDP_PASS;236320890;10107249;0.702
XDP_ABORTED;0;0;0.802
XDP_DROP;0;0;0.802
XDP_PASS;237332415;10097166;0.802
XDP_ABORTED;0;0;0.902
XDP_DROP;0;0;0.902
XDP_PASS;238345048;10102183;0.902
XDP_ABORTED;0;0;1.002
XDP_DROP;0;0;1.002
XDP_PASS;239356983;10095436;1.002
XDP_ABORTED;0;0;1.102
XDP_DROP;599;5981;1.102
XDP_PASS;240363073;10046368;1.102
XDP_ABORTED;0;0;1.202
XDP_DROP;17701;170786;1.202
XDP_PASS;241356850;9924196;1.202
XDP_ABORTED;0;0;1.303
XDP_DROP;64253;464721;1.303
XDP_PASS;242322200;9636929;1.303
XDP_ABORTED;0;0;1.403
XDP_DROP;136007;716604;1.403
XDP_PASS;243261706;9382805;1.403
XDP_ABORTED;0;0;1.503
XDP_DROP;229403;932539;1.503
XDP_PASS;244175805;9127078;1.503
XDP_ABORTED;0;0;1.603
XDP_DROP;345384;1158394;1.603
XDP_PASS;245071033;8941365;1.603
XDP_ABORTED;0;0;1.703
XDP_DROP;486230;1404985;1.703
XDP_PASS;245942721;8695354;1.703
XDP_ABORTED;0;0;1.803
XDP_DROP;644510;1580734;1.803
XDP_PASS;246776327;8325175;1.803
XDP_ABORTED;0;0;1.904
XDP_DROP;829978;1848653;1.904
XDP_PASS;247604400;8253816;1.904
XDP_ABORTED;0;0;2.004
XDP_DROP;1005467;1752565;2.004
XDP_PASS;248255362;6500999;2.004
XDP_ABORTED;0;0;2.104
XDP_DROP;1198108;1922529;2.104
XDP_PASS;248860993;6044110;2.104
XDP_ABORTED;0;0;2.204
XDP_DROP;1461466;2628497;2.204
XDP_PASS;249610235;7477965;2.204
XDP_ABORTED;0;0;2.304
XDP_DROP;1749277;2874422;2.304
XDP_PASS;250334299;7224208;2.304
XDP_ABORTED;0;0;2.405
