XDP_action;packets;packets/sec;time
XDP_ABORTED;0;0;0.000000
XDP_DROP;0;0;0.000000
XDP_PASS;0;0;0.000000
XDP_ABORTED;0;0;0.100215
XDP_DROP;0;0;0.100221
XDP_PASS;0;0;0.100224
XDP_ABORTED;0;0;0.200387
XDP_DROP;0;0;0.200393
XDP_PASS;0;0;0.200396
XDP_ABORTED;0;0;0.300558
XDP_DROP;0;0;0.300564
XDP_PASS;0;0;0.300567
XDP_ABORTED;0;0;0.400732
XDP_DROP;0;0;0.400738
XDP_PASS;0;0;0.400741
XDP_ABORTED;0;0;0.500905
XDP_DROP;0;0;0.500911
XDP_PASS;0;0;0.500913
XDP_ABORTED;0;0;0.601080
XDP_DROP;0;0;0.601087
XDP_PASS;79770;796299;0.601089
XDP_ABORTED;0;0;0.701305
XDP_DROP;0;0;0.701312
XDP_PASS;185093;1050869;0.701314
XDP_ABORTED;0;0;0.801507
XDP_DROP;0;0;0.801513
XDP_PASS;290286;1049814;0.801515
XDP_ABORTED;0;0;0.901729
XDP_DROP;0;0;0.901735
XDP_PASS;395377;1048581;0.901738
XDP_ABORTED;0;0;1.001933
XDP_DROP;0;0;1.001939
XDP_PASS;500712;1051211;1.001941
XDP_ABORTED;0;0;1.102112
XDP_DROP;0;0;1.102118
XDP_PASS;605837;1049371;1.102120
XDP_ABORTED;0;0;1.202306
XDP_DROP;8887;88698;1.202312
XDP_PASS;701894;958707;1.202315
XDP_ABORTED;0;0;1.302496
XDP_DROP;51656;426877;1.302503
XDP_PASS;764097;620847;1.302505
XDP_ABORTED;0;0;1.402684
XDP_DROP;135766;839520;1.402691
XDP_PASS;785044;209077;1.402693
XDP_ABORTED;0;0;1.502879
XDP_DROP;236173;1002038;1.502894
XDP_PASS;790062;50078;1.502896
XDP_ABORTED;0;0;1.603089
XDP_DROP;336234;998598;1.603095
XDP_PASS;795068;49960;1.603097
XDP_ABORTED;0;0;1.703250
XDP_DROP;436492;1000965;1.703257
XDP_PASS;800076;49999;1.703259
XDP_ABORTED;0;0;1.803633
XDP_DROP;536758;998835;1.803639
XDP_PASS;805091;49959;1.803642
XDP_ABORTED;0;0;1.903799
XDP_DROP;637013;1000885;1.903806
XDP_PASS;810109;50097;1.903808
XDP_ABORTED;0;0;2.003983
XDP_DROP;737209;1000129;2.003989
XDP_PASS;815115;49968;2.003991
