XDP_action;packets;packets/sec;time
XDP_ABORTED;0;0;0.000
XDP_DROP;0;0;0.000
XDP_PASS;0;0;0.000
XDP_ABORTED;0;0;0.100
XDP_DROP;0;0;0.100
XDP_PASS;0;0;0.100
XDP_ABORTED;0;0;0.200
XDP_DROP;0;0;0.200
XDP_PASS;0;0;0.200
XDP_ABORTED;0;0;0.301
XDP_DROP;0;0;0.301
XDP_PASS;0;0;0.301
XDP_ABORTED;0;0;0.401
XDP_DROP;0;0;0.401
XDP_PASS;0;0;0.401
XDP_ABORTED;0;0;0.501
XDP_DROP;0;0;0.501
XDP_PASS;0;0;0.501
XDP_ABORTED;0;0;0.601
XDP_DROP;0;0;0.601
XDP_PASS;4016;40095;0.601
XDP_ABORTED;0;0;0.701
XDP_DROP;0;0;0.701
XDP_PASS;10025;59945;0.701
XDP_ABORTED;0;0;0.801
XDP_DROP;0;0;0.802
XDP_PASS;16037;60018;0.802
XDP_ABORTED;0;0;0.902
XDP_DROP;0;0;0.902
XDP_PASS;22055;60069;0.902
XDP_ABORTED;0;0;1.002
XDP_DROP;0;0;1.002
XDP_PASS;28062;59968;1.002
XDP_ABORTED;0;0;1.102
XDP_DROP;0;0;1.102
XDP_PASS;34076;60033;1.102
XDP_ABORTED;0;0;1.202
XDP_DROP;0;0;1.202
XDP_PASS;40079;59927;1.202
XDP_ABORTED;0;0;1.302
XDP_DROP;50;499;1.302
XDP_PASS;46042;59512;1.302
XDP_ABORTED;0;0;1.403
XDP_DROP;167;1168;1.403
XDP_PASS;51938;58846;1.403
XDP_ABORTED;0;0;1.503
XDP_DROP;359;1916;1.503
XDP_PASS;57763;58139;1.503
XDP_ABORTED;0;0;1.603
XDP_DROP;630;2705;1.603
XDP_PASS;63501;57270;1.603
XDP_ABORTED;0;0;1.703
XDP_DROP;984;3533;1.703
XDP_PASS;69153;56404;1.703
XDP_ABORTED;0;0;1.803
XDP_DROP;1409;4242;1.803
XDP_PASS;74747;55838;1.803
XDP_ABORTED;0;0;1.904
XDP_DROP;1918;5080;1.904
XDP_PASS;80250;54923;1.904
XDP_ABORTED;0;0;2.004
XDP_DROP;2492;5730;2.004
XDP_PASS;85684;54246;2.004
XDP_ABORTED;0;0;2.104
XDP_DROP;3152;6587;2.104
XDP_PASS;91040;53458;2.104
XDP_ABORTED;0;0;2.204
XDP_DROP;3923;7696;2.204
XDP_PASS;96274;52248;2.204
XDP_ABORTED;0;0;2.304
XDP_DROP;4799;8743;2.304
XDP_PASS;101408;51240;2.304
XDP_ABORTED;0;0;2.404
XDP_DROP;5746;9451;2.404
XDP_PASS;106471;50530;2.405
XDP_ABORTED;0;0;2.505
XDP_DROP;6777;10290;2.505
