XDP_action;packets;packets/sec;time
XDP_ABORTED;0;0;0.000
XDP_DROP;0;0;0.000
XDP_PASS;0;0;0.000
XDP_ABORTED;0;0;0.100
XDP_DROP;0;0;0.100
XDP_PASS;0;0;0.100
XDP_ABORTED;0;0;0.200
XDP_DROP;0;0;0.200
XDP_PASS;0;0;0.200
XDP_ABORTED;0;0;0.301
XDP_DROP;0;0;0.301
XDP_PASS;0;0;0.301
XDP_ABORTED;0;0;0.401
XDP_DROP;0;0;0.401
XDP_PASS;0;0;0.401
XDP_ABORTED;0;0;0.501
XDP_DROP;0;0;0.501
XDP_PASS;0;0;0.501
XDP_ABORTED;0;0;0.601
XDP_DROP;0;0;0.601
XDP_PASS;0;0;0.601
XDP_ABORTED;0;0;0.701
XDP_DROP;0;0;0.701
XDP_PASS;0;0;0.701
XDP_ABORTED;0;0;0.801
XDP_DROP;0;0;0.802
XDP_PASS;53799;536613;0.802
XDP_ABORTED;0;0;0.902
XDP_DROP;0;0;0.902
XDP_PASS;149280;951663;0.902
XDP_ABORTED;0;0;1.002
XDP_DROP;0;0;1.002
XDP_PASS;212098;627342;1.002
XDP_ABORTED;0;0;1.102
XDP_DROP;0;0;1.102
XDP_PASS;277150;649595;1.102
XDP_ABORTED;0;0;1.202
XDP_DROP;0;0;1.202
XDP_PASS;344667;674005;1.202
XDP_ABORTED;0;0;1.302
XDP_DROP;0;0;1.302
XDP_PASS;427126;823360;1.302
XDP_ABORTED;0;0;1.403
XDP_DROP;0;0;1.403
XDP_PASS;522017;947581;1.403
XDP_ABORTED;0;0;1.503
XDP_DROP;0;0;1.503
XDP_PASS;604982;827738;1.503
XDP_ABORTED;0;0;1.603
XDP_DROP;1696;16925;1.603
XDP_PASS;669737;646205;1.603
XDP_ABORTED;0;0;1.703
XDP_DROP;10253;85402;1.703
XDP_PASS;731925;620657;1.703
XDP_ABORTED;0;0;1.803
XDP_DROP;21285;110188;1.803
XDP_PASS;786768;547772;1.803
XDP_ABORTED;0;0;1.904
XDP_DROP;43766;224294;1.904
XDP_PASS;827409;405476;1.904
XDP_ABORTED;0;0;2.004
XDP_DROP;67286;234910;2.004
XDP_PASS;871070;436073;2.004
XDP_ABORTED;0;0;2.104
XDP_DROP;77212;99125;2.104
XDP_PASS;901792;306797;2.104
XDP_ABORTED;0;0;2.204
XDP_DROP;88269;110361;2.204
XDP_PASS;923865;220314;2.204
XDP_ABORTED;0;0;2.304
XDP_DROP;102320;140293;2.304
XDP_PASS;955829;319148;2.304
XDP_ABORTED;0;0;2.404
XDP_DROP;124176;218087;2.404
XDP_PASS;990935;350301;2.404
XDP_ABORTED;0;0;2.505
XDP_DROP;151160;269398;2.505
