XDP_action;packets;packets/sec;time
XDP_ABORTED;0;0;0,000
XDP_DROP;0;0;0,000
XDP_PASS;0;0;0,000
XDP_ABORTED;0;0;0,100
XDP_DROP;0;0;0,100
XDP_PASS;0;0;0,100
XDP_ABORTED;0;0;0,200
XDP_DROP;0;0;0,200
XDP_PASS;0;0;0,200
XDP_ABORTED;0;0;0,301
XDP_DROP;0;0;0,301
XDP_PASS;0;0;0,301
XDP_ABORTED;0;0;0,401
XDP_DROP;0;0;0,401
XDP_PASS;0;0;0,401
XDP_ABORTED;0;0;0,501
XDP_DROP;0;0;0,501
XDP_PASS;0;0;0,501
XDP_ABORTED;0;0;0,601
XDP_DROP;0;0;0,601
XDP_PASS;0;0;0,601
XDP_ABORTED;0;0;0,701
XDP_DROP;0;0;0,701
XDP_PASS;66;659;0,701
XDP_ABORTED;0;0;0,802
XDP_DROP;0;0;0,802
XDP_PASS;1882;18129;0,802
XDP_ABORTED;0;0;0,902
XDP_DROP;0;0;0,902
XDP_PASS;3884;19970;0,902
XDP_ABORTED;0;0;1,002
XDP_DROP;0;0;1,002
XDP_PASS;5895;20075;1,002
XDP_ABORTED;0;0;1,102
XDP_DROP;0;0;1,102
XDP_PASS;7898;19977;1,102
XDP_ABORTED;0;0;1,202
XDP_DROP;0;0;1,202
XDP_PASS;9900;19986;1,202
XDP_ABORTED;0;0;1,303
XDP_DROP;0;0;1,303
XDP_PASS;11902;19986;1,303
XDP_ABORTED;0;0;1,403
XDP_DROP;0;0;1,403
XDP_PASS;13904;19985;1,403
XDP_ABORTED;0;0;1,503
XDP_DROP;0;0;1,503
XDP_PASS;15908;20001;1,503
XDP_ABORTED;0;0;1,603
XDP_DROP;0;0;1,603
XDP_PASS;17918;20061;1,603
XDP_ABORTED;0;0;1,703
XDP_DROP;0;0;1,703
XDP_PASS;19918;19965;1,703
XDP_ABORTED;0;0;1,803
XDP_DROP;0;0;1,804
XDP_PASS;21921;19994;1,804
XDP_ABORTED;0;0;1,904
XDP_DROP;0;0;1,904
XDP_PASS;23924;19993;1,904
XDP_ABORTED;0;0;2,004
XDP_DROP;0;0;2,004
XDP_PASS;25925;19974;2,004
XDP_ABORTED;0;0;2,104
XDP_DROP;5;50;2,104
XDP_PASS;27933;20041;2,104
XDP_ABORTED;0;0;2,204
XDP_DROP;14;90;2,204
XDP_PASS;29924;19871;2,204
XDP_ABORTED;0;0;2,304
XDP_DROP;30;160;2,304
XDP_PASS;31910;19820;2,304
XDP_ABORTED;0;0;2,405
XDP_DROP;50;200;2,405
XDP_PASS;33894;19804;2,405
XDP_ABORTED;0;0;2,505
XDP_DROP;75;250;2,505
XDP_PASS;35870;19725;2,505
