XDP_action;packets;packets/sec;time
XDP_PASS;0;0;0.200
XDP_ABORTED;0;0;0.601
XDP_DROP;0;0;0.902
XDP_PASS;9900;19986;1.202
XDP_ABORTED;0;0;1.603
XDP_DROP;0;0;1.904
XDP_PASS;29924;19871;2.204
XDP_ABORTED;0;0;2.605
XDP_DROP;219;379;2.906
XDP_PASS;49609;19474;3.206
XDP_ABORTED;0;0;3.607
XDP_DROP;850;788;3.908
XDP_PASS;68901;19004;4.208
XDP_ABORTED;0;0;4.609
XDP_DROP;1884;1238;4.910
XDP_PASS;87772;18504;5.210
XDP_ABORTED;0;0;5.611
XDP_DROP;3390;1684;5.912
XDP_PASS;106181;18184;6.212
XDP_ABORTED;0;0;6.613
XDP_DROP;5307;2146;6.914
XDP_PASS;124176;17748;7.215
XDP_ABORTED;0;0;7.615
XDP_DROP;7656;2525;7.916
XDP_PASS;141749;17390;8.216
XDP_ABORTED;0;0;8.617
XDP_DROP;10453;2984;8.918
XDP_PASS;158843;16898;9.218
XDP_ABORTED;0;0;9.619
XDP_DROP;13739;3533;9.920
XDP_PASS;175438;16290;10.220
XDP_ABORTED;0;0;10.621
XDP_DROP;17502;3903;10.922
XDP_PASS;191596;15901;11.222
XDP_ABORTED;0;0;11.623
XDP_DROP;21612;4212;11.924
XDP_PASS;207415;15616;12.224
XDP_ABORTED;0;0;12.625
XDP_DROP;26055;4552;12.926
XDP_PASS;222933;15388;13.226
XDP_ABORTED;0;0;13.627
XDP_DROP;30868;5040;13.928
XDP_PASS;238038;14929;14.228
XDP_ABORTED;0;0;14.629
XDP_DROP;36102;5430;14.930
XDP_PASS;252704;14523;15.230
XDP_ABORTED;0;0;15.631
XDP_DROP;41791;5809;15.932
XDP_PASS;266921;14041;16.232
XDP_ABORTED;0;0;16.633
XDP_DROP;47905;6358;16.934
XDP_PASS;280717;13547;17.234
XDP_ABORTED;0;0;17.635
XDP_DROP;54412;6646;17.936
XDP_PASS;294146;13163;18.236
XDP_ABORTED;0;0;18.637
XDP_DROP;61211;6927;18.938
XDP_PASS;307304;12856;19.238
XDP_ABORTED;0;0;19.639
XDP_DROP;68353;7445;19.940
XDP_PASS;320090;12506;20.241
XDP_ABORTED;0;0;20.641
XDP_DROP;75889;7773;20.942
XDP_PASS;332500;12186;21.243
XDP_ABORTED;0;0;21.643
XDP_DROP;83762;8112;21.944
XDP_PASS;344553;11848;22.245
XDP_ABORTED;0;0;22.645
XDP_DROP;91987;8414;22.946
XDP_PASS;356246;11419;23.246
XDP_ABORTED;0;0;23.647
XDP_DROP;100612;8861;23.948
XDP_PASS;367551;11087;24.248
XDP_ABORTED;0;0;24.649
XDP_DROP;109609;9091;24.950
XDP_PASS;378472;10719;25.250
XDP_ABORTED;0;0;25.651
XDP_DROP;118984;9422;25.952
XDP_PASS;389036;10400;26.252
XDP_ABORTED;0;0;26.653
XDP_DROP;128704;9822;26.954
XDP_PASS;399260;10051;27.254
XDP_ABORTED;0;0;27.655
XDP_DROP;138689;10003;27.955
XDP_PASS;409282;9990;28.256
XDP_ABORTED;0;0;28.657
XDP_DROP;148707;9982;28.957
XDP_PASS;419302;10051;29.258
XDP_ABORTED;0;0;29.659
XDP_DROP;158726;9981;29.959
XDP_PASS;429315;9982;30.260
XDP_ABORTED;0;0;30.660
XDP_DROP;168746;10043;30.961
XDP_PASS;439334;9992;31.261
XDP_ABORTED;0;0;31.662
XDP_DROP;178760;9987;31.963
XDP_PASS;449354;10002;32.263
XDP_ABORTED;0;0;32.664
XDP_DROP;188780;9984;32.965
XDP_PASS;459373;9993;33.265
XDP_ABORTED;0;0;33.666
XDP_DROP;198799;10003;33.966
XDP_PASS;469392;10012;34.267
XDP_ABORTED;0;0;34.668
XDP_DROP;208817;9992;34.968
XDP_PASS;479406;9992;35.269
XDP_ABORTED;0;0;35.669
XDP_DROP;218836;9983;35.970
XDP_PASS;489425;9993;36.271
XDP_ABORTED;0;0;36.671
XDP_DROP;228855;10043;36.972
XDP_PASS;499445;10001;37.272
XDP_ABORTED;0;0;37.673
XDP_DROP;238870;9993;37.974
XDP_PASS;509463;9992;38.274
XDP_ABORTED;0;0;38.675
XDP_DROP;248889;9993;38.975
XDP_PASS;519482;10023;39.276
XDP_ABORTED;0;0;39.677
XDP_DROP;258907;9982;39.977
XDP_PASS;529501;10031;40.278
XDP_ABORTED;0;0;40.679
XDP_DROP;268926;9983;40.979
XDP_PASS;539516;9992;41.280
XDP_ABORTED;0;0;41.680
XDP_DROP;278946;10032;41.981
XDP_PASS;549535;9997;42.281
XDP_ABORTED;0;0;42.682
XDP_DROP;288961;10001;42.983
XDP_PASS;559554;10003;43.283
XDP_ABORTED;0;0;43.684
XDP_DROP;298979;9982;43.985
XDP_PASS;569572;9983;44.285
XDP_ABORTED;0;0;44.686
XDP_DROP;308999;10002;44.986
XDP_PASS;579592;10021;45.287
XDP_ABORTED;0;0;45.688
XDP_DROP;319019;10010;45.988
XDP_PASS;589612;10023;46.289
XDP_ABORTED;0;0;46.690
XDP_DROP;329038;9992;46.990
XDP_PASS;599632;10031;47.291
XDP_ABORTED;0;0;47.692
XDP_DROP;339057;9992;47.992
XDP_PASS;609648;10012;48.293
XDP_ABORTED;0;0;48.693
XDP_DROP;349076;10022;48.994
XDP_PASS;619665;9993;49.294
XDP_ABORTED;0;0;49.695
XDP_DROP;359092;10011;49.996
XDP_PASS;629683;9991;50.296
XDP_ABORTED;0;0;50.697
XDP_DROP;369109;9992;50.997
XDP_PASS;639702;9983;51.298
XDP_ABORTED;0;0;51.699
XDP_DROP;379128;9991;51.999
XDP_PASS;649721;10033;52.300
XDP_ABORTED;0;0;52.700
XDP_DROP;389147;9993;53.001
XDP_PASS;659736;9993;53.302
XDP_ABORTED;0;0;53.702
XDP_DROP;399166;10031;54.003
XDP_PASS;669755;9983;54.303
XDP_ABORTED;0;0;54.704
XDP_DROP;409186;10032;55.005
XDP_PASS;679775;10003;55.305
XDP_ABORTED;0;0;55.706
XDP_DROP;419200;9993;56.007
XDP_PASS;689793;9993;56.307
XDP_ABORTED;0;0;56.708
XDP_DROP;429219;9990;57.008
XDP_PASS;699812;9982;57.309
XDP_ABORTED;0;0;57.710
XDP_DROP;439239;10003;58.010
XDP_PASS;709832;9992;58.311
XDP_ABORTED;0;0;58.712
XDP_DROP;449258;10002;59.012
XDP_PASS;719851;10043;59.313
XDP_ABORTED;0;0;59.713
XDP_DROP;459277;9991;60.014
XDP_PASS;729866;9992;60.314
XDP_ABORTED;0;0;60.715
XDP_DROP;469296;10032;61.016
