XDP_action;packets;packets/sec;time
XDP_ABORTED;0;0;0.000
XDP_DROP;0;0;0.000
XDP_PASS;0;0;0.000
XDP_ABORTED;0;0;0.100
XDP_DROP;0;0;0.100
XDP_PASS;6729451;0;0.100
XDP_ABORTED;0;0;0.200
XDP_DROP;0;0;0.200
XDP_PASS;6729451;0;0.200
XDP_ABORTED;0;0;0.301
XDP_DROP;0;0;0.301
XDP_PASS;6729451;0;0.301
XDP_ABORTED;0;0;0.401
XDP_DROP;0;0;0.401
XDP_PASS;6729451;0;0.401
XDP_ABORTED;0;0;0.501
XDP_DROP;0;0;0.501
XDP_PASS;6729451;0;0.501
XDP_ABORTED;0;0;0.601
XDP_DROP;0;0;0.601
XDP_PASS;6831663;1020340;0.601
XDP_ABORTED;0;0;0.701
XDP_DROP;0;0;0.701
XDP_PASS;6936565;1047513;0.701
XDP_ABORTED;0;0;0.801
XDP_DROP;0;0;0.801
XDP_PASS;7041709;1050001;0.801
XDP_ABORTED;0;0;0.902
XDP_DROP;0;0;0.902
XDP_PASS;7146938;1049848;0.902
XDP_ABORTED;0;0;1.002
XDP_DROP;0;0;1.002
XDP_PASS;7252273;1051923;1.002
XDP_ABORTED;0;0;1.102
XDP_DROP;535;5343;1.102
XDP_PASS;7357011;1046030;1.102
XDP_ABORTED;0;0;1.202
XDP_DROP;4190;36503;1.202
XDP_PASS;7458500;1013592;1.202
XDP_ABORTED;0;0;1.302
XDP_DROP;11812;76115;1.302
XDP_PASS;7555707;970722;1.302
XDP_ABORTED;0;0;1.402
XDP_DROP;23059;112306;1.402
XDP_PASS;7649731;938871;1.402
XDP_ABORTED;0;0;1.503
XDP_DROP;37855;147746;1.503
XDP_PASS;7740250;903879;1.503
XDP_ABORTED;0;0;1.603
XDP_DROP;55347;174691;1.603
XDP_PASS;7827680;873158;1.603
XDP_ABORTED;0;0;1.703
XDP_DROP;75719;203461;1.703
XDP_PASS;7912420;846321;1.703
XDP_ABORTED;0;0;1.803
XDP_DROP;98509;227568;1.803
XDP_PASS;7994676;821357;1.803
XDP_ABORTED;0;0;1.903
XDP_DROP;123890;253400;1.903
XDP_PASS;8074963;801574;1.903
XDP_ABORTED;0;0;2.003
XDP_DROP;151510;275767;2.003
XDP_PASS;8152398;773131;2.003
XDP_ABORTED;0;0;2.103
XDP_DROP;181273;297169;2.103
XDP_PASS;8227213;746991;2.103
XDP_ABORTED;0;0;2.204
XDP_DROP;213316;319948;2.204
XDP_PASS;8300534;732110;2.204
XDP_ABORTED;0;0;2.304
XDP_DROP;246932;335727;2.304
XDP_PASS;8372079;714529;2.304
XDP_ABORTED;0;0;2.404
XDP_DROP;282963;359848;2.404
