XDP_action;packets;packets/sec;time
XDP_PASS;185863480;0;0.200
XDP_ABORTED;0;0;0.601
XDP_DROP;304736845;0;0.902
XDP_PASS;186285113;982216;1.203
XDP_ABORTED;0;0;1.603
XDP_DROP;304868838;241491;1.904
XDP_PASS;187129575;742117;2.204
XDP_ABORTED;0;0;2.605
XDP_DROP;305235333;448149;2.905
XDP_PASS;187760095;565120;3.206
XDP_ABORTED;0;0;3.606
XDP_DROP;305758320;588965;3.907
XDP_PASS;188251640;459469;4.208
XDP_ABORTED;0;0;4.609
XDP_DROP;306368492;637661;4.910
XDP_PASS;188667082;349203;5.210
XDP_ABORTED;0;0;5.611
XDP_DROP;307069516;708917;5.912
XDP_PASS;189009097;334678;6.212
XDP_ABORTED;0;0;6.613
XDP_DROP;307828738;795476;6.914
XDP_PASS;189276685;254839;7.214
XDP_ABORTED;0;0;7.615
XDP_DROP;308647411;837768;7.916
XDP_PASS;189497225;211694;8.217
XDP_ABORTED;0;0;8.617
XDP_DROP;309497820;880535;8.918
XDP_PASS;189682528;156473;9.219
XDP_ABORTED;0;0;9.619
XDP_DROP;310405701;940065;9.920
XDP_PASS;189807894;93258;10.221
XDP_ABORTED;0;0;10.622
XDP_DROP;311364471;957173;10.922
XDP_PASS;189901407;93368;11.223
XDP_ABORTED;0;0;11.624
XDP_DROP;312323102;956988;11.924
XDP_PASS;189994902;93337;12.225
XDP_ABORTED;0;0;12.626
XDP_DROP;313281816;956540;12.926
XDP_PASS;190088412;93369;13.227
XDP_ABORTED;0;0;13.628
XDP_DROP;314240402;955801;13.928
XDP_PASS;190181889;93324;14.229
XDP_ABORTED;0;0;14.630
XDP_DROP;315210233;999440;14.930
XDP_PASS;190251124;49967;15.231
XDP_ABORTED;0;0;15.632
XDP_DROP;316212225;999870;15.932
XDP_PASS;190301230;49968;16.233
XDP_ABORTED;0;0;16.634
XDP_DROP;317214214;998987;16.934
XDP_PASS;190351329;49992;17.235
XDP_ABORTED;0;0;17.636
XDP_DROP;318216228;999762;17.936
XDP_PASS;190401425;49913;18.237
XDP_ABORTED;0;0;18.638
XDP_DROP;319218239;999293;18.938
XDP_PASS;190451538;50033;19.239
XDP_ABORTED;0;0;19.640
XDP_DROP;320220479;1000460;19.940
XDP_PASS;190501633;49919;20.241
XDP_ABORTED;0;0;20.642
XDP_DROP;321222435;1000255;20.942
XDP_PASS;190551735;50021;21.243
XDP_ABORTED;0;0;21.644
XDP_DROP;322224605;1001236;21.945
XDP_PASS;190601847;50021;22.245
XDP_ABORTED;0;0;22.646
XDP_DROP;323226685;999738;22.947
XDP_PASS;190651950;49987;23.247
XDP_ABORTED;0;0;23.648
XDP_DROP;324228813;998832;23.949
XDP_PASS;190702062;50061;24.249
XDP_ABORTED;0;0;24.650
XDP_DROP;325231010;1000121;24.951
