XDP_action;packets;packets/sec;time
XDP_ABORTED;0;0;0.000
XDP_DROP;0;0;0.000
XDP_PASS;0;0;0.000
XDP_ABORTED;0;0;0.100
XDP_DROP;0;0;0.100
XDP_PASS;0;0;0.100
XDP_ABORTED;0;0;0.200
XDP_DROP;0;0;0.200
XDP_PASS;0;0;0.200
XDP_ABORTED;0;0;0.301
XDP_DROP;0;0;0.301
XDP_PASS;0;0;0.301
XDP_ABORTED;0;0;0.401
XDP_DROP;0;0;0.401
XDP_PASS;0;0;0.401
XDP_ABORTED;0;0;0.501
XDP_DROP;0;0;0.501
XDP_PASS;0;0;0.501
XDP_ABORTED;0;0;0.601
XDP_DROP;0;0;0.601
XDP_PASS;212277;2116370;0.601
XDP_ABORTED;0;0;0.701
XDP_DROP;1;10;0.702
XDP_PASS;807794;5943862;0.702
XDP_ABORTED;0;0;0.802
XDP_DROP;298;2965;0.802
XDP_PASS;1440039;6312830;0.802
XDP_ABORTED;0;0;0.902
XDP_DROP;984;6847;0.902
XDP_PASS;2120263;6789198;0.902
XDP_ABORTED;0;0;1.002
XDP_DROP;2540;15539;1.002
XDP_PASS;2809924;6887384;1.002
XDP_ABORTED;0;0;1.102
XDP_DROP;5303;27588;1.102
XDP_PASS;3581028;7699441;1.102
XDP_ABORTED;0;0;1.202
XDP_DROP;10496;51836;1.202
XDP_PASS;4407538;8250223;1.202
XDP_ABORTED;0;0;1.304
XDP_DROP;17888;72942;1.304
XDP_PASS;5275414;8563892;1.304
XDP_ABORTED;0;0;1.405
XDP_DROP;27085;91137;1.405
XDP_PASS;6203687;9198603;1.405
XDP_ABORTED;0;0;1.505
XDP_DROP;36073;89561;1.505
XDP_PASS;7149770;9427226;1.505
XDP_ABORTED;0;0;1.605
XDP_DROP;46011;99227;1.605
XDP_PASS;8117589;9663318;1.605
XDP_ABORTED;0;0;1.706
XDP_DROP;56057;99986;1.706
XDP_PASS;9086760;9645971;1.706
XDP_ABORTED;0;0;1.806
XDP_DROP;67216;111428;1.806
XDP_PASS;10045564;9574152;1.806
XDP_ABORTED;0;0;1.906
XDP_DROP;79222;119616;1.906
XDP_PASS;11008853;9597247;1.906
XDP_ABORTED;0;0;2.006
XDP_DROP;91349;121093;2.006
XDP_PASS;11953397;9431601;2.006
XDP_ABORTED;0;0;2.106
XDP_DROP;104030;126617;2.106
XDP_PASS;12900465;9456299;2.106
XDP_ABORTED;0;0;2.207
XDP_DROP;116747;126477;2.207
XDP_PASS;13864674;9589556;2.207
XDP_ABORTED;0;0;2.307
XDP_DROP;129548;127787;2.307
XDP_PASS;14729675;8634925;2.307
XDP_ABORTED;0;0;2.407
XDP_DROP;143184;136113;2.407
