XDP_action;packets;packets/sec;time
XDP_ABORTED;0;0;0.000
XDP_DROP;0;0;0.000
XDP_PASS;0;0;0.000
XDP_ABORTED;0;0;0.100
XDP_DROP;0;0;0.100
XDP_PASS;0;0;0.100
XDP_ABORTED;0;0;0.200
XDP_DROP;0;0;0.200
XDP_PASS;0;0;0.200
XDP_ABORTED;0;0;0.301
XDP_DROP;0;0;0.301
XDP_PASS;0;0;0.301
XDP_ABORTED;0;0;0.401
XDP_DROP;0;0;0.401
XDP_PASS;0;0;0.401
XDP_ABORTED;0;0;0.501
XDP_DROP;0;0;0.501
XDP_PASS;97910;977195;0.501
XDP_ABORTED;0;0;0.601
XDP_DROP;0;0;0.601
XDP_PASS;668076;5688596;0.601
XDP_ABORTED;0;0;0.701
XDP_DROP;0;0;0.701
XDP_PASS;1308582;6395169;0.701
XDP_ABORTED;0;0;0.802
XDP_DROP;344;3431;0.802
XDP_PASS;2075706;7651253;0.802
XDP_ABORTED;0;0;0.902
XDP_DROP;4600;42501;0.902
XDP_PASS;2898516;8216706;0.902
XDP_ABORTED;0;0;1.003
XDP_DROP;15646;108974;1.003
XDP_PASS;3769944;8597044;1.003
XDP_ABORTED;0;0;1.103
XDP_DROP;37690;220122;1.103
XDP_PASS;4655037;8838174;1.103
XDP_ABORTED;0;0;1.204
XDP_DROP;75744;379537;1.204
XDP_PASS;5538757;8813905;1.204
XDP_ABORTED;0;0;1.304
XDP_DROP;122926;471042;1.304
XDP_PASS;6450058;9097981;1.304
XDP_ABORTED;0;0;1.404
XDP_DROP;174708;517103;1.404
XDP_PASS;7329828;8785510;1.404
XDP_ABORTED;0;0;1.504
XDP_DROP;230291;554936;1.504
XDP_PASS;8191430;8602166;1.504
XDP_ABORTED;0;0;1.604
XDP_DROP;290168;597744;1.604
XDP_PASS;9048972;8560736;1.604
XDP_ABORTED;0;0;1.705
XDP_DROP;358062;674731;1.705
XDP_PASS;9903253;8489853;1.705
XDP_ABORTED;0;0;1.805
XDP_DROP;431856;736140;1.805
XDP_PASS;10748320;8430057;1.805
XDP_ABORTED;0;0;1.905
XDP_DROP;512365;803717;1.905
XDP_PASS;11624019;8742056;1.905
XDP_ABORTED;0;0;2.005
XDP_DROP;603402;909117;2.005
XDP_PASS;12505042;8798110;2.005
XDP_ABORTED;0;0;2.106
XDP_DROP;698321;947620;2.106
XDP_PASS;13377601;8711155;2.106
XDP_ABORTED;0;0;2.206
XDP_DROP;761782;632931;2.206
XDP_PASS;13958959;5798189;2.206
XDP_ABORTED;0;0;2.306
XDP_DROP;866326;1043899;2.306
XDP_PASS;14756626;7964932;2.306
XDP_ABORTED;0;0;2.406
XDP_DROP;988471;1219941;2.406
