XDP_action;packets;packets/sec;time
XDP_ABORTED;0;0;0.000
XDP_DROP;0;0;0.000
XDP_PASS;0;0;0.000
XDP_ABORTED;0;0;0.100
XDP_DROP;0;0;0.100
XDP_PASS;0;0;0.100
XDP_ABORTED;0;0;0.200
XDP_DROP;0;0;0.200
XDP_PASS;0;0;0.200
XDP_ABORTED;0;0;0.301
XDP_DROP;0;0;0.301
XDP_PASS;0;0;0.301
XDP_ABORTED;0;0;0.401
XDP_DROP;0;0;0.401
XDP_PASS;0;0;0.401
XDP_ABORTED;0;0;0.501
XDP_DROP;0;0;0.501
XDP_PASS;2524;25199;0.501
XDP_ABORTED;0;0;0.601
XDP_DROP;0;0;0.601
XDP_PASS;94944;922583;0.601
XDP_ABORTED;0;0;0.701
XDP_DROP;0;0;0.701
XDP_PASS;196155;1010114;0.701
XDP_ABORTED;0;0;0.802
XDP_DROP;0;0;0.802
XDP_PASS;297334;1009547;0.802
XDP_ABORTED;0;0;0.902
XDP_DROP;0;0;0.902
XDP_PASS;398763;1010839;0.902
XDP_ABORTED;0;0;1.002
XDP_DROP;198;1977;1.002
XDP_PASS;499699;1007606;1.002
XDP_ABORTED;0;0;1.102
XDP_DROP;8542;83277;1.102
XDP_PASS;592538;926560;1.102
XDP_ABORTED;0;0;1.203
XDP_DROP;22774;141962;1.203
XDP_PASS;679551;867946;1.203
XDP_ABORTED;0;0;1.303
XDP_DROP;46165;233370;1.303
XDP_PASS;757430;776994;1.303
XDP_ABORTED;0;0;1.403
XDP_DROP;79130;328797;1.403
XDP_PASS;825734;681270;1.403
XDP_ABORTED;0;0;1.503
XDP_DROP;118336;391106;1.503
XDP_PASS;887792;619070;1.503
XDP_ABORTED;0;0;1.603
XDP_DROP;159536;411148;1.603
XDP_PASS;947774;598587;1.603
XDP_ABORTED;0;0;1.704
XDP_DROP;200875;412773;1.704
XDP_PASS;1007553;596898;1.704
XDP_ABORTED;0;0;1.804
XDP_DROP;241221;402676;1.804
XDP_PASS;1068425;607461;1.804
XDP_ABORTED;0;0;1.904
XDP_DROP;282015;407340;1.904
XDP_PASS;1128806;602996;1.904
XDP_ABORTED;0;0;2.004
XDP_DROP;323708;416314;2.004
XDP_PASS;1188247;593531;2.004
XDP_ABORTED;0;0;2.104
XDP_DROP;365932;421393;2.104
XDP_PASS;1247155;587888;2.104
XDP_ABORTED;0;0;2.205
XDP_DROP;410580;445317;2.205
XDP_PASS;1303794;564918;2.205
XDP_ABORTED;0;0;2.305
XDP_DROP;456747;460731;2.305
XDP_PASS;1358873;549669;2.305
XDP_ABORTED;0;0;2.405
XDP_DROP;502856;459832;2.405
XDP_PASS;1414075;550418;2.405
