XDP_action;packets;packets/sec;time
XDP_ABORTED;0;0;0.000
XDP_DROP;0;0;0.000
XDP_PASS;0;0;0.000
XDP_ABORTED;0;0;0.100
XDP_DROP;0;0;0.100
XDP_PASS;0;0;0.100
XDP_ABORTED;0;0;0.200
XDP_DROP;0;0;0.200
XDP_PASS;0;0;0.200
XDP_ABORTED;0;0;0.301
XDP_DROP;0;0;0.301
XDP_PASS;0;0;0.301
XDP_ABORTED;0;0;0.401
XDP_DROP;0;0;0.401
XDP_PASS;0;0;0.401
XDP_ABORTED;0;0;0.501
XDP_DROP;0;0;0.501
XDP_PASS;94067;938874;0.501
XDP_ABORTED;0;0;0.601
XDP_DROP;0;0;0.601
XDP_PASS;702586;6074268;0.601
XDP_ABORTED;0;0;0.701
XDP_DROP;343;3425;0.701
XDP_PASS;1332649;6291096;0.701
XDP_ABORTED;0;0;0.801
XDP_DROP;15084;147199;0.801
XDP_PASS;1989601;6560130;0.801
XDP_ABORTED;0;0;0.902
XDP_DROP;60563;453528;0.902
XDP_PASS;2770340;7785718;0.902
XDP_ABORTED;0;0;1.002
XDP_DROP;152731;920137;1.002
XDP_PASS;3612880;8411314;1.002
XDP_ABORTED;0;0;1.102
XDP_DROP;270549;1175855;1.102
XDP_PASS;4459530;8449786;1.102
XDP_ABORTED;0;0;1.203
XDP_DROP;423687;1524382;1.203
XDP_PASS;5280320;8170399;1.203
XDP_ABORTED;0;0;1.303
XDP_DROP;608656;1847098;1.303
XDP_PASS;6046581;7651866;1.303
XDP_ABORTED;0;0;1.403
XDP_DROP;849900;2407972;1.403
XDP_PASS;6779304;7313644;1.403
XDP_ABORTED;0;0;1.503
XDP_DROP;1132488;2821918;1.503
XDP_PASS;7461157;6808980;1.503
XDP_ABORTED;0;0;1.603
XDP_DROP;1472316;3383843;1.603
XDP_PASS;8096474;6326185;1.603
XDP_ABORTED;0;0;1.704
XDP_DROP;1860971;3871540;1.704
XDP_PASS;8675133;5764234;1.704
XDP_ABORTED;0;0;1.804
XDP_DROP;2315876;4541090;1.804
XDP_PASS;9182662;5066417;1.804
XDP_ABORTED;0;0;1.904
XDP_DROP;2833657;5168436;1.904
XDP_PASS;9637738;4542517;1.904
XDP_ABORTED;0;0;2.004
XDP_DROP;3412989;5784828;2.004
XDP_PASS;10025802;3874951;2.004
XDP_ABORTED;0;0;2.105
XDP_DROP;4053737;6390333;2.105
XDP_PASS;10358286;3315940;2.105
XDP_ABORTED;0;0;2.205
XDP_DROP;4567287;5124297;2.205
XDP_PASS;10575518;2167585;2.205
XDP_ABORTED;0;0;2.305
XDP_DROP;5318696;7488928;2.305
XDP_PASS;10828263;2518986;2.305
XDP_ABORTED;0;0;2.405
