XDP_action;packets;packets/sec;time
XDP_ABORTED;0;0;0.000
XDP_DROP;0;0;0.000
XDP_PASS;0;0;0.000
XDP_ABORTED;0;0;0.100
XDP_DROP;0;0;0.100
XDP_PASS;0;0;0.100
XDP_ABORTED;0;0;0.200
XDP_DROP;0;0;0.200
XDP_PASS;0;0;0.200
XDP_ABORTED;0;0;0.301
XDP_DROP;0;0;0.301
XDP_PASS;0;0;0.301
XDP_ABORTED;0;0;0.426
XDP_DROP;0;0;0.426
XDP_PASS;65162;519328;0.426
XDP_ABORTED;0;0;0.526
XDP_DROP;0;0;0.526
XDP_PASS;659249;5930136;0.526
XDP_ABORTED;0;0;0.626
XDP_DROP;0;0;0.626
XDP_PASS;1313154;6529044;0.626
XDP_ABORTED;0;0;0.727
XDP_DROP;0;0;0.727
XDP_PASS;1988091;6734492;0.727
XDP_ABORTED;0;0;0.827
XDP_DROP;2647;26421;0.827
XDP_PASS;2611065;6218133;0.827
XDP_ABORTED;0;0;0.927
XDP_DROP;41327;386270;0.927
XDP_PASS;3289256;6772615;0.927
XDP_ABORTED;0;0;1.027
XDP_DROP;136319;948609;1.027
XDP_PASS;4049701;7593949;1.027
XDP_ABORTED;0;0;1.127
XDP_DROP;288854;1521578;1.127
XDP_PASS;4833071;7814332;1.127
XDP_ABORTED;0;0;1.227
XDP_DROP;480253;1911006;1.228
XDP_PASS;5602020;7677499;1.228
XDP_ABORTED;0;0;1.328
XDP_DROP;727402;2460075;1.328
XDP_PASS;6320979;7156374;1.328
XDP_ABORTED;0;0;1.428
XDP_DROP;1033790;3059517;1.428
XDP_PASS;6985399;6634742;1.428
XDP_ABORTED;0;0;1.529
XDP_DROP;1405422;3693628;1.529
XDP_PASS;7593728;6046143;1.529
XDP_ABORTED;0;0;1.629
XDP_DROP;1834714;4284710;1.629
XDP_PASS;8137688;5429203;1.629
XDP_ABORTED;0;0;1.729
XDP_DROP;2332029;4965942;1.729
XDP_PASS;8598773;4604169;1.729
XDP_ABORTED;0;0;1.829
XDP_DROP;2901820;5687406;1.829
XDP_PASS;9004338;4048174;1.829
XDP_ABORTED;0;0;1.930
XDP_DROP;3535287;6306936;1.930
XDP_PASS;9348874;3430275;1.930
XDP_ABORTED;0;0;2.030
XDP_DROP;4226444;6898230;2.030
XDP_PASS;9641916;2924760;2.030
XDP_ABORTED;0;0;2.130
XDP_DROP;4747818;5201605;2.130
XDP_PASS;9821249;1789155;2.130
XDP_ABORTED;0;0;2.230
XDP_DROP;5540276;7909051;2.230
XDP_PASS;10026071;2044211;2.230
XDP_ABORTED;0;0;2.330
XDP_DROP;6353529;8119064;2.330
XDP_PASS;10201063;1747002;2.330
