XDP_action;packets;packets/sec;time
XDP_ABORTED;0;0;0.000
XDP_DROP;0;0;0.000
XDP_PASS;0;0;0.000
XDP_ABORTED;0;0;0.100
XDP_DROP;0;0;0.100
XDP_PASS;0;0;0.100
XDP_ABORTED;0;0;0.200
XDP_DROP;0;0;0.200
XDP_PASS;0;0;0.200
XDP_ABORTED;0;0;0.301
XDP_DROP;0;0;0.301
XDP_PASS;0;0;0.301
XDP_ABORTED;0;0;0.401
XDP_DROP;0;0;0.401
XDP_PASS;0;0;0.401
XDP_ABORTED;0;0;0.501
XDP_DROP;0;0;0.501
XDP_PASS;6018;60080;0.501
XDP_ABORTED;0;0;0.601
XDP_DROP;0;0;0.601
XDP_PASS;17032;109938;0.601
XDP_ABORTED;0;0;0.701
XDP_DROP;0;0;0.701
XDP_PASS;28049;109972;0.701
XDP_ABORTED;0;0;0.802
XDP_DROP;0;0;0.802
XDP_PASS;39064;109935;0.802
XDP_ABORTED;0;0;0.902
XDP_DROP;0;0;0.902
XDP_PASS;50126;110400;0.902
XDP_ABORTED;0;0;1.002
XDP_DROP;0;0;1.002
XDP_PASS;61126;109801;1.002
XDP_ABORTED;0;0;1.102
XDP_DROP;0;0;1.102
XDP_PASS;72126;109805;1.102
XDP_ABORTED;0;0;1.202
XDP_DROP;0;0;1.202
XDP_PASS;83160;109992;1.202
XDP_ABORTED;0;0;1.303
XDP_DROP;0;0;1.303
XDP_PASS;94204;110223;1.303
XDP_ABORTED;0;0;1.403
XDP_DROP;0;0;1.403
XDP_PASS;105238;110120;1.403
XDP_ABORTED;0;0;1.503
XDP_DROP;0;0;1.503
XDP_PASS;116238;109806;1.503
XDP_ABORTED;0;0;1.603
XDP_DROP;0;0;1.603
XDP_PASS;127243;109849;1.603
XDP_ABORTED;0;0;1.703
XDP_DROP;0;0;1.703
XDP_PASS;138270;110087;1.703
XDP_ABORTED;0;0;1.804
XDP_DROP;0;0;1.804
XDP_PASS;149342;110337;1.804
XDP_ABORTED;0;0;1.904
XDP_DROP;0;0;1.904
XDP_PASS;160346;109844;1.904
XDP_ABORTED;0;0;2.004
XDP_DROP;0;0;2.004
XDP_PASS;171346;109802;2.004
XDP_ABORTED;0;0;2.104
XDP_DROP;0;0;2.104
XDP_PASS;182368;110016;2.104
XDP_ABORTED;0;0;2.204
XDP_DROP;0;0;2.204
XDP_PASS;193387;109939;2.204
XDP_ABORTED;0;0;2.305
XDP_DROP;0;0;2.305
XDP_PASS;204434;110268;2.305
XDP_ABORTED;0;0;2.405
XDP_DROP;0;0;2.405
XDP_PASS;215458;110012;2.405
XDP_ABORTED;0;0;2.505
XDP_DROP;0;0;2.505
XDP_PASS;226458;109806;2.505
