XDP_action;packets;packets/sec;time
XDP_ABORTED;0;0;0.000
XDP_DROP;0;0;0.000
XDP_PASS;0;0;0.000
XDP_ABORTED;0;0;0.100
XDP_DROP;0;0;0.100
XDP_PASS;0;0;0.100
XDP_ABORTED;0;0;0.200
XDP_DROP;0;0;0.200
XDP_PASS;0;0;0.200
XDP_ABORTED;0;0;0.301
XDP_DROP;0;0;0.301
XDP_PASS;0;0;0.301
XDP_ABORTED;0;0;0.401
XDP_DROP;0;0;0.401
XDP_PASS;0;0;0.401
XDP_ABORTED;0;0;0.501
XDP_DROP;0;0;0.501
XDP_PASS;0;0;0.501
XDP_ABORTED;0;0;0.601
XDP_DROP;0;0;0.601
XDP_PASS;0;0;0.601
XDP_ABORTED;0;0;0.701
XDP_DROP;0;0;0.701
XDP_PASS;0;0;0.701
XDP_ABORTED;0;0;0.802
XDP_DROP;0;0;0.802
XDP_PASS;0;0;0.802
XDP_ABORTED;0;0;0.902
XDP_DROP;0;0;0.902
XDP_PASS;0;0;0.902
XDP_ABORTED;0;0;1.002
XDP_DROP;0;0;1.002
XDP_PASS;0;0;1.002
XDP_ABORTED;0;0;1.102
XDP_DROP;0;0;1.102
XDP_PASS;0;0;1.102
XDP_ABORTED;0;0;1.202
XDP_DROP;0;0;1.202
XDP_PASS;3585;35792;1.202
XDP_ABORTED;0;0;1.303
XDP_DROP;0;0;1.303
XDP_PASS;396764;3916091;1.303
XDP_ABORTED;0;0;1.403
XDP_DROP;0;0;1.403
XDP_PASS;1048561;6509306;1.403
XDP_ABORTED;0;0;1.503
XDP_DROP;0;0;1.503
XDP_PASS;1720328;6708621;1.503
XDP_ABORTED;0;0;1.603
XDP_DROP;3;30;1.603
XDP_PASS;2348042;6269002;1.603
XDP_ABORTED;0;0;1.703
XDP_DROP;1932;19250;1.703
XDP_PASS;3011073;6616717;1.703
XDP_ABORTED;0;0;1.803
XDP_DROP;11055;91097;1.803
XDP_PASS;3745244;7331005;1.803
XDP_ABORTED;0;0;1.904
XDP_DROP;31058;199676;1.904
XDP_PASS;4527095;7804706;1.904
XDP_ABORTED;0;0;2.004
XDP_DROP;76808;456723;2.004
XDP_PASS;5344295;8158125;2.004
XDP_ABORTED;0;0;2.104
XDP_DROP;130147;531946;2.104
XDP_PASS;6260426;9136503;2.104
XDP_ABORTED;0;0;2.204
XDP_DROP;199511;692403;2.204
XDP_PASS;7138534;8765417;2.204
XDP_ABORTED;0;0;2.305
XDP_DROP;264203;644033;2.305
XDP_PASS;7982768;8404666;2.305
XDP_ABORTED;0;0;2.405
XDP_DROP;363166;986008;2.405
XDP_PASS;8834826;8489384;2.405
XDP_ABORTED;0;0;2.505
