XDP_action;packets;packets/sec;time
XDP_ABORTED;0;0;0.000
XDP_DROP;0;0;0.000
XDP_PASS;0;0;0.000
XDP_ABORTED;0;0;0.100
XDP_DROP;0;0;0.100
XDP_PASS;0;0;0.100
XDP_ABORTED;0;0;0.200
XDP_DROP;0;0;0.200
XDP_PASS;0;0;0.200
XDP_ABORTED;0;0;0.301
XDP_DROP;0;0;0.301
XDP_PASS;0;0;0.301
XDP_ABORTED;0;0;0.401
XDP_DROP;0;0;0.401
XDP_PASS;220671;2203404;0.401
XDP_ABORTED;0;0;0.501
XDP_DROP;0;0;0.501
XDP_PASS;1001790;7799412;0.501
XDP_ABORTED;0;0;0.601
XDP_DROP;0;0;0.601
XDP_PASS;1976225;9720421;0.601
XDP_ABORTED;0;0;0.701
XDP_DROP;0;0;0.701
XDP_PASS;2950443;9714587;0.701
XDP_ABORTED;0;0;0.802
XDP_DROP;875729;8744890;0.802
XDP_PASS;3060029;1094308;0.802
XDP_ABORTED;0;0;0.902
XDP_DROP;1877809;9999182;0.902
XDP_PASS;3061031;9998;0.902
XDP_ABORTED;0;0;1.002
XDP_DROP;2879739;10000837;1.002
XDP_PASS;3062031;9982;1.002
XDP_ABORTED;0;0;1.102
XDP_DROP;3878073;9958802;1.102
XDP_PASS;3063029;9955;1.102
XDP_ABORTED;0;0;1.202
XDP_DROP;4880272;9996600;1.203
XDP_PASS;3064035;10035;1.203
XDP_ABORTED;0;0;1.303
XDP_DROP;5882689;10002438;1.303
XDP_PASS;3065039;10018;1.303
XDP_ABORTED;0;0;1.403
XDP_DROP;6885067;10000405;1.403
XDP_PASS;3066039;9977;1.403
XDP_ABORTED;0;0;1.503
XDP_DROP;7887044;9996450;1.503
XDP_PASS;3067041;9997;1.503
XDP_ABORTED;0;0;1.603
XDP_DROP;8857912;9685422;1.603
XDP_PASS;3068010;9667;1.603
XDP_ABORTED;0;0;1.704
XDP_DROP;9604489;7452735;1.704
XDP_PASS;3068756;7447;1.704
XDP_ABORTED;0;0;1.804
XDP_DROP;10606164;9980117;1.804
XDP_PASS;3069755;9953;1.804
XDP_ABORTED;0;0;1.904
XDP_DROP;11594467;9848324;1.904
XDP_PASS;3070741;9825;1.904
XDP_ABORTED;0;0;2.005
XDP_DROP;12596950;10002112;2.005
XDP_PASS;3071744;10007;2.005
XDP_ABORTED;0;0;2.105
XDP_DROP;13600335;10001363;2.105
XDP_PASS;3072749;10017;2.105
XDP_ABORTED;0;0;2.205
XDP_DROP;14604060;9999236;2.205
XDP_PASS;3073753;10002;2.205
XDP_ABORTED;0;0;2.305
XDP_DROP;15606573;10000582;2.306
XDP_PASS;3074757;10015;2.306
XDP_ABORTED;0;0;2.406
