XDP_action;packets;packets/sec;time
XDP_ABORTED;0;0;0.000
XDP_DROP;0;0;0.000
XDP_PASS;0;0;0.000
XDP_ABORTED;0;0;0.100
XDP_DROP;0;0;0.100
XDP_PASS;0;0;0.100
XDP_ABORTED;0;0;0.200
XDP_DROP;0;0;0.200
XDP_ABORTED;0;0;0.301
XDP_DROP;0;0;0.301
XDP_PASS;0;0;0.301
XDP_ABORTED;0;0;0.401
XDP_DROP;0;0;0.401
XDP_PASS;0;0;0.401
XDP_ABORTED;0;0;0.501
XDP_DROP;0;0;0.501
XDP_PASS;5521;55121;0.501
XDP_DROP;0;0;0.601
XDP_PASS;16534;109917;0.601
XDP_ABORTED;0;0;0.701
XDP_DROP;0;0;0.701
XDP_PASS;27566;110082;0.701
XDP_ABORTED;0;0;0.802
XDP_DROP;0;0;0.802
XDP_PASS;38598;110123;0.802
XDP_ABORTED;0;0;0.902
XDP_PASS;49612;109958;0.902
XDP_ABORTED;0;0;1.002
XDP_DROP;0;0;1.002
XDP_PASS;60626;109929;1.002
XDP_ABORTED;0;0;1.102
XDP_DROP;0;0;1.102
XDP_PASS;71644;109971;1.102
XDP_ABORTED;0;0;1.202
XDP_DROP;0;0;1.202
XDP_ABORTED;0;0;1.302
XDP_DROP;0;0;1.302
XDP_PASS;93678;109818;1.302
XDP_ABORTED;0;0;1.403
XDP_DROP;0;0;1.403
XDP_PASS;104722;110229;1.403
XDP_ABORTED;0;0;1.503
XDP_DROP;0;0;1.503
XDP_PASS;115722;109799;1.503
XDP_DROP;0;0;1.603
XDP_PASS;126754;110133;1.603
XDP_ABORTED;0;0;1.703
XDP_DROP;0;0;1.703
XDP_PASS;137768;109930;1.703
XDP_ABORTED;0;0;1.803
XDP_DROP;0;0;1.803
XDP_PASS;148786;109993;1.803
XDP_ABORTED;0;0;1.904
XDP_PASS;159811;110065;1.904
XDP_ABORTED;0;0;2.004
XDP_DROP;0;0;2.004
XDP_PASS;170832;110006;2.004
XDP_ABORTED;0;0;2.104
XDP_DROP;0;0;2.104
XDP_PASS;181864;109976;2.104
XDP_ABORTED;0;0;2.204
XDP_DROP;0;0;2.204
XDP_ABORTED;0;0;2.304
XDP_DROP;0;0;2.304
XDP_PASS;203896;109872;2.304
XDP_ABORTED;0;0;2.405
XDP_DROP;0;0;2.405
XDP_PASS;214942;110151;2.405
XDP_ABORTED;0;0;2.505
XDP_DROP;8801;87848;2.505
XDP_PASS;217143;21969;2.505
XDP_DROP;18829;100112;2.605
XDP_PASS;218145;10003;2.605
XDP_ABORTED;0;0;2.705
XDP_DROP;28842;99961;2.705
XDP_PASS;219146;9993;2.705
XDP_ABORTED;0;0;2.805
