XDP_action;packets;packets/sec;time
XDP_ABORTED;0;0;0.000
XDP_DROP;0;0;0.000
XDP_PASS;0;0;0.000
XDP_ABORTED;0;0;0.100
XDP_DROP;0;0;0.100
XDP_PASS;0;0;0.100
XDP_ABORTED;0;0;0.200
XDP_DROP;0;0;0.200
XDP_PASS;0;0;0.200
XDP_ABORTED;0;0;0.301
XDP_DROP;0;0;0.301
XDP_PASS;0;0;0.301
XDP_ABORTED;0;0;0.401
XDP_DROP;0;0;0.401
XDP_PASS;0;0;0.401
XDP_ABORTED;0;0;0.501
XDP_DROP;0;0;0.501
XDP_PASS;246640;2461139;0.501
XDP_ABORTED;0;0;0.602
XDP_DROP;0;0;0.602
XDP_PASS;1213918;9572792;0.602
XDP_ABORTED;0;0;0.702
XDP_DROP;0;0;0.702
XDP_PASS;2217036;10009653;0.702
XDP_ABORTED;0;0;0.802
XDP_DROP;0;0;0.802
XDP_PASS;3219904;10011891;0.802
XDP_ABORTED;0;0;0.903
XDP_DROP;0;0;0.903
XDP_PASS;4207789;9842086;0.903
XDP_ABORTED;0;0;1.006
XDP_DROP;966;9358;1.006
XDP_PASS;5234157;9942782;1.006
XDP_ABORTED;0;0;1.107
XDP_DROP;21534;204128;1.107
XDP_PASS;6222049;9804350;1.107
XDP_ABORTED;0;0;1.207
XDP_DROP;99732;778685;1.207
XDP_PASS;7145588;9196498;1.207
XDP_ABORTED;0;0;1.307
XDP_DROP;261500;1614933;1.307
XDP_PASS;7986645;8396292;1.307
XDP_ABORTED;0;0;1.408
XDP_DROP;533149;2712842;1.408
XDP_PASS;8711989;7243686;1.408
XDP_ABORTED;0;0;1.508
XDP_DROP;951517;4174336;1.508
XDP_PASS;9292933;5796465;1.508
XDP_ABORTED;0;0;1.608
XDP_DROP;1537937;5855685;1.608
XDP_PASS;9708981;4154440;1.608
XDP_ABORTED;0;0;1.708
XDP_DROP;2293572;7541774;1.708
XDP_PASS;9956012;2465538;1.708
XDP_ABORTED;0;0;1.808
XDP_DROP;3193559;8976732;1.808
XDP_PASS;10059393;1031156;1.808
XDP_ABORTED;0;0;1.910
XDP_DROP;4169083;9597737;1.910
XDP_PASS;10080289;205583;1.910
XDP_ABORTED;0;0;2.010
XDP_DROP;4366396;1967321;2.010
XDP_PASS;10080821;5304;2.010
XDP_ABORTED;0;0;2.111
XDP_DROP;5365532;9969285;2.111
XDP_PASS;10082055;12313;2.111
XDP_ABORTED;0;0;2.211
XDP_DROP;6269515;9013998;2.211
XDP_PASS;10082959;9014;2.211
XDP_ABORTED;0;0;2.311
XDP_DROP;7240229;9685927;2.311
XDP_PASS;10083929;9679;2.311
XDP_ABORTED;0;0;2.411
