XDP_action;packets;packets/sec;time
XDP_ABORTED;0;0;0.000
XDP_DROP;0;0;0.000
XDP_PASS;0;0;0.000
XDP_ABORTED;0;0;0.100
XDP_DROP;0;0;0.100
XDP_PASS;0;0;0.100
XDP_ABORTED;0;0;0.200
XDP_DROP;0;0;0.200
XDP_PASS;0;0;0.200
XDP_ABORTED;0;0;0.301
XDP_DROP;0;0;0.301
XDP_PASS;0;0;0.301
XDP_ABORTED;0;0;0.401
XDP_DROP;0;0;0.401
XDP_PASS;0;0;0.401
XDP_ABORTED;0;0;0.502
XDP_DROP;0;0;0.502
XDP_PASS;404756;3991090;0.502
XDP_ABORTED;0;0;0.602
XDP_DROP;0;0;0.602
XDP_PASS;1076604;6702397;0.602
XDP_ABORTED;0;0;0.703
XDP_DROP;0;0;0.703
XDP_PASS;1856879;7791802;0.703
XDP_ABORTED;0;0;0.803
XDP_DROP;0;0;0.803
XDP_PASS;2741840;8837423;0.803
XDP_ABORTED;0;0;0.903
XDP_DROP;0;0;0.903
XDP_PASS;3684277;9408068;0.903
XDP_ABORTED;0;0;1.003
XDP_DROP;6732;67198;1.003
XDP_PASS;4558304;8724412;1.003
XDP_ABORTED;0;0;1.103
XDP_DROP;108531;1015932;1.103
XDP_PASS;5325704;7658488;1.103
XDP_ABORTED;0;0;1.203
XDP_DROP;333415;2244242;1.203
XDP_PASS;6051233;7240449;1.203
XDP_ABORTED;0;0;1.304
XDP_DROP;653630;3195640;1.304
XDP_PASS;6701662;6491066;1.304
XDP_ABORTED;0;0;1.404
XDP_DROP;1067255;4122182;1.404
XDP_PASS;7259432;5558738;1.404
XDP_ABORTED;0;0;1.504
XDP_DROP;1586986;5187741;1.504
XDP_PASS;7711391;4511267;1.504
XDP_ABORTED;0;0;1.604
XDP_DROP;2234169;6456921;1.604
XDP_PASS;8036790;3246496;1.604
XDP_ABORTED;0;0;1.705
XDP_DROP;3011077;7756862;1.705
XDP_PASS;8232826;1957277;1.705
XDP_ABORTED;0;0;1.805
XDP_DROP;3940169;9272023;1.805
XDP_PASS;8294582;616304;1.805
XDP_ABORTED;0;0;1.905
XDP_DROP;4907265;9653363;1.905
XDP_PASS;8296664;20782;1.905
XDP_ABORTED;0;0;2.005
XDP_DROP;5902538;9922268;2.005
XDP_PASS;8298273;16041;2.005
XDP_ABORTED;0;0;2.106
XDP_DROP;6755343;8458283;2.106
XDP_PASS;8299752;14667;2.106
XDP_ABORTED;0;0;2.206
XDP_DROP;7437512;6801868;2.206
XDP_PASS;8301035;12795;2.206
XDP_ABORTED;0;0;2.307
XDP_DROP;8439725;9994218;2.307
XDP_PASS;8302660;16205;2.307
XDP_ABORTED;0;0;2.407
