XDP_action;packets;packets/sec;time
XDP_ABORTED;0;0;0.000
XDP_DROP;0;0;0.000
XDP_PASS;0;0;0.000
XDP_ABORTED;0;0;0.100
XDP_DROP;0;0;0.100
XDP_PASS;0;0;0.100
XDP_ABORTED;0;0;0.200
XDP_DROP;0;0;0.200
XDP_PASS;0;0;0.200
XDP_ABORTED;0;0;0.301
XDP_DROP;0;0;0.301
XDP_PASS;0;0;0.301
XDP_ABORTED;0;0;0.401
XDP_DROP;0;0;0.401
XDP_PASS;0;0;0.401
XDP_ABORTED;0;0;0.501
XDP_DROP;0;0;0.501
XDP_PASS;418641;4179847;0.501
XDP_ABORTED;0;0;0.601
XDP_DROP;0;0;0.601
XDP_PASS;1062768;6431914;0.601
XDP_ABORTED;0;0;0.701
XDP_DROP;0;0;0.701
XDP_PASS;1770808;7060388;0.701
XDP_ABORTED;0;0;0.802
XDP_DROP;42;419;0.802
XDP_PASS;2391603;6190896;0.802
XDP_ABORTED;0;0;0.902
XDP_DROP;2912;28647;0.902
XDP_PASS;3061548;6686983;0.902
XDP_ABORTED;0;0;1.002
XDP_DROP;13892;109627;1.002
XDP_PASS;3740830;6782099;1.002
XDP_ABORTED;0;0;1.102
XDP_DROP;39433;255000;1.102
XDP_PASS;4481944;7399235;1.102
XDP_ABORTED;0;0;1.202
XDP_DROP;84037;445099;1.202
XDP_PASS;5228690;7451707;1.202
XDP_ABORTED;0;0;1.303
XDP_DROP;152710;685314;1.303
XDP_PASS;6031971;8016233;1.303
XDP_ABORTED;0;0;1.403
XDP_DROP;245193;922269;1.403
XDP_PASS;6831035;7968521;1.403
XDP_ABORTED;0;0;1.503
XDP_DROP;361124;1157325;1.503
XDP_PASS;7640042;8076218;1.503
XDP_ABORTED;0;0;1.603
XDP_DROP;494998;1337066;1.603
XDP_PASS;8426467;7854421;1.603
XDP_ABORTED;0;0;1.703
XDP_DROP;648323;1531091;1.703
XDP_PASS;9223461;7958719;1.703
XDP_ABORTED;0;0;1.803
XDP_DROP;805074;1565591;1.803
XDP_PASS;9955658;7313001;1.803
XDP_ABORTED;0;0;1.904
XDP_DROP;993905;1884907;1.904
XDP_PASS;10732107;7750495;1.904
XDP_ABORTED;0;0;2.004
XDP_DROP;1192244;1979501;2.004
XDP_PASS;11509497;7758663;2.004
XDP_ABORTED;0;0;2.104
XDP_DROP;1389966;1974728;2.104
XDP_PASS;12223510;7131132;2.104
XDP_ABORTED;0;0;2.204
XDP_DROP;1608690;2182629;2.204
XDP_PASS;12968199;7431185;2.204
XDP_ABORTED;0;0;2.304
XDP_DROP;1836786;2277985;2.304
XDP_PASS;13695122;7259757;2.304
XDP_ABORTED;0;0;2.404
