XDP_action;packets;packets/sec;time
XDP_ABORTED;0;0;0.000
XDP_DROP;0;0;0.000
XDP_PASS;0;0;0.000
XDP_ABORTED;0;0;0.100
XDP_DROP;0;0;0.100
XDP_PASS;0;0;0.100
XDP_ABORTED;0;0;0.200
XDP_DROP;0;0;0.200
XDP_PASS;0;0;0.200
XDP_ABORTED;0;0;0.301
XDP_DROP;0;0;0.301
XDP_PASS;0;0;0.301
XDP_ABORTED;0;0;0.401
XDP_DROP;0;0;0.401
XDP_PASS;0;0;0.401
XDP_ABORTED;0;0;0.501
XDP_DROP;0;0;0.501
XDP_PASS;96686;964836;0.501
XDP_ABORTED;0;0;0.601
XDP_DROP;0;0;0.601
XDP_PASS;689779;5918137;0.601
XDP_ABORTED;0;0;0.701
XDP_DROP;75;749;0.701
XDP_PASS;1225866;5352214;0.701
XDP_ABORTED;0;0;0.802
XDP_DROP;19848;197377;0.802
XDP_PASS;1789615;5627406;0.802
XDP_ABORTED;0;0;0.902
XDP_DROP;117436;974539;0.902
XDP_PASS;2485994;6954233;0.902
XDP_ABORTED;0;0;1.002
XDP_DROP;306623;1889151;1.002
XDP_PASS;3218057;7310093;1.002
XDP_ABORTED;0;0;1.102
XDP_DROP;563193;2555741;1.102
XDP_PASS;3925566;7047627;1.102
XDP_ABORTED;0;0;1.203
XDP_DROP;861990;2980269;1.203
XDP_PASS;4593812;6665223;1.203
XDP_ABORTED;0;0;1.303
XDP_DROP;1210305;3474218;1.303
XDP_PASS;5219752;6243361;1.303
XDP_ABORTED;0;0;1.403
XDP_DROP;1609110;3982218;1.403
XDP_PASS;5794802;5742090;1.403
XDP_ABORTED;0;0;1.503
XDP_DROP;2073034;4626940;1.503
XDP_PASS;6305454;5092979;1.503
XDP_ABORTED;0;0;1.603
XDP_DROP;2603677;5298106;1.603
XDP_PASS;6749275;4431242;1.603
XDP_ABORTED;0;0;1.704
XDP_DROP;3211596;6068546;1.704
XDP_PASS;7116216;3662985;1.704
XDP_ABORTED;0;0;1.804
XDP_DROP;3896522;6831048;1.804
XDP_PASS;7409945;2929482;1.804
XDP_ABORTED;0;0;1.904
XDP_DROP;4660340;7627227;1.904
XDP_PASS;7622504;2122540;1.904
XDP_ABORTED;0;0;2.004
XDP_DROP;5511043;8484515;2.004
XDP_PASS;7760352;1374833;2.004
XDP_ABORTED;0;0;2.104
XDP_DROP;6442744;9303501;2.104
XDP_PASS;7829534;690817;2.104
XDP_ABORTED;0;0;2.205
XDP_DROP;7123782;6795123;2.205
XDP_PASS;7848773;191960;2.205
XDP_ABORTED;0;0;2.305
XDP_DROP;8123263;9978384;2.305
XDP_PASS;7851881;31028;2.305
XDP_ABORTED;0;0;2.405
