XDP_action;packets;packets/sec;time
XDP_ABORTED;0;0;0.000
XDP_DROP;0;0;0.000
XDP_PASS;0;0;0.000
XDP_ABORTED;0;0;0.100
XDP_DROP;0;0;0.100
XDP_PASS;0;0;0.100
XDP_ABORTED;0;0;0.200
XDP_DROP;0;0;0.200
XDP_PASS;0;0;0.200
XDP_ABORTED;0;0;0.300
XDP_DROP;0;0;0.300
XDP_PASS;0;0;0.300
XDP_ABORTED;0;0;0.400
XDP_DROP;0;0;0.400
XDP_PASS;0;0;0.400
XDP_ABORTED;0;0;0.500
XDP_DROP;0;0;0.500
XDP_PASS;0;0;0.500
XDP_ABORTED;0;0;0.601
XDP_DROP;0;0;0.601
XDP_PASS;0;0;0.601
XDP_ABORTED;0;0;0.701
XDP_DROP;0;0;0.701
XDP_PASS;0;0;0.701
XDP_ABORTED;0;0;0.801
XDP_DROP;0;0;0.801
XDP_PASS;0;0;0.801
XDP_ABORTED;0;0;0.901
XDP_DROP;0;0;0.901
XDP_PASS;0;0;0.901
XDP_ABORTED;0;0;1.001
XDP_DROP;0;0;1.001
XDP_PASS;0;0;1.001
XDP_ABORTED;0;0;1.119
XDP_DROP;0;0;1.119
XDP_PASS;1134487;9608138;1.119
XDP_ABORTED;0;0;1.235
XDP_DROP;0;0;1.235
XDP_PASS;2748700;13917186;1.235
XDP_ABORTED;0;0;1.339
XDP_DROP;1494;14368;1.339
XDP_PASS;4179034;13755929;1.339
XDP_ABORTED;0;0;1.443
XDP_DROP;6116;44457;1.443
XDP_PASS;5611223;13775596;1.443
XDP_ABORTED;0;0;1.555
XDP_DROP;18300;108730;1.555
XDP_PASS;7128455;13539815;1.555
XDP_ABORTED;0;0;1.671
XDP_DROP;48908;263963;1.671
XDP_PASS;8689830;13465261;1.671
XDP_ABORTED;0;0;1.783
XDP_DROP;94947;410675;1.783
XDP_PASS;10175057;13248455;1.783
XDP_ABORTED;0;0;1.883
XDP_DROP;165652;704457;1.883
XDP_PASS;11498246;13183371;1.883
XDP_ABORTED;0;0;1.991
XDP_DROP;265468;927500;1.991
XDP_PASS;12895355;12982073;1.991
XDP_ABORTED;0;0;2.103
XDP_DROP;413163;1318928;2.103
XDP_PASS;14333158;12839686;2.103
XDP_ABORTED;0;0;2.211
XDP_DROP;619398;1908730;2.211
XDP_PASS;15678577;12452050;2.211
XDP_ABORTED;0;0;2.311
XDP_DROP;840987;2213413;2.311
XDP_PASS;16878344;11984251;2.311
XDP_ABORTED;0;0;2.419
XDP_DROP;1149115;2859118;2.419
XDP_PASS;18144802;11751460;2.419
XDP_ABORTED;0;0;2.527
XDP_DROP;1555471;3761496;2.527
XDP_PASS;19401700;11634654;2.527
