XDP_action;packets;packets/sec;time
XDP_ABORTED;0;0;0.000
XDP_DROP;0;0;0.000
XDP_PASS;0;0;0.000
XDP_ABORTED;0;0;0.100
XDP_DROP;0;0;0.100
XDP_PASS;0;0;0.100
XDP_ABORTED;0;0;0.200
XDP_DROP;0;0;0.200
XDP_PASS;0;0;0.200
XDP_ABORTED;0;0;0.300
XDP_DROP;0;0;0.300
XDP_PASS;0;0;0.300
XDP_ABORTED;0;0;0.400
XDP_DROP;0;0;0.400
XDP_PASS;0;0;0.400
XDP_ABORTED;0;0;0.501
XDP_DROP;0;0;0.501
XDP_PASS;0;0;0.501
XDP_ABORTED;0;0;0.601
XDP_DROP;0;0;0.601
XDP_PASS;0;0;0.601
XDP_ABORTED;0;0;0.701
XDP_DROP;0;0;0.701
XDP_PASS;0;0;0.701
XDP_ABORTED;0;0;0.801
XDP_DROP;0;0;0.801
XDP_PASS;0;0;0.801
XDP_ABORTED;0;0;0.901
XDP_DROP;0;0;0.901
XDP_PASS;0;0;0.901
XDP_ABORTED;0;0;1.001
XDP_DROP;0;0;1.001
XDP_PASS;0;0;1.001
XDP_ABORTED;0;0;1.101
XDP_DROP;0;0;1.101
XDP_PASS;0;0;1.101
XDP_ABORTED;0;0;1.201
XDP_DROP;0;0;1.201
XDP_PASS;0;0;1.201
XDP_ABORTED;0;0;1.301
XDP_DROP;0;0;1.301
XDP_PASS;0;0;1.301
XDP_ABORTED;0;0;1.401
XDP_DROP;0;0;1.401
XDP_PASS;0;0;1.401
XDP_ABORTED;0;0;1.514
XDP_DROP;0;0;1.514
XDP_PASS;85382;758853;1.514
XDP_ABORTED;0;0;1.625
XDP_DROP;0;0;1.626
XDP_PASS;1613955;13684216;1.626
XDP_ABORTED;0;0;1.734
XDP_DROP;0;0;1.734
XDP_PASS;3235903;15017113;1.734
XDP_ABORTED;0;0;1.838
XDP_DROP;0;0;1.838
XDP_PASS;4813966;15172449;1.838
XDP_ABORTED;0;0;1.950
XDP_DROP;0;0;1.950
XDP_PASS;6517546;15205862;1.950
XDP_ABORTED;0;0;2.062
XDP_DROP;0;0;2.062
XDP_PASS;8232717;15318565;2.062
XDP_ABORTED;0;0;2.165
XDP_DROP;0;0;2.165
XDP_PASS;9839074;15448534;2.165
XDP_ABORTED;0;0;2.270
XDP_DROP;0;0;2.270
XDP_PASS;11454004;15526599;2.270
XDP_ABORTED;0;0;2.374
XDP_DROP;0;0;2.374
XDP_PASS;13071297;15549068;2.374
XDP_ABORTED;0;0;2.474
XDP_DROP;0;0;2.474
XDP_PASS;14627132;15539729;2.474
XDP_ABORTED;0;0;2.577
XDP_DROP;0;0;2.577
XDP_PASS;16236094;15492794;2.577
