XDP_action;packets;packets/sec;time
XDP_ABORTED;0;0;0,000
XDP_DROP;0;0;0,000
XDP_PASS;0;0;0,000
XDP_ABORTED;0;0;0,100
XDP_DROP;0;0;0,100
XDP_PASS;0;0;0,100
XDP_ABORTED;0;0;0,200
XDP_DROP;0;0;0,200
XDP_PASS;0;0;0,200
XDP_ABORTED;0;0;0,300
XDP_DROP;0;0;0,300
XDP_PASS;0;0;0,300
XDP_ABORTED;0;0;0,400
XDP_DROP;0;0;0,400
XDP_PASS;0;0;0,400
XDP_ABORTED;0;0;0,500
XDP_DROP;0;0;0,500
XDP_PASS;0;0;0,500
XDP_ABORTED;0;0;0,601
XDP_DROP;0;0;0,601
XDP_PASS;0;0;0,601
XDP_ABORTED;0;0;0,701
XDP_DROP;0;0;0,701
XDP_PASS;0;0;0,701
XDP_ABORTED;0;0;0,801
XDP_DROP;0;0;0,801
XDP_PASS;0;0;0,801
XDP_ABORTED;0;0;0,901
XDP_DROP;0;0;0,901
XDP_PASS;0;0;0,901
XDP_ABORTED;0;0;1,001
XDP_DROP;0;0;1,001
XDP_PASS;0;0;1,001
XDP_ABORTED;0;0;1,101
XDP_DROP;0;0;1,101
XDP_PASS;0;0;1,101
XDP_ABORTED;0;0;1,201
XDP_DROP;0;0;1,201
XDP_PASS;0;0;1,201
XDP_ABORTED;0;0;1,301
XDP_DROP;0;0;1,301
XDP_PASS;0;0;1,301
XDP_ABORTED;0;0;1,401
XDP_DROP;0;0;1,401
XDP_PASS;0;0;1,401
XDP_ABORTED;0;0;1,501
XDP_DROP;0;0;1,501
XDP_PASS;0;0;1,501
XDP_ABORTED;0;0;1,602
XDP_DROP;0;0;1,602
XDP_PASS;0;0;1,602
XDP_ABORTED;0;0;1,702
XDP_DROP;0;0;1,702
XDP_PASS;0;0;1,702
XDP_ABORTED;0;0;1,802
XDP_DROP;0;0;1,802
XDP_PASS;0;0;1,802
XDP_ABORTED;0;0;1,902
XDP_DROP;0;0;1,902
XDP_PASS;0;0;1,902
XDP_ABORTED;0;0;2,002
XDP_DROP;0;0;2,002
XDP_PASS;88833;887346;2,002
XDP_ABORTED;0;0;2,102
XDP_DROP;0;0;2,102
XDP_PASS;193878;1049260;2,102
XDP_ABORTED;0;0;2,202
XDP_DROP;0;0;2,202
XDP_PASS;299002;1049645;2,202
XDP_ABORTED;0;0;2,302
XDP_DROP;197;1968;2,302
XDP_PASS;403872;1047459;2,302
XDP_ABORTED;0;0;2,403
XDP_DROP;22504;222519;2,403
XDP_PASS;486868;827910;2,403
XDP_ABORTED;0;0;2,503
XDP_DROP;70494;479393;2,503
XDP_PASS;544069;571406;2,503
XDP_ABORTED;0;0;2,603
