XDP_action;packets;packets/sec;time
XDP_ABORTED;0;0;0.000
XDP_DROP;0;0;0.000
XDP_PASS;0;0;0.000
XDP_ABORTED;0;0;0.100
XDP_DROP;0;0;0.100
XDP_PASS;0;0;0.100
XDP_ABORTED;0;0;0.200
XDP_DROP;0;0;0.200
XDP_PASS;0;0;0.200
XDP_ABORTED;0;0;0.300
XDP_DROP;0;0;0.300
XDP_PASS;0;0;0.300
XDP_ABORTED;0;0;0.400
XDP_DROP;0;0;0.400
XDP_PASS;0;0;0.400
XDP_ABORTED;0;0;0.501
XDP_DROP;0;0;0.501
XDP_PASS;0;0;0.501
XDP_ABORTED;0;0;0.601
XDP_DROP;0;0;0.601
XDP_PASS;0;0;0.601
XDP_ABORTED;0;0;0.701
XDP_DROP;0;0;0.701
XDP_PASS;0;0;0.701
XDP_ABORTED;0;0;0.801
XDP_DROP;0;0;0.801
XDP_PASS;0;0;0.801
XDP_ABORTED;0;0;0.901
XDP_DROP;0;0;0.901
XDP_PASS;0;0;0.901
XDP_ABORTED;0;0;1.001
XDP_DROP;0;0;1.001
XDP_PASS;0;0;1.001
XDP_ABORTED;0;0;1.101
XDP_DROP;0;0;1.101
XDP_PASS;0;0;1.101
XDP_ABORTED;0;0;1.201
XDP_DROP;0;0;1.201
XDP_PASS;0;0;1.201
XDP_ABORTED;0;0;1.301
XDP_DROP;0;0;1.301
XDP_PASS;0;0;1.301
XDP_ABORTED;0;0;1.401
XDP_DROP;0;0;1.401
XDP_PASS;0;0;1.401
XDP_ABORTED;0;0;1.501
XDP_DROP;0;0;1.501
XDP_PASS;0;0;1.501
XDP_ABORTED;0;0;1.602
XDP_DROP;0;0;1.602
XDP_PASS;0;0;1.602
XDP_ABORTED;0;0;1.719
XDP_DROP;0;0;1.719
XDP_PASS;110391;937431;1.719
XDP_ABORTED;0;0;1.819
XDP_DROP;0;0;1.819
XDP_PASS;1402445;12905508;1.819
XDP_ABORTED;0;0;1.923
XDP_DROP;1356;13059;1.923
XDP_PASS;2796844;13428738;1.923
XDP_ABORTED;0;0;2.023
XDP_DROP;4813;34533;2.023
XDP_PASS;4195911;13975782;2.023
XDP_ABORTED;0;0;2.139
XDP_DROP;16166;97968;2.139
XDP_PASS;5775733;13632691;2.139
XDP_ABORTED;0;0;2.251
XDP_DROP;41436;225573;2.251
XDP_PASS;7304180;13643701;2.251
XDP_ABORTED;0;0;2.355
XDP_DROP;80052;371074;2.355
XDP_PASS;8685768;13276169;2.355
XDP_ABORTED;0;0;2.455
XDP_DROP;139783;596642;2.455
XDP_PASS;10023691;13364249;2.455
XDP_ABORTED;0;0;2.567
XDP_DROP;235620;856692;2.567
