XDP_action;packets;packets/sec;time
XDP_ABORTED;0;0;0.000
XDP_DROP;0;0;0.000
XDP_PASS;0;0;0.000
XDP_ABORTED;0;0;0.100
XDP_DROP;0;0;0.100
XDP_PASS;0;0;0.100
XDP_ABORTED;0;0;0.200
XDP_DROP;0;0;0.200
XDP_PASS;0;0;0.200
XDP_ABORTED;0;0;0.300
XDP_DROP;0;0;0.300
XDP_PASS;0;0;0.300
XDP_ABORTED;0;0;0.400
XDP_DROP;0;0;0.400
XDP_PASS;0;0;0.400
XDP_ABORTED;0;0;0.500
XDP_DROP;0;0;0.500
XDP_PASS;0;0;0.500
XDP_ABORTED;0;0;0.601
XDP_DROP;0;0;0.601
XDP_PASS;0;0;0.601
XDP_ABORTED;0;0;0.701
XDP_DROP;0;0;0.701
XDP_PASS;0;0;0.701
XDP_ABORTED;0;0;0.801
XDP_DROP;0;0;0.801
XDP_PASS;0;0;0.801
XDP_ABORTED;0;0;0.901
XDP_DROP;0;0;0.901
XDP_PASS;0;0;0.901
XDP_ABORTED;0;0;1.001
XDP_DROP;0;0;1.001
XDP_PASS;0;0;1.001
XDP_ABORTED;0;0;1.101
XDP_DROP;0;0;1.101
XDP_PASS;0;0;1.101
XDP_ABORTED;0;0;1.201
XDP_DROP;0;0;1.201
XDP_PASS;0;0;1.201
XDP_ABORTED;0;0;1.301
XDP_DROP;0;0;1.301
XDP_PASS;0;0;1.301
XDP_ABORTED;0;0;1.401
XDP_DROP;0;0;1.401
XDP_PASS;89171;890840;1.401
XDP_ABORTED;0;0;1.501
XDP_DROP;0;0;1.501
XDP_PASS;194158;1048925;1.501
XDP_ABORTED;0;0;1.601
XDP_DROP;1477;14756;1.601
XDP_PASS;297752;1034946;1.601
XDP_ABORTED;0;0;1.702
XDP_DROP;5853;43719;1.702
XDP_PASS;398839;1009922;1.702
XDP_ABORTED;0;0;1.802
XDP_DROP;11552;56933;1.802
XDP_PASS;498156;992186;1.802
XDP_ABORTED;0;0;1.902
XDP_DROP;27076;155076;1.902
XDP_PASS;587739;894887;1.902
XDP_ABORTED;0;0;2.002
XDP_DROP;70542;434240;2.002
XDP_PASS;649345;615466;2.002
XDP_ABORTED;0;0;2.102
XDP_DROP;122920;523310;2.102
XDP_PASS;701966;525738;2.102
XDP_ABORTED;0;0;2.202
XDP_DROP;177802;548313;2.202
XDP_PASS;752211;501987;2.202
XDP_ABORTED;0;0;2.302
XDP_DROP;256872;790025;2.302
XDP_PASS;778250;260168;2.302
XDP_ABORTED;0;0;2.402
XDP_DROP;350886;939352;2.402
XDP_PASS;789269;110098;2.402
XDP_ABORTED;0;0;2.502
XDP_DROP;444917;939524;2.502
