XDP_action;packets;packets/sec;time
XDP_ABORTED;0;0;0.000
XDP_DROP;0;0;0.000
XDP_PASS;0;0;0.000
XDP_ABORTED;0;0;0.100
XDP_DROP;0;0;0.100
XDP_PASS;0;0;0.100
XDP_ABORTED;0;0;0.200
XDP_DROP;0;0;0.200
XDP_PASS;0;0;0.200
XDP_ABORTED;0;0;0.300
XDP_DROP;0;0;0.300
XDP_PASS;0;0;0.300
XDP_ABORTED;0;0;0.400
XDP_DROP;0;0;0.400
XDP_PASS;0;0;0.400
XDP_ABORTED;0;0;0.500
XDP_DROP;0;0;0.500
XDP_PASS;0;0;0.500
XDP_ABORTED;0;0;0.601
XDP_DROP;0;0;0.601
XDP_PASS;0;0;0.601
XDP_ABORTED;0;0;0.701
XDP_DROP;0;0;0.701
XDP_PASS;0;0;0.701
XDP_ABORTED;0;0;0.801
XDP_DROP;0;0;0.801
XDP_PASS;0;0;0.801
XDP_ABORTED;0;0;0.901
XDP_DROP;0;0;0.901
XDP_PASS;0;0;0.901
XDP_ABORTED;0;0;1.001
XDP_DROP;0;0;1.001
XDP_PASS;0;0;1.001
XDP_ABORTED;0;0;1.101
XDP_DROP;0;0;1.101
XDP_PASS;32575;325465;1.101
XDP_ABORTED;0;0;1.201
XDP_DROP;0;0;1.201
XDP_PASS;137602;1049134;1.201
XDP_ABORTED;0;0;1.301
XDP_DROP;0;0;1.301
XDP_PASS;242702;1049852;1.301
XDP_ABORTED;0;0;1.401
XDP_DROP;0;0;1.401
XDP_PASS;347823;1050096;1.401
XDP_ABORTED;0;0;1.501
XDP_DROP;30503;304656;1.501
XDP_PASS;422468;745537;1.501
XDP_ABORTED;0;0;1.602
XDP_DROP;62780;322438;1.602
XDP_PASS;495295;727522;1.602
XDP_ABORTED;0;0;1.702
XDP_DROP;153228;903537;1.702
XDP_PASS;510177;148665;1.702
XDP_ABORTED;0;0;1.802
XDP_DROP;250987;976575;1.802
XDP_PASS;517539;73544;1.802
XDP_ABORTED;0;0;1.902
XDP_DROP;349749;986727;1.902
XDP_PASS;523779;62344;1.902
XDP_ABORTED;0;0;2.002
XDP_DROP;449174;993344;2.002
XDP_PASS;529386;56019;2.002
XDP_ABORTED;0;0;2.102
XDP_DROP;549208;999409;2.102
XDP_PASS;534449;50583;2.102
XDP_ABORTED;0;0;2.202
XDP_DROP;649211;999514;2.202
XDP_PASS;539439;49874;2.202
XDP_ABORTED;0;0;2.302
XDP_DROP;749277;999696;2.302
XDP_PASS;544450;50062;2.302
XDP_ABORTED;0;0;2.402
XDP_DROP;849367;999954;2.402
XDP_PASS;549467;50123;2.402
XDP_ABORTED;0;0;2.502
XDP_DROP;949471;1000114;2.502
