XDP_action;packets;packets/sec;time
XDP_ABORTED;0;0;0.000
XDP_DROP;0;0;0.000
XDP_PASS;0;0;0.000
XDP_ABORTED;0;0;0.100
XDP_DROP;0;0;0.100
XDP_PASS;0;0;0.100
XDP_ABORTED;0;0;0.200
XDP_DROP;0;0;0.200
XDP_PASS;0;0;0.200
XDP_ABORTED;0;0;0.300
XDP_DROP;0;0;0.300
XDP_PASS;0;0;0.300
XDP_ABORTED;0;0;0.400
XDP_DROP;0;0;0.400
XDP_PASS;0;0;0.400
XDP_ABORTED;0;0;0.500
XDP_DROP;0;0;0.500
XDP_PASS;0;0;0.500
XDP_ABORTED;0;0;0.600
XDP_DROP;0;0;0.600
XDP_PASS;0;0;0.600
XDP_ABORTED;0;0;0.701
XDP_DROP;0;0;0.701
XDP_PASS;0;0;0.701
XDP_ABORTED;0;0;0.801
XDP_DROP;0;0;0.801
XDP_PASS;0;0;0.801
XDP_ABORTED;0;0;0.901
XDP_DROP;0;0;0.901
XDP_PASS;0;0;0.901
XDP_ABORTED;0;0;1.001
XDP_DROP;0;0;1.001
XDP_PASS;0;0;1.001
XDP_ABORTED;0;0;1.101
XDP_DROP;0;0;1.101
XDP_PASS;0;0;1.101
XDP_ABORTED;0;0;1.201
XDP_DROP;0;0;1.201
XDP_PASS;0;0;1.201
XDP_ABORTED;0;0;1.304
XDP_DROP;0;0;1.304
XDP_PASS;1093703;10613713;1.304
XDP_ABORTED;0;0;1.408
XDP_DROP;0;0;1.408
XDP_PASS;2653309;14997971;1.408
XDP_ABORTED;0;0;1.512
XDP_DROP;0;0;1.512
XDP_PASS;4208724;14954741;1.512
XDP_ABORTED;0;0;1.612
XDP_DROP;0;0;1.612
XDP_PASS;5728723;15168383;1.612
XDP_ABORTED;0;0;1.713
XDP_DROP;0;0;1.713
XDP_PASS;7270967;15316640;1.713
XDP_ABORTED;0;0;1.824
XDP_DROP;0;0;1.824
XDP_PASS;8960456;15207020;1.824
XDP_ABORTED;0;0;1.936
XDP_DROP;0;0;1.936
XDP_PASS;10691951;15461064;1.936
XDP_ABORTED;0;0;2.037
XDP_DROP;0;0;2.037
XDP_PASS;12245302;15465752;2.037
XDP_ABORTED;0;0;2.137
XDP_DROP;0;0;2.137
XDP_PASS;13789298;15418358;2.137
XDP_ABORTED;0;0;2.237
XDP_DROP;0;0;2.237
XDP_PASS;15337775;15458733;2.237
XDP_ABORTED;0;0;2.337
XDP_DROP;0;0;2.337
XDP_PASS;16864555;15249675;2.337
XDP_ABORTED;0;0;2.440
XDP_DROP;0;0;2.440
XDP_PASS;18456168;15427519;2.440
XDP_ABORTED;0;0;2.544
XDP_DROP;0;0;2.544
