XDP_action;packets;packets/sec;time
XDP_ABORTED;0;0;0.000
XDP_DROP;0;0;0.000
XDP_PASS;0;0;0.000
XDP_ABORTED;0;0;0.100
XDP_DROP;0;0;0.100
XDP_PASS;0;0;0.100
XDP_ABORTED;0;0;0.200
XDP_DROP;0;0;0.200
XDP_PASS;0;0;0.200
XDP_ABORTED;0;0;0.300
XDP_DROP;0;0;0.300
XDP_PASS;0;0;0.300
XDP_ABORTED;0;0;0.400
XDP_DROP;0;0;0.400
XDP_PASS;0;0;0.400
XDP_ABORTED;0;0;0.500
XDP_DROP;0;0;0.500
XDP_PASS;0;0;0.500
XDP_ABORTED;0;0;0.601
XDP_DROP;0;0;0.601
XDP_PASS;0;0;0.601
XDP_ABORTED;0;0;0.701
XDP_DROP;0;0;0.701
XDP_PASS;0;0;0.701
XDP_ABORTED;0;0;0.801
XDP_DROP;0;0;0.801
XDP_PASS;0;0;0.801
XDP_ABORTED;0;0;0.901
XDP_DROP;0;0;0.901
XDP_PASS;0;0;0.901
XDP_ABORTED;0;0;1.001
XDP_DROP;0;0;1.001
XDP_PASS;0;0;1.001
XDP_ABORTED;0;0;1.101
XDP_DROP;0;0;1.101
XDP_PASS;0;0;1.101
XDP_ABORTED;0;0;1.201
XDP_DROP;0;0;1.201
XDP_PASS;0;0;1.201
XDP_ABORTED;0;0;1.301
XDP_DROP;0;0;1.301
XDP_PASS;0;0;1.301
XDP_ABORTED;0;0;1.401
XDP_DROP;0;0;1.401
XDP_PASS;0;0;1.401
XDP_ABORTED;0;0;1.501
XDP_DROP;0;0;1.501
XDP_PASS;0;0;1.501
XDP_ABORTED;0;0;1.601
XDP_DROP;0;0;1.601
XDP_PASS;0;0;1.601
XDP_ABORTED;0;0;1.721
XDP_DROP;0;0;1.721
XDP_PASS;188384;1579791;1.721
XDP_ABORTED;0;0;1.825
XDP_DROP;0;0;1.825
XDP_PASS;1434794;11991889;1.825
XDP_ABORTED;0;0;1.929
XDP_DROP;6;58;1.929
XDP_PASS;2698387;12148335;1.929
XDP_ABORTED;0;0;2.033
XDP_DROP;131;1201;2.033
XDP_PASS;3953482;12055923;2.033
XDP_ABORTED;0;0;2.137
XDP_DROP;236;1010;2.137
XDP_PASS;5203198;12024375;2.137
XDP_ABORTED;0;0;2.241
XDP_DROP;545;2973;2.241
XDP_PASS;6442423;11924312;2.241
XDP_ABORTED;0;0;2.345
XDP_DROP;1076;5104;2.345
XDP_PASS;7679788;11894327;2.345
XDP_ABORTED;0;0;2.449
XDP_DROP;1674;5747;2.449
XDP_PASS;8899626;11723053;2.449
XDP_ABORTED;0;0;2.553
XDP_DROP;2538;8312;2.553
XDP_PASS;10120433;11744302;2.553
