XDP_action;packets;packets/sec;time
XDP_ABORTED;0;0;0.000
XDP_DROP;0;0;0.000
XDP_PASS;0;0;0.000
XDP_ABORTED;0;0;0.100
XDP_DROP;0;0;0.100
XDP_PASS;0;0;0.100
XDP_ABORTED;0;0;0.200
XDP_DROP;0;0;0.200
XDP_PASS;0;0;0.200
XDP_ABORTED;0;0;0.300
XDP_DROP;0;0;0.300
XDP_PASS;0;0;0.300
XDP_ABORTED;0;0;0.400
XDP_DROP;0;0;0.400
XDP_PASS;0;0;0.400
XDP_ABORTED;0;0;0.500
XDP_DROP;0;0;0.500
XDP_PASS;0;0;0.500
XDP_ABORTED;0;0;0.601
XDP_DROP;0;0;0.601
XDP_PASS;0;0;0.601
XDP_ABORTED;0;0;0.701
XDP_DROP;0;0;0.701
XDP_PASS;0;0;0.701
XDP_ABORTED;0;0;0.801
XDP_DROP;0;0;0.801
XDP_PASS;0;0;0.801
XDP_ABORTED;0;0;0.901
XDP_DROP;0;0;0.901
XDP_PASS;0;0;0.901
XDP_ABORTED;0;0;1.001
XDP_DROP;0;0;1.001
XDP_PASS;0;0;1.001
XDP_ABORTED;0;0;1.101
XDP_DROP;0;0;1.101
XDP_PASS;0;0;1.101
XDP_ABORTED;0;0;1.201
XDP_DROP;0;0;1.201
XDP_PASS;0;0;1.201
XDP_ABORTED;0;0;1.301
XDP_DROP;0;0;1.301
XDP_PASS;0;0;1.301
XDP_ABORTED;0;0;1.401
XDP_DROP;0;0;1.401
XDP_PASS;0;0;1.401
XDP_ABORTED;0;0;1.501
XDP_DROP;0;0;1.501
XDP_PASS;70204;701221;1.501
XDP_ABORTED;0;0;1.602
XDP_DROP;0;0;1.602
XDP_PASS;175277;1047825;1.602
XDP_ABORTED;0;0;1.702
XDP_DROP;0;0;1.702
XDP_PASS;280281;1048749;1.702
XDP_ABORTED;0;0;1.802
XDP_DROP;0;0;1.802
XDP_PASS;385279;1048721;1.802
XDP_ABORTED;0;0;1.902
XDP_DROP;33440;333907;1.902
XDP_PASS;456982;715974;1.902
XDP_ABORTED;0;0;2.002
XDP_DROP;87701;541972;2.002
XDP_PASS;507984;509421;2.002
XDP_ABORTED;0;0;2.102
XDP_DROP;165937;781553;2.102
XDP_PASS;534800;267883;2.102
XDP_ABORTED;0;0;2.202
XDP_DROP;264703;986580;2.202
XDP_PASS;541240;64330;2.202
XDP_ABORTED;0;0;2.303
XDP_DROP;363520;987236;2.303
XDP_PASS;547762;65158;2.303
XDP_ABORTED;0;0;2.403
XDP_DROP;463254;996446;2.403
XDP_PASS;553041;52743;2.403
XDP_ABORTED;0;0;2.503
XDP_DROP;563087;997840;2.503
XDP_PASS;558209;51654;2.503
