XDP_action;packets;packets/sec;time
XDP_ABORTED;0;0;0.000
XDP_DROP;0;0;0.000
XDP_PASS;0;0;0.000
XDP_ABORTED;0;0;0.100
XDP_DROP;0;0;0.100
XDP_PASS;0;0;0.100
XDP_ABORTED;0;0;0.200
XDP_DROP;0;0;0.200
XDP_PASS;0;0;0.200
XDP_ABORTED;0;0;0.300
XDP_DROP;0;0;0.300
XDP_PASS;0;0;0.300
XDP_ABORTED;0;0;0.400
XDP_DROP;0;0;0.400
XDP_PASS;0;0;0.400
XDP_ABORTED;0;0;0.500
XDP_DROP;0;0;0.500
XDP_PASS;0;0;0.500
XDP_ABORTED;0;0;0.601
XDP_DROP;0;0;0.601
XDP_PASS;0;0;0.601
XDP_ABORTED;0;0;0.701
XDP_DROP;0;0;0.701
XDP_PASS;0;0;0.701
XDP_ABORTED;0;0;0.801
XDP_DROP;0;0;0.801
XDP_PASS;0;0;0.801
XDP_ABORTED;0;0;0.901
XDP_DROP;0;0;0.901
XDP_PASS;0;0;0.901
XDP_ABORTED;0;0;1.001
XDP_DROP;0;0;1.001
XDP_PASS;0;0;1.001
XDP_ABORTED;0;0;1.101
XDP_DROP;0;0;1.101
XDP_PASS;172;1718;1.101
XDP_ABORTED;0;0;1.201
XDP_DROP;0;0;1.201
XDP_PASS;10246;100652;1.201
XDP_ABORTED;0;0;1.301
XDP_DROP;0;0;1.301
XDP_PASS;25244;149850;1.301
XDP_ABORTED;0;0;1.401
XDP_DROP;0;0;1.401
XDP_PASS;40242;149851;1.401
XDP_ABORTED;0;0;1.501
XDP_DROP;0;0;1.501
XDP_PASS;55250;149950;1.501
XDP_ABORTED;0;0;1.601
XDP_DROP;0;0;1.601
XDP_PASS;70279;150129;1.601
XDP_ABORTED;0;0;1.702
XDP_DROP;0;0;1.702
XDP_PASS;85312;150209;1.702
XDP_ABORTED;0;0;1.802
XDP_DROP;0;0;1.802
XDP_PASS;100319;149943;1.802
XDP_ABORTED;0;0;1.902
XDP_DROP;0;0;1.902
XDP_PASS;115320;149881;1.902
XDP_ABORTED;0;0;2.002
XDP_DROP;0;0;2.002
XDP_PASS;130320;149874;2.002
XDP_ABORTED;0;0;2.102
XDP_DROP;0;0;2.102
XDP_PASS;145320;149837;2.102
XDP_ABORTED;0;0;2.202
XDP_DROP;0;0;2.202
XDP_PASS;160324;149912;2.202
XDP_ABORTED;0;0;2.302
XDP_DROP;0;0;2.302
XDP_PASS;175360;150237;2.302
XDP_ABORTED;0;0;2.402
XDP_DROP;0;0;2.402
XDP_PASS;190388;150157;2.402
XDP_ABORTED;0;0;2.502
XDP_DROP;0;0;2.502
XDP_PASS;205390;149898;2.502
