XDP_action;packets;packets/sec;time
XDP_ABORTED;0;0;0.000
XDP_DROP;0;0;0.000
XDP_PASS;0;0;0.000
XDP_ABORTED;0;0;0.100
XDP_DROP;0;0;0.100
XDP_PASS;0;0;0.100
XDP_ABORTED;0;0;0.200
XDP_DROP;0;0;0.200
XDP_PASS;0;0;0.200
XDP_ABORTED;0;0;0.300
XDP_DROP;0;0;0.300
XDP_PASS;0;0;0.300
XDP_ABORTED;0;0;0.400
XDP_DROP;0;0;0.400
XDP_PASS;0;0;0.400
XDP_ABORTED;0;0;0.500
XDP_DROP;0;0;0.501
XDP_PASS;0;0;0.501
XDP_ABORTED;0;0;0.601
XDP_DROP;0;0;0.601
XDP_PASS;0;0;0.601
XDP_ABORTED;0;0;0.701
XDP_DROP;0;0;0.701
XDP_PASS;0;0;0.701
XDP_ABORTED;0;0;0.801
XDP_DROP;0;0;0.801
XDP_PASS;0;0;0.801
XDP_ABORTED;0;0;0.901
XDP_DROP;0;0;0.901
XDP_PASS;0;0;0.901
XDP_ABORTED;0;0;1.001
XDP_DROP;0;0;1.001
XDP_PASS;0;0;1.001
XDP_ABORTED;0;0;1.101
XDP_DROP;0;0;1.101
XDP_PASS;0;0;1.101
XDP_ABORTED;0;0;1.201
XDP_DROP;0;0;1.201
XDP_PASS;341994;3415160;1.201
XDP_ABORTED;0;0;1.301
XDP_DROP;0;0;1.301
XDP_PASS;1345532;10014059;1.301
XDP_ABORTED;0;0;1.402
XDP_DROP;0;0;1.402
XDP_PASS;2352136;10049059;1.402
XDP_ABORTED;0;0;1.502
XDP_DROP;33;330;1.502
XDP_PASS;3356608;10033580;1.502
XDP_ABORTED;0;0;1.602
XDP_DROP;741;7072;1.602
XDP_PASS;4362008;10041977;1.602
XDP_ABORTED;0;0;1.702
XDP_DROP;1688;9457;1.702
XDP_PASS;5367496;10040985;1.702
XDP_ABORTED;0;0;1.802
XDP_DROP;2991;13022;1.802
XDP_PASS;6371656;10035232;1.802
XDP_ABORTED;0;0;1.902
XDP_DROP;7255;42463;1.902
XDP_PASS;7376473;10006400;1.902
XDP_ABORTED;0;0;2.002
XDP_DROP;12067;48072;2.002
XDP_PASS;8377594;10001238;2.002
XDP_ABORTED;0;0;2.103
XDP_DROP;18655;65783;2.103
XDP_PASS;9377458;9983952;2.103
XDP_ABORTED;0;0;2.203
XDP_DROP;32934;142337;2.203
XDP_PASS;10371416;9908068;2.203
XDP_ABORTED;0;0;2.303
XDP_DROP;47384;144351;2.303
XDP_PASS;11363065;9906282;2.303
XDP_ABORTED;0;0;2.403
XDP_DROP;66104;186992;2.403
XDP_PASS;12350405;9862450;2.403
XDP_ABORTED;0;0;2.503
