XDP_action;packets;packets/sec;time
XDP_ABORTED;0;0;0.000
XDP_DROP;0;0;0.000
XDP_PASS;0;0;0.000
XDP_ABORTED;0;0;0.100
XDP_DROP;0;0;0.100
XDP_PASS;0;0;0.100
XDP_ABORTED;0;0;0.200
XDP_DROP;0;0;0.200
XDP_PASS;0;0;0.200
XDP_ABORTED;0;0;0.300
XDP_DROP;0;0;0.300
XDP_PASS;0;0;0.300
XDP_ABORTED;0;0;0.400
XDP_DROP;0;0;0.400
XDP_PASS;0;0;0.400
XDP_ABORTED;0;0;0.500
XDP_DROP;0;0;0.500
XDP_PASS;0;0;0.500
XDP_ABORTED;0;0;0.601
XDP_DROP;0;0;0.601
XDP_PASS;0;0;0.601
XDP_ABORTED;0;0;0.701
XDP_DROP;0;0;0.701
XDP_PASS;0;0;0.701
XDP_ABORTED;0;0;0.801
XDP_DROP;0;0;0.801
XDP_PASS;0;0;0.801
XDP_ABORTED;0;0;0.901
XDP_DROP;0;0;0.901
XDP_PASS;0;0;0.901
XDP_ABORTED;0;0;1.001
XDP_DROP;0;0;1.001
XDP_PASS;0;0;1.001
XDP_ABORTED;0;0;1.101
XDP_DROP;0;0;1.101
XDP_PASS;0;0;1.101
XDP_ABORTED;0;0;1.220
XDP_DROP;0;0;1.220
XDP_PASS;713751;5983933;1.220
XDP_ABORTED;0;0;1.340
XDP_DROP;55;458;1.340
XDP_PASS;2280044;13049980;1.340
XDP_ABORTED;0;0;1.449
XDP_DROP;1170;10300;1.449
XDP_PASS;3802613;14065471;1.449
XDP_ABORTED;0;0;1.549
XDP_DROP;9902;87220;1.549
XDP_PASS;5168682;13645106;1.549
XDP_ABORTED;0;0;1.652
XDP_DROP;43280;322174;1.652
XDP_PASS;6603079;13845213;1.652
XDP_ABORTED;0;0;1.768
XDP_DROP;94661;442835;1.768
XDP_PASS;8157504;13397061;1.768
XDP_ABORTED;0;0;1.872
XDP_DROP;186889;885759;1.872
XDP_PASS;9552565;13398201;1.872
XDP_ABORTED;0;0;1.976
XDP_DROP;294178;1032050;1.976
XDP_PASS;10899098;12952744;1.976
XDP_ABORTED;0;0;2.088
XDP_DROP;490656;1752474;2.088
XDP_PASS;12349977;12941023;2.088
XDP_ABORTED;0;0;2.192
XDP_DROP;703208;2048660;2.192
XDP_PASS;13649635;12526622;2.192
XDP_ABORTED;0;0;2.292
XDP_DROP;1001323;2976571;2.292
XDP_PASS;14892591;12410484;2.292
XDP_ABORTED;0;0;2.433
XDP_DROP;1393235;2778251;2.433
XDP_PASS;16285941;9877418;2.433
XDP_ABORTED;0;0;2.540
XDP_DROP;1831689;4103666;2.540
XDP_PASS;17429008;10698395;2.540
