XDP_action;packets;packets/sec;time
XDP_ABORTED;0;0;0,000
XDP_DROP;0;0;0,000
XDP_PASS;0;0;0,000
XDP_ABORTED;0;0;0,100
XDP_DROP;0;0;0,100
XDP_PASS;0;0;0,100
XDP_ABORTED;0;0;0,200
XDP_DROP;0;0;0,200
XDP_PASS;0;0;0,200
XDP_ABORTED;0;0;0,300
XDP_DROP;0;0;0,300
XDP_PASS;0;0;0,300
XDP_ABORTED;0;0;0,400
XDP_DROP;0;0;0,400
XDP_PASS;0;0;0,400
XDP_ABORTED;0;0;0,500
XDP_DROP;0;0;0,500
XDP_PASS;0;0;0,500
XDP_ABORTED;0;0;0,600
XDP_DROP;0;0;0,600
XDP_PASS;0;0;0,600
XDP_ABORTED;0;0;0,701
XDP_DROP;0;0;0,701
XDP_PASS;0;0;0,701
XDP_ABORTED;0;0;0,801
XDP_DROP;0;0;0,801
XDP_PASS;0;0;0,801
XDP_ABORTED;0;0;0,901
XDP_DROP;0;0;0,901
XDP_PASS;0;0;0,901
XDP_ABORTED;0;0;1,001
XDP_DROP;0;0;1,001
XDP_PASS;0;0;1,001
XDP_ABORTED;0;0;1,101
XDP_DROP;0;0;1,101
XDP_PASS;0;0;1,101
XDP_ABORTED;0;0;1,201
XDP_DROP;0;0;1,201
XDP_PASS;0;0;1,201
XDP_ABORTED;0;0;1,301
XDP_DROP;0;0;1,301
XDP_PASS;0;0;1,301
XDP_ABORTED;0;0;1,401
XDP_DROP;0;0;1,401
XDP_PASS;0;0;1,401
XDP_ABORTED;0;0;1,501
XDP_DROP;0;0;1,501
XDP_PASS;0;0;1,501
XDP_ABORTED;0;0;1,601
XDP_DROP;0;0;1,601
XDP_PASS;0;0;1,601
XDP_ABORTED;0;0;1,701
XDP_DROP;0;0;1,701
XDP_PASS;0;0;1,701
XDP_ABORTED;0;0;1,805
XDP_DROP;0;0;1,805
XDP_PASS;733660;7075125;1,805
XDP_ABORTED;0;0;1,909
XDP_DROP;0;0;1,909
XDP_PASS;2279036;14864311;1,909
XDP_ABORTED;0;0;2,016
XDP_DROP;0;0;2,016
XDP_PASS;3860979;14803336;2,016
XDP_ABORTED;0;0;2,129
XDP_DROP;4;35;2,129
XDP_PASS;5482371;14333801;2,129
XDP_ABORTED;0;0;2,233
XDP_DROP;67;606;2,233
XDP_PASS;6969882;14298720;2,233
XDP_ABORTED;0;0;2,349
XDP_DROP;478;3543;2,349
XDP_PASS;8617416;14204049;2,349
XDP_ABORTED;0;0;2,461
XDP_DROP;1500;9123;2,461
XDP_PASS;10212381;14237489;2,461
XDP_ABORTED;0;0;2,561
XDP_DROP;3246;17440;2,561
XDP_PASS;11632702;14186870;2,561
