Experiment;IP Stack;Inv Clients;Val Clients;PPSV;PPSI;Length of Experiment;Ban limit;Ban length;;Packets dropped;Packets passed;CPU (via top);Log messages exchanged;Messages received by udp_server;Packets not reaching udp_server;;Best case drop rate;Actual drop rate;;Type;
file_IPv4_100k_65534_1;IPv4;65534;254;50000;100000;300;3;30;;27837462;17162539;0:04.95;16809553;1966020;352986;;93,4466;92,79154;0;file;'IPv4/file/file_IPv4_100k_65534_1.csv' : Params('IPv4', '65534 clients', '100000 PPS'),
file_IPv4_100k_65534_2;IPv4;65534;254;50000;100000;300;3;30;;27841725;17158276;0:04.90;16814875;1966020;343401;;93,4466;92,80575;0;file;'IPv4/file/file_IPv4_100k_65534_2.csv' : Params('IPv4', '65534 clients', '100000 PPS'),
file_IPv4_1m_65534_1;IPv4;65534;254;50000;1000000;300;3;30;;293844578;21155423;0:06.10;16967951;2371511;4187472;;99,34466;97,94819267;0;file;'IPv4/file/file_IPv4_1m_65534_1.csv' : Params('IPv4', '65534 clients', '1000000 PPS'),
file_IPv4_1m_65534_2;IPv4;65534;254;50000;1000000;300;3;30;;294216831;20783169;0:06.27;16996668;2398373;3786501;;99,34466;98,072277;0;file;'IPv4/file/file_IPv4_1m_65534_2.csv' : Params('IPv4', '65534 clients', '1000000 PPS'),
file_IPv4_10m_65534_1;IPv4;65534;254;50000;10000000;300;3;30;;2939864319;75068710;0:09.69;17513295;3510069;57555415;;99,934466;97,9954773;0;file;'IPv4/file/file_IPv4_10m_65534_1.csv' : Params('IPv4', '65534 clients', '10000000 PPS'),
file_IPv4_10m_65534_2;IPv4;65534;254;50000;10000000;300;3;30;;2941922434;73044559;0:10.21;17681554;3652135;55363005;;99,934466;98,06408113;0;file;'IPv4/file/file_IPv4_10m_65534_2.csv' : Params('IPv4', '65534 clients', '10000000 PPS'),
file_IPv4_20m_65534_1;IPv4;65534;254;50000;20000000;300;3;30;;5864107428;127597859;0:13.36;17728198;3989533;109869661;;99,967233;97,7351238;0;file;'IPv4/file/file_IPv4_20m_65534_1.csv' : Params('IPv4', '65534 clients', '20000000 PPS'),
file_IPv4_20m_65534_2;IPv4;65534;254;50000;20000000;300;3;30;;5832194281;149324028;0:12.75;17560133;3879454;131763895;;99,967233;97,20323802;0;file;'IPv4/file/file_IPv4_20m_65534_2.csv' : Params('IPv4', '65534 clients', '20000000 PPS'),
file_IPv4_30m_65534_1;IPv4;65534;254;50000;30000000;300;3;30;;8775220474;159822950;0:16.55;17482726;4071614;142340224;;99,97815533;97,50244971;0;file;'IPv4/file/file_IPv4_30m_65534_1.csv' : Params('IPv4', '65534 clients', '30000000 PPS'),
file_IPv4_30m_65534_2;IPv4;65534;254;50000;30000000;300;3;30;;8761786660;170889234;0:15.97;17432374;4000767;153456859;;99,97815533;97,35318511;-1;file;'IPv4/file/file_IPv4_30m_65534_2.csv' : Params('IPv4', '65534 clients', '30000000 PPS'),
;;;;;;;;;;;;;;;;;;;;;
shm_IPv4_100k_65534_1;IPv4;65534;254;50000;100000;300;3;30;;28033981;16966021;0:05.94;16966021;1966020;0;;93,4466;93,44660333;0;shm;'IPv4/shm/shm_IPv4_100k_65534_1.csv' : Params('IPv4', '65534 clients', '100000 PPS'),
shm_IPv4_100k_65534_2;IPv4;65534;254;50000;100000;300;3;30;;28033973;16966029;0:05.88;16966029;1966028;0;;93,4466;93,44657667;0;shm;'IPv4/shm/shm_IPv4_100k_65534_2.csv' : Params('IPv4', '65534 clients', '100000 PPS'),
shm_IPv4_1m_65534_1;IPv4;65534;254;50000;1000000;300;3;30;;297061828;17938181;0:07.47;17813670;2819969;124511;;99,34466;99,02060933;0;shm;'IPv4/shm/shm_IPv4_1m_65534_1.csv' : Params('IPv4', '65534 clients', '1000000 PPS'),
shm_IPv4_1m_65534_2;IPv4;65534;254;50000;1000000;300;3;30;;297059334;17940675;0:07.50;17826773;2832568;113902;;99,34466;99,019778;0;shm;'IPv4/shm/shm_IPv4_1m_65534_2.csv' : Params('IPv4', '65534 clients', '1000000 PPS'),
shm_IPv4_10m_65534_1;IPv4;65534;254;50000;10000000;300;3;30;;2974603867;37486666;0:16.86;20019891;5193081;17466775;;99,934466;99,15346223;0;shm;'IPv4/shm/shm_IPv4_10m_65534_1.csv' : Params('IPv4', '65534 clients', '10000000 PPS'),
shm_IPv4_10m_65534_2;IPv4;65534;254;50000;10000000;300;3;30;;2973849729;38469472;0:17.57;20063180;5240155;18406291;;99,934466;99,1283243;-1;shm;'IPv4/shm/shm_IPv4_10m_65534_2.csv' : Params('IPv4', '65534 clients', '10000000 PPS'),
shm_IPv4_20m_65534_1;IPv4;65534;254;50000;20000000;300;3;30;;5938612315;61772498;0:23.66;20921211;6253164;40851287;;99,967233;98,97687192;0;shm;'IPv4/shm/shm_IPv4_20m_65534_1.csv' : Params('IPv4', '65534 clients', '20000000 PPS'),
shm_IPv4_20m_65534_2;IPv4;65534;254;50000;20000000;300;3;30;;5933078974;63728131;0:24.29;20776678;6125801;42951453;;99,967233;98,88464957;0;shm;'IPv4/shm/shm_IPv4_20m_65534_2.csv' : Params('IPv4', '65534 clients', '20000000 PPS'),
shm_IPv4_30m_65534_1;IPv4;65534;254;50000;30000000;300;3;30;;8829865266;87229424;0:39.08;21386407;6991756;65843017;;99,97815533;98,10961407;0;shm;'IPv4/shm/shm_IPv4_30m_65534_1.csv' : Params('IPv4', '65534 clients', '30000000 PPS'),
shm_IPv4_30m_65534_2;IPv4;65534;254;50000;30000000;300;3;30;;8815321758;94586591;0:37.55;21139934;6798270;73446656;;99,97815533;97,94801953;-1;shm;'IPv4/shm/shm_IPv4_30m_65534_2.csv' : Params('IPv4', '65534 clients', '30000000 PPS'),
;;;;;;;;;;;;;;;;;;;;;
sock_IPv4_100k_65534_1;IPv4;65534;254;50000;100000;300;3;30;;28016337;16983665;0:57.90;16957100;1966020;26565;;93,4466;93,38779;0;sock;'IPv4/sock/sock_IPv4_100k_65534_1.csv' : Params('IPv4', '65534 clients', '100000 PPS'),
sock_IPv4_100k_65534_2;IPv4;65534;254;50000;100000;300;3;30;;28015809;16984193;0:57.95;16956866;1966020;27327;;93,4466;93,38603;0;sock;'IPv4/sock/sock_IPv4_100k_65534_2.csv' : Params('IPv4', '65534 clients', '100000 PPS'),
sock_IPv4_1m_65534_1;IPv4;65534;254;50000;1000000;300;3;30;;296790835;18209174;0:34.01;16959557;2027015;1249617;;99,34466;98,93027833;0;sock;'IPv4/sock/sock_IPv4_1m_65534_1.csv' : Params('IPv4', '65534 clients', '1000000 PPS'),
sock_IPv4_1m_65534_2;IPv4;65534;254;50000;1000000;300;3;30;;296771972;18228037;0:34.68;16955587;2024404;1272450;;99,34466;98,92399067;0;sock;'IPv4/sock/sock_IPv4_1m_65534_2.csv' : Params('IPv4', '65534 clients', '1000000 PPS'),
sock_IPv4_10m_65534_1;IPv4;65534;254;50000;10000000;300;3;30;;2949903005;61811876;1:16.00;17128799;2552311;44683077;;99,934466;98,33010017;0;sock;'IPv4/sock/sock_IPv4_10m_65534_1.csv' : Params('IPv4', '65534 clients', '10000000 PPS'),
sock_IPv4_10m_65534_2;IPv4;65534;254;50000;10000000;300;3;30;;2949143418;61781749;1:16.02;17053995;2497711;44727754;;99,934466;98,3047806;0;sock;'IPv4/sock/sock_IPv4_10m_65534_2.csv' : Params('IPv4', '65534 clients', '10000000 PPS'),
sock_IPv4_20m_65534_1;IPv4;65534;254;50000;20000000;300;3;30;;5879846095;107691675;1:44.97;16955499;2716484;90736176;;99,967233;97,99743492;0;sock;'IPv4/sock/sock_IPv4_20m_65534_1.csv' : Params('IPv4', '65534 clients', '20000000 PPS'),
sock_IPv4_20m_65534_2;IPv4;65534;254;50000;20000000;300;3;30;;5882126575;105275415;1:44.70;16938235;2676750;88337180;;99,967233;98,03544292;0;sock;'IPv4/sock/sock_IPv4_20m_65534_2.csv' : Params('IPv4', '65534 clients', '20000000 PPS'),
sock_IPv4_30m_65534_1;IPv4;65534;254;50000;30000000;300;3;30;;8744450866;139424377;2:18.85;16914828;3161817;122509549;;99,97815533;97,16056518;0;sock;'IPv4/sock/sock_IPv4_30m_65534_1.csv' : Params('IPv4', '65534 clients', '30000000 PPS'),
sock_IPv4_30m_65534_2;IPv4;65534;254;50000;30000000;300;3;30;;8733172746;146941837;2:20.90;16822965;3131742;130118872;;99,97815533;97,03525273;0;sock;'IPv4/sock/sock_IPv4_30m_65534_2.csv' : Params('IPv4', '65534 clients', '30000000 PPS'),
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
file_IPv6_100k_65534_1;IPv6;65534;254;50000;100000;300;3;30;;27901598;17098403;0:06.01;16865797;1966020;232606;;93,4466;93,00532667;0;file;'IPv6/file/file_IPv6_100k_65534_1.csv' : Params('IPv6', '65534 clients', '100000 PPS'),
file_IPv6_100k_65534_2;IPv6;65534;254;50000;100000;300;3;30;;27898480;17101521;0:06.06;16862580;1966020;238941;;93,4466;92,99493333;0;file;'IPv6/file/file_IPv6_100k_65534_2.csv' : Params('IPv6', '65534 clients', '100000 PPS'),
file_IPv6_1m_65534_1;IPv6;65534;254;50000;1000000;300;3;30;;294955211;20044790;0:07.15;17102532;2430012;2942258;;99,34466;98,31840367;0;file;'IPv6/file/file_IPv6_1m_65534_1.csv' : Params('IPv6', '65534 clients', '1000000 PPS'),
file_IPv6_1m_65534_2;IPv6;65534;254;50000;1000000;300;3;30;;294694169;20305832;0:07.20;17055573;2386579;3250259;;99,34466;98,23138967;0;file;'IPv6/file/file_IPv6_1m_65534_2.csv' : Params('IPv6', '65534 clients', '1000000 PPS'),
file_IPv6_10m_65534_1;IPv6;65534;254;50000;10000000;300;3;30;;2954133315;60864644;0:11.10;17510704;3216532;43353940;;99,934466;98,4711105;0;file;'IPv6/file/file_IPv6_10m_65534_1.csv' : Params('IPv6', '65534 clients', '10000000 PPS'),
file_IPv6_10m_65534_2;IPv6;65534;254;50000;10000000;300;3;30;;2948439661;66554705;0:11.40;17431218;3156067;49123487;;99,934466;98,28132203;0;file;'IPv6/file/file_IPv6_10m_65534_2.csv' : Params('IPv6', '65534 clients', '10000000 PPS'),
file_IPv6_20m_65534_1;IPv6;65534;254;50000;20000000;300;3;30;;5853038753;159465297;0:17.00;17680819;4093531;141784478;;99,967233;97,55064588;0;file;'IPv6/file/file_IPv6_20m_65534_1.csv' : Params('IPv6', '65534 clients', '20000000 PPS'),
file_IPv6_20m_65534_2;IPv6;65534;254;50000;20000000;300;3;30;;5848890446;163238898;0:16.25;17564831;3890612;145674067;;99,967233;97,48150743;0;file;'IPv6/file/file_IPv6_20m_65534_2.csv' : Params('IPv6', '65534 clients', '20000000 PPS'),
file_IPv6_30m_65534_1;IPv6;65534;254;50000;30000000;300;3;30;;8740772717;211044904;0:22.51;17201162;3872920;193843742;;99,97815533;97,11969686;0;file;'IPv6/file/file_IPv6_30m_65534_1.csv' : Params('IPv6', '65534 clients', '30000000 PPS'),
file_IPv6_30m_65534_2;IPv6;65534;254;50000;30000000;300;3;30;;8743505435;211877052;0:22.44;17375163;4029527;194501889;;99,97815533;97,15006039;0;file;'IPv6/file/file_IPv6_30m_65534_2.csv' : Params('IPv6', '65534 clients', '30000000 PPS'),
;;;;;;;;;;;;;;;;;;;;;
shm_IPv6_100k_65534_1;IPv6;65534;254;50000;100000;300;3;30;;28033981;16966020;0:06.57;16966020;1966020;0;;93,4466;93,44660333;0;shm;'IPv6/shm/shm_IPv6_100k_65534_1.csv' : Params('IPv6', '65534 clients', '100000 PPS'),
shm_IPv6_100k_65534_2;IPv6;65534;254;50000;100000;300;3;30;;28033981;16966020;0:06.74;16966020;1966020;0;;93,4466;93,44660333;0;shm;'IPv6/shm/shm_IPv6_100k_65534_2.csv' : Params('IPv6', '65534 clients', '100000 PPS'),
shm_IPv6_1m_65534_1;IPv6;65534;254;50000;1000000;300;3;30;;297118655;17881344;0:09.69;17796750;2800839;84594;;99,34466;99,03955167;0;shm;'IPv6/shm/shm_IPv6_1m_65534_1.csv' : Params('IPv6', '65534 clients', '1000000 PPS'),
shm_IPv6_1m_65534_2;IPv6;65534;254;50000;1000000;300;3;30;;297037893;17962106;0:09.52;17869318;2873965;92788;;99,34466;99,012631;0;shm;'IPv6/shm/shm_IPv6_1m_65534_2.csv' : Params('IPv6', '65534 clients', '1000000 PPS'),
shm_IPv6_10m_65534_1;IPv6;65534;254;50000;10000000;300;3;30;;2982938661;31632290;0:16.25;20694646;5787068;10937644;;99,934466;99,4312887;0;shm;'IPv6/shm/shm_IPv6_10m_65534_1.csv' : Params('IPv6', '65534 clients', '10000000 PPS'),
shm_IPv6_10m_65534_2;IPv6;65534;254;50000;10000000;300;3;30;;2982256481;32037458;0:16.66;20588763;5696167;11448695;;99,934466;99,40854937;0;shm;'IPv6/shm/shm_IPv6_10m_65534_2.csv' : Params('IPv6', '65534 clients', '10000000 PPS'),
shm_IPv6_20m_65534_1;IPv6;65534;254;50000;20000000;300;3;30;;5949772183;55128188;0:27.80;21413973;6651369;33714215;;99,967233;99,16286972;0;shm;'IPv6/shm/shm_IPv6_20m_65534_1.csv' : Params('IPv6', '65534 clients', '20000000 PPS'),
shm_IPv6_20m_65534_2;IPv6;65534;254;50000;20000000;300;3;30;;5947916148;58302196;0:27.90;20580199;5813790;37721997;;99,967233;99,1319358;0;shm;'IPv6/shm/shm_IPv6_20m_65534_2.csv' : Params('IPv6', '65534 clients', '20000000 PPS'),
shm_IPv6_30m_65534_1;IPv6;65534;254;50000;30000000;300;3;30;;8863279071;85551205;0:46.03;21788490;7237693;63762715;;99,97815533;98,48087857;0;shm;'IPv6/shm/shm_IPv6_30m_65534_1.csv' : Params('IPv6', '65534 clients', '30000000 PPS'),
shm_IPv6_30m_65534_2;IPv6;65534;254;50000;30000000;300;3;30;;8864024558;89585782;0:46.00;22268038;7734796;67317744;;99,97815533;98,48916176;0;shm;'IPv6/shm/shm_IPv6_30m_65534_2.csv' : Params('IPv6', '65534 clients', '30000000 PPS'),
;;;;;;;;;;;;;;;;;;;;;
sock_IPv6_100k_65534_1;IPv6;65534;254;50000;100000;300;3;30;;28016923;16983078;0:58.83;16957339;1966020;25739;;93,4466;93,38974333;0;sock;'IPv6/sock/sock_IPv6_100k_65534_1.csv' : Params('IPv6', '65534 clients', '100000 PPS'),
sock_IPv6_100k_65534_2;IPv6;65534;254;50000;100000;300;3;30;;28016765;16983237;1:00.31;16957233;1966020;26004;;93,4466;93,38921667;0;sock;'IPv6/sock/sock_IPv6_100k_65534_2.csv' : Params('IPv6', '65534 clients', '100000 PPS'),
sock_IPv6_1m_65534_1;IPv6;65534;254;50000;1000000;300;3;30;;297291627;17708382;0:37.97;17025560;2066115;682822;;99,34466;99,097209;0;sock;'IPv6/sock/sock_IPv6_1m_65534_1.csv' : Params('IPv6', '65534 clients', '1000000 PPS'),
sock_IPv6_1m_65534_2;IPv6;65534;254;50000;1000000;300;3;30;;296833515;18166494;0:34.62;16957967;2023654;1208527;;99,34466;98,944505;0;sock;'IPv6/sock/sock_IPv6_1m_65534_2.csv' : Params('IPv6', '65534 clients', '1000000 PPS'),
sock_IPv6_10m_65534_1;IPv6;65534;254;50000;10000000;300;3;30;;2958115420;53354605;1:07.70;17112118;2442360;36242487;;99,934466;98,60384733;0;sock;'IPv6/sock/sock_IPv6_10m_65534_1.csv' : Params('IPv6', '65534 clients', '10000000 PPS'),
sock_IPv6_10m_65534_2;IPv6;65534;254;50000;10000000;300;3;30;;2964689959;46589483;1:04.25;17189555;2486047;29399928;;99,934466;98,82299863;0;sock;'IPv6/sock/sock_IPv6_10m_65534_2.csv' : Params('IPv6', '65534 clients', '10000000 PPS'),
sock_IPv6_20m_65534_1;IPv6;65534;254;50000;20000000;300;3;30;;5898054928;102964745;1:52.20;17389214;3013912;85575531;;99,967233;98,30091547;0;sock;'IPv6/sock/sock_IPv6_20m_65534_1.csv' : Params('IPv6', '65534 clients', '20000000 PPS'),
sock_IPv6_20m_65534_2;IPv6;65534;254;50000;20000000;300;3;30;;5886914036;117009801;1:51.93;17285581;2964160;99724220;;99,967233;98,11523393;0;sock;'IPv6/sock/sock_IPv6_20m_65534_2.csv' : Params('IPv6', '65534 clients', '20000000 PPS'),
sock_IPv6_30m_65534_1;IPv6;65534;254;50000;30000000;300;3;30;;8777436431;170030148;2:29.69;16917862;3003516;153112286;;99,97815533;97,52707146;0;sock;'IPv6/sock/sock_IPv6_30m_65534_1.csv' : Params('IPv6', '65534 clients', '30000000 PPS'),
sock_IPv6_30m_65534_2;IPv6;65534;254;50000;30000000;300;3;30;;8767639916;175375781;2:32.72;16877169;3027904;158498612;;99,97815533;97,41822129;0;sock;'IPv6/sock/sock_IPv6_30m_65534_2.csv' : Params('IPv6', '65534 clients', '30000000 PPS'),
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
file_IPv4v6_100k_131068_1;IPv4v6;131068;254;50000;100000;300;3;30;;26055683;18944319;0:09.49;18252727;3538836;691592;;86,8932;86,85227667;0;file;'IPv4v6/file/file_IPv4v6_100k_131068_1.csv' : Params('IPv4v6', '131068 clients', '100000 PPS'),
file_IPv4v6_100k_131068_2;IPv4v6;131068;254;50000;100000;300;3;30;;26088468;18911534;0:09.37;18270063;3538836;641471;;86,8932;86,96156;0;file;'IPv4v6/file/file_IPv4v6_100k_131068_2.csv' : Params('IPv4v6', '131068 clients', '100000 PPS'),
file_IPv4v6_1m_131068_1;IPv4v6;131068;254;50000;1000000;300;3;30;;291886216;23113786;0:12.97;18661095;4294222;4452691;;98,68932;97,29540533;0;file;'IPv4v6/file/file_IPv4v6_1m_131068_1.csv' : Params('IPv4v6', '131068 clients', '1000000 PPS'),
file_IPv4v6_1m_131068_2;IPv4v6;131068;254;50000;1000000;300;3;30;;291972582;23027420;0:12.87;18661784;4289483;4365636;;98,68932;97,324194;0;file;'IPv4v6/file/file_IPv4v6_1m_131068_2.csv' : Params('IPv4v6', '131068 clients', '1000000 PPS'),
file_IPv4v6_10m_131068_1;IPv4v6;131068;254;50000;10000000;300;3;30;;2918989986;95980739;0:20.42;19344081;5989496;76636658;;99,868932;97,2996662;0;file;'IPv4v6/file/file_IPv4v6_10m_131068_1.csv' : Params('IPv4v6', '131068 clients', '10000000 PPS'),
file_IPv4v6_10m_131068_2;IPv4v6;131068;254;50000;10000000;300;3;30;;2920249697;94743486;0:20.72;19351042;5990764;75392444;;99,868932;97,34165657;0;file;'IPv4v6/file/file_IPv4v6_10m_131068_2.csv' : Params('IPv4v6', '131068 clients', '10000000 PPS'),
file_IPv4v6_20m_131068_1;IPv4v6;131068;254;50000;20000000;300;3;30;;5713499647;242342691;0:31.51;19345126;7233255;222997565;;99,934466;95,22499412;0;file;'IPv4v6/file/file_IPv4v6_20m_131068_1.csv' : Params('IPv4v6', '131068 clients', '20000000 PPS'),
