XDP_action;packets;packets/sec;time
XDP_ABORTED;0;0;0.000
XDP_DROP;0;0;0.000
XDP_PASS;0;0;0.000
XDP_ABORTED;0;0;0.100
XDP_DROP;0;0;0.100
XDP_PASS;0;0;0.100
XDP_ABORTED;0;0;0.200
XDP_DROP;0;0;0.200
XDP_PASS;0;0;0.200
XDP_ABORTED;0;0;0.300
XDP_DROP;0;0;0.300
XDP_PASS;0;0;0.300
XDP_ABORTED;0;0;0.400
XDP_DROP;0;0;0.400
XDP_PASS;0;0;0.400
XDP_ABORTED;0;0;0.501
XDP_DROP;0;0;0.501
XDP_PASS;0;0;0.501
XDP_ABORTED;0;0;0.601
XDP_DROP;0;0;0.601
XDP_PASS;0;0;0.601
XDP_ABORTED;0;0;0.701
XDP_DROP;0;0;0.701
XDP_PASS;0;0;0.701
XDP_ABORTED;0;0;0.801
XDP_DROP;0;0;0.801
XDP_PASS;0;0;0.801
XDP_ABORTED;0;0;0.901
XDP_DROP;0;0;0.901
XDP_PASS;0;0;0.901
XDP_ABORTED;0;0;1.001
XDP_DROP;0;0;1.001
XDP_PASS;0;0;1.001
XDP_ABORTED;0;0;1.101
XDP_DROP;0;0;1.101
XDP_PASS;0;0;1.101
XDP_ABORTED;0;0;1.204
XDP_DROP;0;0;1.204
XDP_PASS;874576;8530597;1.204
XDP_ABORTED;0;0;1.304
XDP_DROP;1368;13664;1.304
XDP_PASS;2200305;13242055;1.304
XDP_ABORTED;0;0;1.404
XDP_DROP;3925;25512;1.404
XDP_PASS;3608342;14048613;1.404
XDP_ABORTED;0;0;1.504
XDP_DROP;14845;108941;1.504
XDP_PASS;4968432;13568636;1.504
XDP_ABORTED;0;0;1.608
XDP_DROP;40078;243891;1.608
XDP_PASS;6394756;13786239;1.608
XDP_ABORTED;0;0;1.708
XDP_DROP;74264;341479;1.708
XDP_PASS;7731917;13356712;1.708
XDP_ABORTED;0;0;1.828
XDP_DROP;149132;624723;1.828
XDP_PASS;9347569;13481519;1.828
XDP_ABORTED;0;0;1.932
XDP_DROP;236867;843377;1.932
XDP_PASS;10701205;13012204;1.932
XDP_ABORTED;0;0;2.036
XDP_DROP;376041;1337355;2.036
XDP_PASS;12062520;13081190;2.036
XDP_ABORTED;0;0;2.152
XDP_DROP;569529;1669016;2.152
XDP_PASS;13524935;12614694;2.152
XDP_ABORTED;0;0;2.252
XDP_DROP;809394;2395565;2.252
XDP_PASS;14779607;12530602;2.252
XDP_ABORTED;0;0;2.356
XDP_DROP;1096305;2762165;2.356
XDP_PASS;16036416;12099606;2.356
XDP_ABORTED;0;0;2.460
XDP_DROP;1400289;2922712;2.460
XDP_PASS;17025824;9512843;2.460
