XDP_action;packets;packets/sec;time
XDP_ABORTED;0;0;0.000
XDP_DROP;0;0;0.000
XDP_PASS;0;0;0.000
XDP_ABORTED;0;0;0.100
XDP_DROP;0;0;0.100
XDP_PASS;0;0;0.100
XDP_ABORTED;0;0;0.200
XDP_DROP;0;0;0.200
XDP_PASS;0;0;0.200
XDP_ABORTED;0;0;0.300
XDP_DROP;0;0;0.300
XDP_PASS;0;0;0.300
XDP_ABORTED;0;0;0.400
XDP_DROP;0;0;0.400
XDP_PASS;0;0;0.400
XDP_ABORTED;0;0;0.500
XDP_DROP;0;0;0.500
XDP_PASS;0;0;0.501
XDP_ABORTED;0;0;0.601
XDP_DROP;0;0;0.601
XDP_PASS;0;0;0.601
XDP_ABORTED;0;0;0.701
XDP_DROP;0;0;0.701
XDP_PASS;0;0;0.701
XDP_ABORTED;0;0;0.801
XDP_DROP;0;0;0.801
XDP_PASS;0;0;0.801
XDP_ABORTED;0;0;0.901
XDP_DROP;0;0;0.901
XDP_PASS;0;0;0.901
XDP_ABORTED;0;0;1.001
XDP_DROP;0;0;1.001
XDP_PASS;0;0;1.001
XDP_ABORTED;0;0;1.101
XDP_DROP;0;0;1.101
XDP_PASS;0;0;1.101
XDP_ABORTED;0;0;1.203
XDP_DROP;0;0;1.203
XDP_PASS;415187;4073697;1.203
XDP_ABORTED;0;0;1.307
XDP_DROP;0;0;1.307
XDP_PASS;1679566;12156241;1.307
XDP_ABORTED;0;0;1.407
XDP_DROP;6;60;1.407
XDP_PASS;2907177;12256172;1.407
XDP_ABORTED;0;0;1.515
XDP_DROP;19;120;1.515
XDP_PASS;4217974;12136322;1.515
XDP_ABORTED;0;0;1.623
XDP_DROP;120;936;1.623
XDP_PASS;5514663;12022452;1.623
XDP_ABORTED;0;0;1.727
XDP_DROP;289;1625;1.727
XDP_PASS;6745881;11838785;1.727
XDP_ABORTED;0;0;1.827
XDP_DROP;628;3384;1.827
XDP_PASS;7926713;11787923;1.827
XDP_ABORTED;0;0;1.927
XDP_DROP;1167;5383;1.927
XDP_PASS;9102457;11741145;1.927
XDP_ABORTED;0;0;2.039
XDP_DROP;1945;6964;2.039
XDP_PASS;10395394;11573048;2.039
XDP_ABORTED;0;0;2.143
XDP_DROP;3034;10471;2.143
XDP_PASS;11591232;11497991;2.143
XDP_ABORTED;0;0;2.251
XDP_DROP;4149;10329;2.251
XDP_PASS;12835706;11528619;2.251
XDP_ABORTED;0;0;2.355
XDP_DROP;5999;17781;2.355
XDP_PASS;14004170;11230227;2.355
XDP_ABORTED;0;0;2.463
XDP_DROP;7938;17960;2.463
XDP_PASS;15217931;11242547;2.463
XDP_ABORTED;0;0;2.567
