XDP_action;packets;packets/sec;time
XDP_ABORTED;0;0;0.000
XDP_DROP;0;0;0.000
XDP_PASS;0;0;0.000
XDP_ABORTED;0;0;0.100
XDP_DROP;0;0;0.100
XDP_PASS;0;0;0.100
XDP_ABORTED;0;0;0.200
XDP_DROP;0;0;0.200
XDP_PASS;0;0;0.200
XDP_ABORTED;0;0;0.300
XDP_DROP;0;0;0.300
XDP_PASS;0;0;0.300
XDP_ABORTED;0;0;0.400
XDP_DROP;0;0;0.400
XDP_PASS;0;0;0.400
XDP_ABORTED;0;0;0.500
XDP_DROP;0;0;0.500
XDP_PASS;0;0;0.501
XDP_ABORTED;0;0;0.601
XDP_DROP;0;0;0.601
XDP_PASS;0;0;0.601
XDP_ABORTED;0;0;0.701
XDP_DROP;0;0;0.701
XDP_PASS;0;0;0.701
XDP_ABORTED;0;0;0.801
XDP_DROP;0;0;0.801
XDP_PASS;0;0;0.801
XDP_ABORTED;0;0;0.901
XDP_DROP;0;0;0.901
XDP_PASS;0;0;0.901
XDP_ABORTED;0;0;1.001
XDP_DROP;0;0;1.001
XDP_PASS;0;0;1.001
XDP_ABORTED;0;0;1.101
XDP_DROP;0;0;1.101
XDP_PASS;0;0;1.101
XDP_ABORTED;0;0;1.201
XDP_DROP;0;0;1.201
XDP_PASS;0;0;1.201
XDP_ABORTED;0;0;1.301
XDP_DROP;0;0;1.301
XDP_PASS;0;0;1.301
XDP_ABORTED;0;0;1.401
XDP_DROP;0;0;1.401
XDP_PASS;0;0;1.401
XDP_ABORTED;0;0;1.510
XDP_DROP;0;0;1.510
XDP_PASS;437097;4005453;1.510
XDP_ABORTED;0;0;1.614
XDP_DROP;0;0;1.614
XDP_PASS;1662500;11782909;1.614
XDP_ABORTED;0;0;1.715
XDP_DROP;0;0;1.715
XDP_PASS;2861763;11977326;1.715
XDP_ABORTED;0;0;1.826
XDP_DROP;12;107;1.826
XDP_PASS;4185142;11828348;1.826
XDP_ABORTED;0;0;1.928
XDP_DROP;43;306;1.928
XDP_PASS;5368138;11662815;1.928
XDP_ABORTED;0;0;2.036
XDP_DROP;169;1164;2.036
XDP_PASS;6629288;11651459;2.036
XDP_ABORTED;0;0;2.144
XDP_DROP;416;2281;2.144
XDP_PASS;7889875;11641675;2.144
XDP_ABORTED;0;0;2.245
XDP_DROP;826;4093;2.245
XDP_PASS;9042999;11512575;2.245
XDP_ABORTED;0;0;2.345
XDP_DROP;1860;10325;2.345
XDP_PASS;10187855;11431542;2.345
XDP_ABORTED;0;0;2.450
XDP_DROP;4267;22763;2.450
XDP_PASS;11288901;10412810;2.450
XDP_ABORTED;0;0;2.551
XDP_DROP;8237;39576;2.551
