XDP_action;packets;packets/sec;time
XDP_ABORTED;0;0;0.000
XDP_DROP;0;0;0.000
XDP_PASS;0;0;0.000
XDP_ABORTED;0;0;0.100
XDP_DROP;0;0;0.100
XDP_PASS;0;0;0.100
XDP_ABORTED;0;0;0.200
XDP_DROP;0;0;0.200
XDP_PASS;0;0;0.200
XDP_ABORTED;0;0;0.300
XDP_DROP;0;0;0.300
XDP_PASS;0;0;0.300
XDP_ABORTED;0;0;0.400
XDP_DROP;0;0;0.400
XDP_PASS;0;0;0.400
XDP_ABORTED;0;0;0.501
XDP_DROP;0;0;0.501
XDP_PASS;0;0;0.501
XDP_ABORTED;0;0;0.601
XDP_DROP;0;0;0.601
XDP_PASS;0;0;0.601
XDP_ABORTED;0;0;0.701
XDP_DROP;0;0;0.701
XDP_PASS;0;0;0.701
XDP_ABORTED;0;0;0.801
XDP_DROP;0;0;0.801
XDP_PASS;0;0;0.801
XDP_ABORTED;0;0;0.901
XDP_DROP;0;0;0.901
XDP_PASS;0;0;0.901
XDP_ABORTED;0;0;1.001
XDP_DROP;0;0;1.001
XDP_PASS;0;0;1.001
XDP_ABORTED;0;0;1.101
XDP_DROP;0;0;1.101
XDP_PASS;0;0;1.101
XDP_ABORTED;0;0;1.201
XDP_DROP;0;0;1.201
XDP_PASS;0;0;1.201
XDP_ABORTED;0;0;1.301
XDP_DROP;0;0;1.301
XDP_PASS;0;0;1.301
XDP_ABORTED;0;0;1.401
XDP_DROP;0;0;1.401
XDP_PASS;0;0;1.401
XDP_ABORTED;0;0;1.501
XDP_DROP;0;0;1.501
XDP_PASS;1135982;11342586;1.501
XDP_ABORTED;0;0;1.603
XDP_DROP;0;0;1.603
XDP_PASS;2605930;14450283;1.603
XDP_ABORTED;0;0;1.707
XDP_DROP;2;19;1.707
XDP_PASS;4108601;14447046;1.707
XDP_ABORTED;0;0;1.811
XDP_DROP;79;740;1.811
XDP_PASS;5596945;14304625;1.811
XDP_ABORTED;0;0;1.915
XDP_DROP;259;1731;1.915
XDP_PASS;7107141;14522526;1.915
XDP_ABORTED;0;0;2.023
XDP_DROP;467;1927;2.023
XDP_PASS;8667509;14453471;2.023
XDP_ABORTED;0;0;2.123
XDP_DROP;889;4212;2.123
XDP_PASS;10094944;14247836;2.123
XDP_ABORTED;0;0;2.227
XDP_DROP;1474;5633;2.227
XDP_PASS;11575258;14255001;2.227
XDP_ABORTED;0;0;2.331
XDP_DROP;2137;6377;2.331
XDP_PASS;13047470;14159963;2.331
XDP_ABORTED;0;0;2.439
XDP_DROP;3482;12453;2.439
XDP_PASS;14585556;14240921;2.439
XDP_ABORTED;0;0;2.551
XDP_DROP;5010;13639;2.551
