XDP_action;packets;packets/sec;time
XDP_ABORTED;0;0;0.000
XDP_DROP;0;0;0.000
XDP_PASS;0;0;0.000
XDP_ABORTED;0;0;0.100
XDP_DROP;0;0;0.100
XDP_PASS;0;0;0.100
XDP_ABORTED;0;0;0.200
XDP_DROP;0;0;0.200
XDP_PASS;0;0;0.200
XDP_ABORTED;0;0;0.300
XDP_DROP;0;0;0.300
XDP_PASS;0;0;0.300
XDP_ABORTED;0;0;0.400
XDP_DROP;0;0;0.400
XDP_PASS;0;0;0.400
XDP_ABORTED;0;0;0.500
XDP_DROP;0;0;0.500
XDP_PASS;0;0;0.500
XDP_ABORTED;0;0;0.601
XDP_DROP;0;0;0.601
XDP_PASS;0;0;0.601
XDP_ABORTED;0;0;0.701
XDP_DROP;0;0;0.701
XDP_PASS;0;0;0.701
XDP_ABORTED;0;0;0.801
XDP_DROP;0;0;0.801
XDP_PASS;0;0;0.801
XDP_ABORTED;0;0;0.901
XDP_DROP;0;0;0.901
XDP_PASS;0;0;0.901
XDP_ABORTED;0;0;1.001
XDP_DROP;0;0;1.001
XDP_PASS;0;0;1.001
XDP_ABORTED;0;0;1.101
XDP_DROP;0;0;1.101
XDP_PASS;0;0;1.101
XDP_ABORTED;0;0;1.201
XDP_DROP;0;0;1.201
XDP_PASS;0;0;1.201
XDP_ABORTED;0;0;1.301
XDP_DROP;0;0;1.301
XDP_PASS;0;0;1.301
XDP_ABORTED;0;0;1.401
XDP_DROP;0;0;1.401
XDP_PASS;0;0;1.401
XDP_ABORTED;0;0;1.501
XDP_DROP;0;0;1.501
XDP_PASS;0;0;1.501
XDP_ABORTED;0;0;1.602
XDP_DROP;0;0;1.602
XDP_PASS;0;0;1.602
XDP_ABORTED;0;0;1.702
XDP_DROP;0;0;1.702
XDP_PASS;0;0;1.702
XDP_ABORTED;0;0;1.824
XDP_DROP;0;0;1.824
XDP_PASS;597969;4874213;1.824
XDP_ABORTED;0;0;1.925
XDP_DROP;7;70;1.925
XDP_PASS;1607947;10074245;1.925
XDP_ABORTED;0;0;2.025
XDP_DROP;1040;10303;2.025
XDP_PASS;2614789;10041963;2.025
XDP_ABORTED;0;0;2.125
XDP_DROP;4194;31459;2.125
XDP_PASS;3619249;10018738;2.125
XDP_ABORTED;0;0;2.225
XDP_DROP;8974;47700;2.225
XDP_PASS;4621527;10001796;2.225
XDP_ABORTED;0;0;2.326
XDP_DROP;20635;115881;2.326
XDP_PASS;5621197;9934207;2.326
XDP_ABORTED;0;0;2.426
XDP_DROP;40279;195921;2.426
XDP_PASS;6608883;9850751;2.426
XDP_ABORTED;0;0;2.526
XDP_DROP;64066;237259;2.526
XDP_PASS;7592923;9815140;2.526
