XDP_action;packets;packets/sec;time
XDP_ABORTED;0;0;0.000
XDP_DROP;0;0;0.000
XDP_PASS;0;0;0.000
XDP_ABORTED;0;0;0.100
XDP_DROP;0;0;0.100
XDP_PASS;0;0;0.100
XDP_ABORTED;0;0;0.200
XDP_DROP;0;0;0.200
XDP_PASS;0;0;0.200
XDP_ABORTED;0;0;0.300
XDP_DROP;0;0;0.300
XDP_PASS;0;0;0.300
XDP_ABORTED;0;0;0.400
XDP_DROP;0;0;0.400
XDP_PASS;0;0;0.400
XDP_ABORTED;0;0;0.501
XDP_DROP;0;0;0.501
XDP_PASS;0;0;0.501
XDP_ABORTED;0;0;0.601
XDP_DROP;0;0;0.601
XDP_PASS;0;0;0.601
XDP_ABORTED;0;0;0.701
XDP_DROP;0;0;0.701
XDP_PASS;0;0;0.701
XDP_ABORTED;0;0;0.801
XDP_DROP;0;0;0.801
XDP_PASS;0;0;0.801
XDP_ABORTED;0;0;0.901
XDP_DROP;0;0;0.901
XDP_PASS;0;0;0.901
XDP_ABORTED;0;0;1.001
XDP_DROP;0;0;1.001
XDP_PASS;0;0;1.001
XDP_ABORTED;0;0;1.101
XDP_DROP;0;0;1.101
XDP_PASS;0;0;1.101
XDP_ABORTED;0;0;1.201
XDP_DROP;0;0;1.201
XDP_PASS;0;0;1.201
XDP_ABORTED;0;0;1.301
XDP_DROP;0;0;1.301
XDP_PASS;4338;43346;1.301
XDP_ABORTED;0;0;1.401
XDP_DROP;0;0;1.401
XDP_PASS;108382;1039315;1.401
XDP_ABORTED;0;0;1.501
XDP_DROP;0;0;1.501
XDP_PASS;213391;1048968;1.501
XDP_ABORTED;0;0;1.602
XDP_DROP;0;0;1.602
XDP_PASS;318566;1050390;1.602
XDP_ABORTED;0;0;1.702
XDP_DROP;0;0;1.702
XDP_PASS;423680;1049910;1.702
XDP_ABORTED;0;0;1.802
XDP_DROP;132;1318;1.802
XDP_PASS;528716;1049146;1.802
XDP_ABORTED;0;0;1.902
XDP_DROP;1290;11568;1.902
XDP_PASS;632581;1037536;1.902
XDP_ABORTED;0;0;2.002
XDP_DROP;2580;12886;2.002
XDP_PASS;736391;1036982;2.002
XDP_ABORTED;0;0;2.102
XDP_DROP;4509;19270;2.102
XDP_PASS;839643;1031433;2.102
XDP_ABORTED;0;0;2.202
XDP_DROP;4918;4085;2.202
XDP_PASS;944356;1045926;2.202
XDP_ABORTED;0;0;2.302
XDP_DROP;6674;17543;2.302
XDP_PASS;1047730;1032727;2.302
XDP_ABORTED;0;0;2.402
XDP_DROP;10734;40560;2.402
XDP_PASS;1148742;1009126;2.402
XDP_ABORTED;0;0;2.503
XDP_DROP;14988;42498;2.503
