XDP_action;packets;packets/sec;time
XDP_ABORTED;0;0;0.000
XDP_DROP;0;0;0.000
XDP_PASS;0;0;0.000
XDP_ABORTED;0;0;0.100
XDP_DROP;0;0;0.100
XDP_PASS;0;0;0.100
XDP_ABORTED;0;0;0.200
XDP_DROP;0;0;0.200
XDP_PASS;0;0;0.200
XDP_ABORTED;0;0;0.300
XDP_DROP;0;0;0.300
XDP_PASS;0;0;0.300
XDP_ABORTED;0;0;0.400
XDP_DROP;0;0;0.400
XDP_PASS;0;0;0.400
XDP_ABORTED;0;0;0.500
XDP_DROP;0;0;0.500
XDP_PASS;0;0;0.500
XDP_ABORTED;0;0;0.600
XDP_DROP;0;0;0.600
XDP_PASS;0;0;0.600
XDP_ABORTED;0;0;0.701
XDP_DROP;0;0;0.701
XDP_PASS;0;0;0.701
XDP_ABORTED;0;0;0.801
XDP_DROP;0;0;0.801
XDP_PASS;0;0;0.801
XDP_ABORTED;0;0;0.901
XDP_DROP;0;0;0.901
XDP_PASS;0;0;0.901
XDP_ABORTED;0;0;1.001
XDP_DROP;0;0;1.001
XDP_PASS;0;0;1.001
XDP_ABORTED;0;0;1.101
XDP_DROP;0;0;1.101
XDP_PASS;0;0;1.101
XDP_ABORTED;0;0;1.201
XDP_DROP;0;0;1.201
XDP_PASS;0;0;1.201
XDP_ABORTED;0;0;1.301
XDP_DROP;0;0;1.301
XDP_PASS;0;0;1.301
XDP_ABORTED;0;0;1.401
XDP_DROP;0;0;1.401
XDP_PASS;0;0;1.401
XDP_ABORTED;0;0;1.501
XDP_DROP;0;0;1.501
XDP_PASS;0;0;1.501
XDP_ABORTED;0;0;1.601
XDP_DROP;0;0;1.601
XDP_PASS;0;0;1.601
XDP_ABORTED;0;0;1.701
XDP_DROP;0;0;1.701
XDP_PASS;0;0;1.701
XDP_ABORTED;0;0;1.801
XDP_DROP;0;0;1.801
XDP_PASS;0;0;1.801
XDP_ABORTED;0;0;1.901
XDP_DROP;0;0;1.901
XDP_PASS;0;0;1.901
XDP_ABORTED;0;0;2.006
XDP_DROP;0;0;2.006
XDP_PASS;757294;7244743;2.006
XDP_ABORTED;0;0;2.118
XDP_DROP;0;0;2.118
XDP_PASS;2403350;14718265;2.118
XDP_ABORTED;0;0;2.222
XDP_DROP;0;0;2.222
XDP_PASS;3908522;14468432;2.222
XDP_ABORTED;0;0;2.326
XDP_DROP;5;48;2.326
XDP_PASS;5441785;14734162;2.326
XDP_ABORTED;0;0;2.548
XDP_DROP;607;2713;2.548
XDP_PASS;8576816;14127275;2.548
XDP_ABORTED;0;0;2.658
XDP_DROP;1168;5090;2.658
XDP_PASS;10140456;14187018;2.658
XDP_ABORTED;0;0;2.758
