XDP_action;packets;packets/sec;time
XDP_ABORTED;0;0;0.000
XDP_DROP;0;0;0.000
XDP_PASS;0;0;0.000
XDP_ABORTED;0;0;0.100
XDP_DROP;0;0;0.100
XDP_PASS;0;0;0.100
XDP_ABORTED;0;0;0.200
XDP_DROP;0;0;0.200
XDP_PASS;0;0;0.200
XDP_ABORTED;0;0;0.300
XDP_DROP;0;0;0.300
XDP_PASS;0;0;0.300
XDP_ABORTED;0;0;0.400
XDP_DROP;0;0;0.400
XDP_PASS;0;0;0.400
XDP_ABORTED;0;0;0.500
XDP_DROP;0;0;0.500
XDP_PASS;0;0;0.500
XDP_ABORTED;0;0;0.601
XDP_DROP;0;0;0.601
XDP_PASS;0;0;0.601
XDP_ABORTED;0;0;0.701
XDP_DROP;0;0;0.701
XDP_PASS;0;0;0.701
XDP_ABORTED;0;0;0.801
XDP_DROP;0;0;0.801
XDP_PASS;0;0;0.801
XDP_ABORTED;0;0;0.901
XDP_DROP;0;0;0.901
XDP_PASS;0;0;0.901
XDP_ABORTED;0;0;1.001
XDP_DROP;0;0;1.001
XDP_PASS;0;0;1.001
XDP_ABORTED;0;0;1.101
XDP_DROP;0;0;1.101
XDP_PASS;0;0;1.101
XDP_ABORTED;0;0;1.201
XDP_DROP;0;0;1.201
XDP_PASS;0;0;1.201
XDP_ABORTED;0;0;1.301
XDP_DROP;0;0;1.301
XDP_PASS;0;0;1.301
XDP_ABORTED;0;0;1.401
XDP_DROP;0;0;1.401
XDP_PASS;0;0;1.401
XDP_ABORTED;0;0;1.501
XDP_DROP;0;0;1.501
XDP_PASS;0;0;1.501
XDP_ABORTED;0;0;1.609
XDP_DROP;0;0;1.609
XDP_PASS;179504;1672011;1.609
XDP_ABORTED;0;0;1.713
XDP_DROP;0;0;1.713
XDP_PASS;1407643;11826338;1.713
XDP_ABORTED;0;0;1.813
XDP_DROP;0;0;1.813
XDP_PASS;2622888;12134780;1.813
XDP_ABORTED;0;0;1.925
XDP_DROP;0;0;1.925
XDP_PASS;3976924;12102171;1.925
XDP_ABORTED;0;0;2.033
XDP_DROP;123;1139;2.033
XDP_PASS;5273245;12006963;2.033
XDP_ABORTED;0;0;2.137
XDP_DROP;1120;9583;2.137
XDP_PASS;6524756;12028836;2.137
XDP_ABORTED;0;0;2.242
XDP_DROP;4155;28845;2.242
XDP_PASS;7768385;11819805;2.242
XDP_ABORTED;0;0;2.342
XDP_DROP;10589;64270;2.342
XDP_PASS;8961446;11917694;2.342
XDP_ABORTED;0;0;2.445
XDP_DROP;17783;70042;2.445
XDP_PASS;10200176;12060382;2.445
XDP_ABORTED;0;0;2.553
XDP_DROP;25853;74743;2.553
