XDP_action;packets;packets/sec;time
XDP_ABORTED;0;0;0.000
XDP_DROP;0;0;0.000
XDP_PASS;0;0;0.000
XDP_ABORTED;0;0;0.100
XDP_DROP;0;0;0.100
XDP_PASS;0;0;0.100
XDP_ABORTED;0;0;0.200
XDP_DROP;0;0;0.200
XDP_PASS;0;0;0.200
XDP_ABORTED;0;0;0.300
XDP_DROP;0;0;0.300
XDP_PASS;0;0;0.300
XDP_ABORTED;0;0;0.400
XDP_DROP;0;0;0.400
XDP_PASS;0;0;0.400
XDP_ABORTED;0;0;0.500
XDP_DROP;0;0;0.500
XDP_PASS;0;0;0.500
XDP_ABORTED;0;0;0.601
XDP_DROP;0;0;0.601
XDP_PASS;0;0;0.601
XDP_ABORTED;0;0;0.701
XDP_DROP;0;0;0.701
XDP_PASS;0;0;0.701
XDP_ABORTED;0;0;0.801
XDP_DROP;0;0;0.801
XDP_PASS;0;0;0.801
XDP_ABORTED;0;0;0.901
XDP_DROP;0;0;0.901
XDP_PASS;0;0;0.901
XDP_ABORTED;0;0;1.001
XDP_DROP;0;0;1.001
XDP_PASS;0;0;1.001
XDP_ABORTED;0;0;1.101
XDP_DROP;0;0;1.101
XDP_PASS;0;0;1.101
XDP_ABORTED;0;0;1.201
XDP_DROP;0;0;1.201
XDP_PASS;0;0;1.201
XDP_ABORTED;0;0;1.301
XDP_DROP;0;0;1.301
XDP_PASS;0;0;1.301
XDP_ABORTED;0;0;1.401
XDP_DROP;0;0;1.401
XDP_PASS;0;0;1.401
XDP_ABORTED;0;0;1.501
XDP_DROP;0;0;1.501
XDP_PASS;0;0;1.501
XDP_ABORTED;0;0;1.602
XDP_DROP;0;0;1.602
XDP_PASS;0;0;1.602
XDP_ABORTED;0;0;1.702
XDP_DROP;0;0;1.702
XDP_PASS;0;0;1.702
XDP_ABORTED;0;0;1.803
XDP_DROP;0;0;1.803
XDP_PASS;1007609;9953810;1.803
XDP_ABORTED;0;0;1.907
XDP_DROP;0;0;1.907
XDP_PASS;2435533;13728159;1.907
XDP_ABORTED;0;0;2.015
XDP_DROP;213;1972;2.015
XDP_PASS;3898979;13550113;2.015
XDP_ABORTED;0;0;2.119
XDP_DROP;2533;22312;2.119
XDP_PASS;5321275;13678441;2.119
XDP_ABORTED;0;0;2.223
XDP_DROP;10182;73547;2.223
XDP_PASS;6746951;13708215;2.223
XDP_ABORTED;0;0;2.327
XDP_DROP;29810;188660;2.327
XDP_PASS;8139522;13385111;2.327
XDP_ABORTED;0;0;2.431
XDP_DROP;66935;357120;2.431
XDP_PASS;9535138;13424999;2.431
XDP_ABORTED;0;0;2.531
XDP_DROP;111443;444345;2.531
XDP_PASS;10871588;13342422;2.531
