XDP_action;packets;packets/sec;time
XDP_ABORTED;0;0;0.000
XDP_DROP;0;0;0.000
XDP_PASS;0;0;0.000
XDP_ABORTED;0;0;0.100
XDP_DROP;0;0;0.100
XDP_PASS;0;0;0.100
XDP_ABORTED;0;0;0.200
XDP_DROP;0;0;0.200
XDP_PASS;0;0;0.200
XDP_ABORTED;0;0;0.300
XDP_DROP;0;0;0.300
XDP_PASS;0;0;0.300
XDP_ABORTED;0;0;0.400
XDP_DROP;0;0;0.400
XDP_PASS;0;0;0.400
XDP_ABORTED;0;0;0.501
XDP_DROP;0;0;0.501
XDP_PASS;0;0;0.501
XDP_ABORTED;0;0;0.601
XDP_DROP;0;0;0.601
XDP_PASS;0;0;0.601
XDP_ABORTED;0;0;0.701
XDP_DROP;0;0;0.701
XDP_PASS;0;0;0.701
XDP_ABORTED;0;0;0.801
XDP_DROP;0;0;0.801
XDP_PASS;0;0;0.801
XDP_ABORTED;0;0;0.901
XDP_DROP;0;0;0.901
XDP_PASS;0;0;0.901
XDP_ABORTED;0;0;1.001
XDP_DROP;0;0;1.001
XDP_PASS;0;0;1.001
XDP_ABORTED;0;0;1.101
XDP_DROP;0;0;1.101
XDP_PASS;0;0;1.101
XDP_ABORTED;0;0;1.216
XDP_DROP;0;0;1.216
XDP_PASS;345437;3017412;1.216
XDP_ABORTED;0;0;1.316
XDP_DROP;0;0;1.316
XDP_PASS;1332217;9817884;1.316
XDP_ABORTED;0;0;1.416
XDP_DROP;392;3908;1.416
XDP_PASS;2332262;9970132;1.416
XDP_ABORTED;0;0;1.517
XDP_DROP;190511;1897833;1.517
XDP_PASS;3135823;8021398;1.517
XDP_ABORTED;0;0;1.617
XDP_DROP;1015207;8237216;1.617
XDP_PASS;3315283;1792480;1.617
XDP_ABORTED;0;0;1.717
XDP_DROP;1942462;9256410;1.717
XDP_PASS;3394715;792937;1.717
XDP_ABORTED;0;0;1.817
XDP_DROP;2920679;9769375;1.817
XDP_PASS;3422923;281712;1.817
XDP_ABORTED;0;0;1.917
XDP_DROP;3919255;9975270;1.917
XDP_PASS;3430252;73213;1.917
XDP_ABORTED;0;0;2.017
XDP_DROP;4920225;9999894;2.017
XDP_PASS;3435266;50091;2.017
XDP_ABORTED;0;0;2.117
XDP_DROP;5921444;9999709;2.117
XDP_PASS;3440273;50008;2.117
XDP_ABORTED;0;0;2.217
XDP_DROP;6922504;10000252;2.217
XDP_PASS;3445278;49998;2.217
XDP_ABORTED;0;0;2.318
XDP_DROP;7923572;10000433;2.318
XDP_PASS;3450283;49999;2.318
XDP_ABORTED;0;0;2.419
XDP_DROP;8910141;9721719;2.419
XDP_PASS;3455222;48669;2.419
