XDP_action;packets;packets/sec;time
XDP_ABORTED;0;0;0.000
XDP_DROP;0;0;0.000
XDP_PASS;0;0;0.000
XDP_ABORTED;0;0;0.100
XDP_DROP;0;0;0.100
XDP_PASS;0;0;0.100
XDP_ABORTED;0;0;0.200
XDP_DROP;0;0;0.200
XDP_PASS;0;0;0.200
XDP_ABORTED;0;0;0.300
XDP_DROP;0;0;0.300
XDP_PASS;0;0;0.300
XDP_ABORTED;0;0;0.400
XDP_DROP;0;0;0.400
XDP_PASS;0;0;0.400
XDP_ABORTED;0;0;0.500
XDP_DROP;0;0;0.500
XDP_PASS;0;0;0.500
XDP_ABORTED;0;0;0.601
XDP_DROP;0;0;0.601
XDP_PASS;0;0;0.601
XDP_ABORTED;0;0;0.701
XDP_DROP;0;0;0.701
XDP_PASS;0;0;0.701
XDP_ABORTED;0;0;0.801
XDP_DROP;0;0;0.801
XDP_PASS;0;0;0.801
XDP_ABORTED;0;0;0.901
XDP_DROP;0;0;0.901
XDP_PASS;0;0;0.901
XDP_ABORTED;0;0;1.001
XDP_DROP;0;0;1.001
XDP_PASS;0;0;1.001
XDP_ABORTED;0;0;1.101
XDP_DROP;0;0;1.101
XDP_PASS;0;0;1.101
XDP_ABORTED;0;0;1.201
XDP_DROP;0;0;1.201
XDP_PASS;0;0;1.201
XDP_ABORTED;0;0;1.308
XDP_DROP;0;0;1.308
XDP_PASS;139621;1303251;1.308
XDP_ABORTED;0;0;1.436
XDP_DROP;24088;188674;1.436
XDP_PASS;1441068;10193850;1.436
XDP_ABORTED;0;0;1.548
XDP_DROP;67450;387011;1.548
XDP_PASS;2707736;11305176;1.548
XDP_ABORTED;0;0;1.680
XDP_DROP;126472;447362;1.680
XDP_PASS;4175844;11127657;1.680
XDP_ABORTED;0;0;1.792
XDP_DROP;192667;590862;1.792
XDP_PASS;5441655;11298726;1.792
XDP_ABORTED;0;0;1.932
XDP_DROP;320867;915424;1.932
XDP_PASS;6998662;11117947;1.932
XDP_ABORTED;0;0;2.036
XDP_DROP;467388;1409220;2.036
XDP_PASS;8130230;10883283;2.036
XDP_ABORTED;0;0;2.180
XDP_DROP;751390;1972742;2.180
XDP_PASS;9666486;10671178;2.180
XDP_ABORTED;0;0;2.280
XDP_DROP;1032732;2807222;2.280
XDP_PASS;10707938;10391561;2.280
XDP_ABORTED;0;0;2.408
XDP_DROP;1508767;3724580;2.408
XDP_PASS;12012644;10208252;2.408
XDP_ABORTED;0;0;2.512
XDP_DROP;2019139;4908802;2.512
XDP_PASS;13021163;9700015;2.512
XDP_ABORTED;0;0;2.628
XDP_DROP;2698607;5855355;2.628
XDP_PASS;14051177;8876207;2.628
