XDP_action;packets;packets/sec;time
XDP_ABORTED;0;0;0.000
XDP_DROP;0;0;0.000
XDP_PASS;0;0;0.000
XDP_ABORTED;0;0;0.100
XDP_DROP;0;0;0.100
XDP_PASS;0;0;0.100
XDP_ABORTED;0;0;0.200
XDP_DROP;0;0;0.200
XDP_PASS;0;0;0.200
XDP_ABORTED;0;0;0.300
XDP_DROP;0;0;0.300
XDP_PASS;0;0;0.300
XDP_ABORTED;0;0;0.400
XDP_DROP;0;0;0.400
XDP_PASS;0;0;0.400
XDP_ABORTED;0;0;0.501
XDP_DROP;0;0;0.501
XDP_PASS;0;0;0.501
XDP_ABORTED;0;0;0.601
XDP_DROP;0;0;0.601
XDP_PASS;0;0;0.601
XDP_ABORTED;0;0;0.701
XDP_DROP;0;0;0.701
XDP_PASS;0;0;0.701
XDP_ABORTED;0;0;0.801
XDP_DROP;0;0;0.801
XDP_PASS;0;0;0.801
XDP_ABORTED;0;0;0.901
XDP_DROP;0;0;0.901
XDP_PASS;0;0;0.901
XDP_ABORTED;0;0;1.001
XDP_DROP;0;0;1.001
XDP_PASS;0;0;1.001
XDP_ABORTED;0;0;1.101
XDP_DROP;0;0;1.101
XDP_PASS;0;0;1.101
XDP_ABORTED;0;0;1.201
XDP_DROP;0;0;1.201
XDP_PASS;0;0;1.201
XDP_ABORTED;0;0;1.301
XDP_DROP;0;0;1.301
XDP_PASS;0;0;1.301
XDP_ABORTED;0;0;1.412
XDP_DROP;0;0;1.412
XDP_PASS;401319;3635216;1.412
XDP_ABORTED;0;0;1.515
XDP_DROP;0;0;1.515
XDP_PASS;1907608;14517989;1.515
XDP_ABORTED;0;0;1.620
XDP_DROP;0;0;1.620
XDP_PASS;3474848;15045147;1.620
XDP_ABORTED;0;0;1.728
XDP_DROP;620;5745;1.728
XDP_PASS;5093424;14997356;1.728
XDP_ABORTED;0;0;1.864
XDP_DROP;9916;68300;1.864
XDP_PASS;7094841;14704981;1.864
XDP_ABORTED;0;0;1.972
XDP_DROP;27513;163206;1.972
XDP_PASS;8673024;14637098;1.972
XDP_ABORTED;0;0;2.080
XDP_DROP;60339;303874;2.080
XDP_PASS;10234703;14456631;2.080
XDP_ABORTED;0;0;2.187
XDP_DROP;110860;468002;2.187
XDP_PASS;11784160;14353427;2.187
XDP_ABORTED;0;0;2.292
XDP_DROP;185266;715317;2.292
XDP_PASS;13281758;14397459;2.292
XDP_ABORTED;0;0;2.396
XDP_DROP;279752;907653;2.396
XDP_PASS;14782572;14417157;2.396
XDP_ABORTED;0;0;2.520
XDP_DROP;434131;1240755;2.520
XDP_PASS;16549247;14198883;2.520
XDP_ABORTED;0;0;2.631
XDP_DROP;606967;1550776;2.631
