XDP_action;packets;packets/sec;time
XDP_ABORTED;0;0;0.000
XDP_DROP;0;0;0.000
XDP_PASS;0;0;0.000
XDP_ABORTED;0;0;0.100
XDP_DROP;0;0;0.100
XDP_PASS;25;0;0.100
XDP_ABORTED;0;0;0.200
XDP_DROP;0;0;0.200
XDP_PASS;25;0;0.200
XDP_ABORTED;0;0;0.301
XDP_DROP;0;0;0.301
XDP_PASS;25;0;0.301
XDP_ABORTED;0;0;0.401
XDP_DROP;0;0;0.401
XDP_PASS;25;0;0.401
XDP_ABORTED;0;0;0.501
XDP_DROP;0;0;0.501
XDP_PASS;25;0;0.501
XDP_ABORTED;0;0;0.601
XDP_DROP;0;0;0.601
XDP_PASS;25;0;0.601
XDP_ABORTED;0;0;0.701
XDP_DROP;0;0;0.701
XDP_PASS;25;0;0.701
XDP_ABORTED;0;0;0.802
XDP_DROP;0;0;0.802
XDP_PASS;4289;42565;0.802
XDP_ABORTED;0;0;0.902
XDP_DROP;0;0;0.902
XDP_PASS;704064;6984792;0.902
XDP_ABORTED;0;0;1.002
XDP_DROP;0;0;1.002
XDP_PASS;1717060;10102835;1.002
XDP_ABORTED;0;0;1.102
XDP_DROP;0;0;1.102
XDP_PASS;2729057;10097893;1.102
XDP_ABORTED;0;0;1.202
XDP_DROP;0;0;1.202
XDP_PASS;3740692;10099839;1.202
XDP_ABORTED;0;0;1.303
XDP_DROP;0;0;1.303
XDP_PASS;4753607;10103313;1.303
XDP_ABORTED;0;0;1.403
XDP_DROP;0;0;1.403
XDP_PASS;5766087;10097245;1.403
XDP_ABORTED;0;0;1.503
XDP_DROP;9796;97811;1.503
XDP_PASS;6765192;9975835;1.503
XDP_ABORTED;0;0;1.603
XDP_DROP;45518;356326;1.603
XDP_PASS;7741612;9739766;1.603
XDP_ABORTED;0;0;1.704
XDP_DROP;108037;623758;1.704
XDP_PASS;8691534;9477442;1.704
XDP_ABORTED;0;0;1.804
XDP_DROP;193439;852121;1.804
XDP_PASS;9618474;9248808;1.804
XDP_ABORTED;0;0;1.904
XDP_DROP;303141;1095326;1.904
XDP_PASS;10520242;9003744;1.904
XDP_ABORTED;0;0;2.004
XDP_DROP;432990;1296744;2.004
XDP_PASS;11401873;8804461;2.004
XDP_ABORTED;0;0;2.104
XDP_DROP;577549;1441566;2.104
XDP_PASS;12251946;8477069;2.104
XDP_ABORTED;0;0;2.204
XDP_DROP;746921;1691417;2.204
XDP_PASS;13093656;8405664;2.204
XDP_ABORTED;0;0;2.305
XDP_DROP;909073;1616515;2.305
XDP_PASS;13817055;7211660;2.305
XDP_ABORTED;0;0;2.405
XDP_DROP;1076207;1668835;2.405
XDP_PASS;14528887;7107651;2.405
