XDP_action;packets;packets/sec;time
XDP_ABORTED;0;0;0.000000
XDP_DROP;0;0;0.000000
XDP_PASS;0;0;0.000000
XDP_ABORTED;0;0;0.100233
XDP_DROP;0;0;0.100239
XDP_PASS;0;0;0.100241
XDP_ABORTED;0;0;0.200407
XDP_DROP;0;0;0.200414
XDP_PASS;0;0;0.200416
XDP_ABORTED;0;0;0.300580
XDP_DROP;0;0;0.300585
XDP_PASS;0;0;0.300588
XDP_ABORTED;0;0;0.400751
XDP_DROP;0;0;0.400757
XDP_PASS;0;0;0.400759
XDP_ABORTED;0;0;0.500923
XDP_DROP;0;0;0.500929
XDP_PASS;0;0;0.500932
XDP_ABORTED;0;0;0.601081
XDP_DROP;0;0;0.601088
XDP_PASS;275219;2747834;0.601090
XDP_ABORTED;0;0;0.701342
XDP_DROP;0;0;0.701349
XDP_PASS;779085;5025546;0.701351
XDP_ABORTED;0;0;0.801508
XDP_DROP;92;918;0.801515
XDP_PASS;1285039;5051154;0.801517
XDP_ABORTED;0;0;0.901693
XDP_DROP;34097;339422;0.901700
XDP_PASS;1756704;4707929;0.901702
XDP_ABORTED;0;0;1.001852
XDP_DROP;115719;814941;1.001857
XDP_PASS;2180822;4234600;1.001858
XDP_ABORTED;0;0;1.102007
XDP_DROP;247695;1317714;1.102012
XDP_PASS;2553617;3722170;1.102013
XDP_ABORTED;0;0;1.202264
XDP_DROP;427209;1790519;1.202270
XDP_PASS;2880878;3264178;1.202271
XDP_ABORTED;0;0;1.302523
XDP_DROP;639809;2120483;1.302530
XDP_PASS;3174689;2930460;1.302532
XDP_ABORTED;0;0;1.402788
XDP_DROP;906616;2661024;1.402795
XDP_PASS;3413807;2384872;1.402797
XDP_ABORTED;0;0;1.503051
XDP_DROP;1222541;3150971;1.503058
XDP_PASS;3604050;1897435;1.503060
XDP_ABORTED;0;0;1.603321
XDP_DROP;1591045;3675113;1.603328
XDP_PASS;3741303;1368836;1.603330
XDP_ABORTED;0;0;1.703500
XDP_DROP;2001325;4095447;1.703507
XDP_PASS;3836712;952378;1.703510
XDP_ABORTED;0;0;1.803699
XDP_DROP;2442578;4403743;1.803707
XDP_PASS;3901348;645073;1.803709
XDP_ABORTED;0;0;1.903874
XDP_DROP;2927985;4845661;1.903880
XDP_PASS;3921861;204774;1.903883
XDP_ABORTED;0;0;2.004100
