XDP_action;packets;packets/sec;time
XDP_ABORTED;0;0;0.000
XDP_DROP;0;0;0.000
XDP_PASS;0;0;0.000
XDP_ABORTED;0;0;0.100
XDP_DROP;0;0;0.100
XDP_PASS;0;0;0.100
XDP_ABORTED;0;0;0.200
XDP_DROP;0;0;0.200
XDP_PASS;0;0;0.200
XDP_ABORTED;0;0;0.301
XDP_DROP;0;0;0.301
XDP_PASS;0;0;0.301
XDP_ABORTED;0;0;0.401
XDP_DROP;0;0;0.401
XDP_PASS;0;0;0.401
XDP_ABORTED;0;0;0.501
XDP_DROP;0;0;0.501
XDP_PASS;0;0;0.501
XDP_ABORTED;0;0;0.601
XDP_DROP;0;0;0.601
XDP_PASS;0;0;0.601
XDP_ABORTED;0;0;0.702
XDP_DROP;0;0;0.702
XDP_PASS;11319;112792;0.702
XDP_ABORTED;0;0;0.802
XDP_DROP;0;0;0.802
XDP_PASS;116903;1050072;0.802
XDP_ABORTED;0;0;0.902
XDP_DROP;0;0;0.902
XDP_PASS;222064;1049744;0.902
XDP_ABORTED;0;0;1.002
XDP_DROP;0;0;1.002
XDP_PASS;327266;1049982;1.002
XDP_ABORTED;0;0;1.103
XDP_DROP;28;279;1.103
XDP_PASS;432513;1049660;1.103
XDP_ABORTED;0;0;1.203
XDP_DROP;55546;554099;1.203
XDP_PASS;482214;496042;1.203
XDP_ABORTED;0;0;1.303
XDP_DROP;155799;1000108;1.303
XDP_PASS;487226;49996;1.303
XDP_ABORTED;0;0;1.403
XDP_DROP;256014;999872;1.403
XDP_PASS;492236;49989;1.403
XDP_ABORTED;0;0;1.504
XDP_DROP;356226;999946;1.504
XDP_PASS;497247;50001;1.504
XDP_ABORTED;0;0;1.604
XDP_DROP;456493;1000224;1.604
XDP_PASS;502261;50018;1.604
XDP_ABORTED;0;0;1.704
XDP_DROP;556746;1000158;1.704
XDP_PASS;507273;50001;1.704
XDP_ABORTED;0;0;1.804
XDP_DROP;656940;999827;1.804
XDP_PASS;512283;49992;1.804
XDP_ABORTED;0;0;1.905
XDP_DROP;757166;999976;1.905
XDP_PASS;517294;49998;1.905
XDP_ABORTED;0;0;2.005
XDP_DROP;857380;999956;2.005
XDP_PASS;522305;50001;2.005
XDP_ABORTED;0;0;2.105
XDP_DROP;957603;999879;2.105
XDP_PASS;527317;50002;2.105
XDP_ABORTED;0;0;2.205
XDP_DROP;1057819;1000187;2.205
XDP_PASS;532327;49999;2.205
XDP_ABORTED;0;0;2.305
XDP_DROP;1158041;999981;2.305
XDP_PASS;537338;50000;2.305
XDP_ABORTED;0;0;2.406
XDP_DROP;1258213;999877;2.406
XDP_PASS;542347;49998;2.406
XDP_ABORTED;0;0;2.506
