XDP_action;packets;packets/sec;time
XDP_ABORTED;0;0;0.000
XDP_DROP;0;0;0.000
XDP_PASS;0;0;0.000
XDP_ABORTED;0;0;0.100
XDP_DROP;0;0;0.100
XDP_PASS;0;0;0.100
XDP_ABORTED;0;0;0.200
XDP_DROP;0;0;0.200
XDP_PASS;0;0;0.200
XDP_ABORTED;0;0;0.301
XDP_DROP;0;0;0.301
XDP_PASS;0;0;0.301
XDP_ABORTED;0;0;0.401
XDP_DROP;0;0;0.401
XDP_PASS;0;0;0.401
XDP_ABORTED;0;0;0.501
XDP_DROP;0;0;0.501
XDP_PASS;285651;2848944;0.501
XDP_ABORTED;0;0;0.601
XDP_DROP;0;0;0.601
XDP_PASS;1091850;8045534;0.601
XDP_ABORTED;0;0;0.702
XDP_DROP;0;0;0.702
XDP_PASS;1886257;7925422;0.702
XDP_ABORTED;0;0;0.802
XDP_DROP;0;0;0.802
XDP_PASS;2675283;7872818;0.802
XDP_ABORTED;0;0;0.902
XDP_DROP;0;0;0.902
XDP_PASS;3494224;8178459;0.902
XDP_ABORTED;0;0;1.002
XDP_DROP;289171;2888047;1.002
XDP_PASS;4129300;6342724;1.002
XDP_ABORTED;0;0;1.102
XDP_DROP;1244007;9529976;1.102
XDP_PASS;4276429;1468428;1.102
XDP_ABORTED;0;0;1.203
XDP_DROP;2200034;9534181;1.203
XDP_PASS;4423746;1469159;1.203
XDP_ABORTED;0;0;1.303
XDP_DROP;3155917;9530778;1.303
XDP_PASS;4571105;1469268;1.303
XDP_ABORTED;0;0;1.403
XDP_DROP;4111385;9530276;1.403
XDP_PASS;4718340;1468586;1.403
XDP_ABORTED;0;0;1.503
XDP_DROP;5067498;9533279;1.503
XDP_PASS;4865648;1468793;1.503
XDP_ABORTED;0;0;1.604
XDP_DROP;6022834;9532611;1.604
XDP_PASS;5012889;1469211;1.604
XDP_ABORTED;0;0;1.704
XDP_DROP;6979097;9529771;1.704
XDP_PASS;5160226;1468306;1.704
XDP_ABORTED;0;0;1.804
XDP_DROP;7934836;9529844;1.804
XDP_PASS;5307523;1468725;1.804
XDP_ABORTED;0;0;1.905
XDP_DROP;8890576;9530406;1.905
XDP_PASS;5454793;1468538;1.905
XDP_ABORTED;0;0;2.005
XDP_DROP;9845882;9533862;2.005
XDP_PASS;5601969;1468805;2.005
XDP_ABORTED;0;0;2.105
XDP_DROP;10800958;9530939;2.105
XDP_PASS;5749165;1468903;2.105
XDP_ABORTED;0;0;2.205
XDP_DROP;11757185;9531124;2.205
XDP_PASS;5896547;1469022;2.205
XDP_ABORTED;0;0;2.305
XDP_DROP;12712149;9531658;2.305
XDP_PASS;6043688;1468639;2.305
