XDP_action;packets;packets/sec;time
XDP_ABORTED;0;0;0.000
XDP_DROP;0;0;0.000
XDP_PASS;0;0;0.000
XDP_ABORTED;0;0;0.100
XDP_DROP;0;0;0.100
XDP_PASS;0;0;0.100
XDP_ABORTED;0;0;0.200
XDP_DROP;0;0;0.200
XDP_PASS;0;0;0.200
XDP_ABORTED;0;0;0.301
XDP_DROP;0;0;0.301
XDP_PASS;0;0;0.301
XDP_ABORTED;0;0;0.401
XDP_DROP;0;0;0.401
XDP_PASS;0;0;0.401
XDP_ABORTED;0;0;0.501
XDP_DROP;0;0;0.501
XDP_PASS;0;0;0.501
XDP_ABORTED;0;0;0.601
XDP_DROP;0;0;0.601
XDP_PASS;0;0;0.601
XDP_ABORTED;0;0;0.701
XDP_DROP;0;0;0.701
XDP_PASS;0;0;0.701
XDP_ABORTED;0;0;0.801
XDP_DROP;0;0;0.801
XDP_PASS;0;0;0.801
XDP_ABORTED;0;0;0.902
XDP_DROP;0;0;0.902
XDP_PASS;198268;1979448;0.902
XDP_ABORTED;0;0;1.002
XDP_DROP;0;0;1.002
XDP_PASS;307284;1088655;1.002
XDP_ABORTED;0;0;1.102
XDP_DROP;0;0;1.102
XDP_PASS;383340;759344;1.102
XDP_ABORTED;0;0;1.202
XDP_DROP;0;0;1.202
XDP_PASS;428442;450363;1.202
XDP_ABORTED;0;0;1.302
XDP_DROP;0;0;1.302
XDP_PASS;428442;0;1.302
XDP_ABORTED;0;0;1.402
XDP_DROP;0;0;1.402
XDP_PASS;476300;477747;1.402
XDP_ABORTED;0;0;1.503
XDP_DROP;0;0;1.503
XDP_PASS;542457;659500;1.503
XDP_ABORTED;0;0;1.603
XDP_DROP;0;0;1.603
XDP_PASS;655074;1124013;1.603
XDP_ABORTED;0;0;1.703
XDP_DROP;9422;94066;1.703
XDP_PASS;721850;666668;1.703
XDP_ABORTED;0;0;1.803
XDP_DROP;16407;69738;1.803
XDP_PASS;776245;543077;1.803
XDP_ABORTED;0;0;1.903
XDP_DROP;17819;14108;1.903
XDP_PASS;817526;412459;1.903
XDP_ABORTED;0;0;2.003
XDP_DROP;20353;25307;2.003
XDP_PASS;843935;263739;2.003
XDP_ABORTED;0;0;2.104
XDP_DROP;24989;46291;2.104
XDP_PASS;860398;164386;2.104
XDP_ABORTED;0;0;2.204
XDP_DROP;35057;100557;2.204
XDP_PASS;897263;368202;2.204
XDP_ABORTED;0;0;2.304
XDP_DROP;45143;100696;2.304
XDP_PASS;917422;201259;2.304
XDP_ABORTED;0;0;2.404
XDP_DROP;58683;135037;2.404
XDP_PASS;980986;633946;2.404
XDP_ABORTED;0;0;2.504
XDP_DROP;71190;124893;2.504
