XDP_action;packets;packets/sec;time
XDP_ABORTED;0;0;0.000
XDP_DROP;0;0;0.000
XDP_PASS;0;0;0.000
XDP_ABORTED;0;0;0.100
XDP_DROP;0;0;0.100
XDP_PASS;0;0;0.100
XDP_ABORTED;0;0;0.200
XDP_DROP;0;0;0.200
XDP_PASS;0;0;0.200
XDP_ABORTED;0;0;0.301
XDP_DROP;0;0;0.301
XDP_PASS;0;0;0.301
XDP_ABORTED;0;0;0.401
XDP_DROP;0;0;0.401
XDP_PASS;0;0;0.401
XDP_ABORTED;0;0;0.501
XDP_DROP;0;0;0.501
XDP_PASS;0;0;0.501
XDP_ABORTED;0;0;0.601
XDP_DROP;0;0;0.601
XDP_PASS;0;0;0.601
XDP_ABORTED;0;0;0.701
XDP_DROP;0;0;0.701
XDP_PASS;0;0;0.701
XDP_ABORTED;0;0;0.802
XDP_DROP;0;0;0.802
XDP_PASS;571104;5689153;0.802
XDP_ABORTED;0;0;0.902
XDP_DROP;0;0;0.902
XDP_PASS;1548888;9761251;0.902
XDP_ABORTED;0;0;1.002
XDP_DROP;0;0;1.002
XDP_PASS;2549181;9987244;1.002
XDP_ABORTED;0;0;1.102
XDP_DROP;8357;83438;1.102
XDP_PASS;3534182;9834431;1.102
XDP_ABORTED;0;0;1.202
XDP_DROP;54711;462557;1.202
XDP_PASS;4500211;9639789;1.202
XDP_ABORTED;0;0;1.303
XDP_DROP;131150;762516;1.303
XDP_PASS;5436172;9336661;1.303
XDP_ABORTED;0;0;1.403
XDP_DROP;241892;1105556;1.403
XDP_PASS;6337293;8996024;1.403
XDP_ABORTED;0;0;1.503
XDP_DROP;387441;1451365;1.503
XDP_PASS;7204448;8646981;1.503
XDP_ABORTED;0;0;1.603
XDP_DROP;567204;1794972;1.603
XDP_PASS;8035158;8294811;1.603
XDP_ABORTED;0;0;1.704
XDP_DROP;777058;2092847;1.704
XDP_PASS;8838239;8009018;1.704
XDP_ABORTED;0;0;1.804
XDP_DROP;1017776;2399727;1.804
XDP_PASS;9610687;7700525;1.804
XDP_ABORTED;0;0;1.904
XDP_DROP;1290504;2722275;1.904
XDP_PASS;10349776;7377316;1.904
XDP_ABORTED;0;0;2.004
XDP_DROP;1597228;3056327;2.004
XDP_PASS;11056683;7043974;2.004
XDP_ABORTED;0;0;2.105
XDP_DROP;1929533;3315501;2.105
XDP_PASS;11734726;6764993;2.105
XDP_ABORTED;0;0;2.205
XDP_DROP;2292706;3619408;2.205
XDP_PASS;12385099;6481674;2.205
XDP_ABORTED;0;0;2.305
XDP_DROP;2682596;3883633;2.305
XDP_PASS;13009117;6215742;2.305
XDP_ABORTED;0;0;2.406
XDP_DROP;3074670;3909941;2.406
