XDP_action;packets;packets/sec;time
XDP_ABORTED;0;0;0.000
XDP_DROP;0;0;0.000
XDP_PASS;0;0;0.000
XDP_ABORTED;0;0;0.100
XDP_DROP;0;0;0.100
XDP_PASS;0;0;0.100
XDP_ABORTED;0;0;0.200
XDP_DROP;0;0;0.200
XDP_PASS;0;0;0.200
XDP_ABORTED;0;0;0.301
XDP_DROP;0;0;0.301
XDP_PASS;0;0;0.301
XDP_ABORTED;0;0;0.401
XDP_DROP;0;0;0.401
XDP_PASS;0;0;0.401
XDP_ABORTED;0;0;0.501
XDP_DROP;0;0;0.501
XDP_PASS;1752;17489;0.501
XDP_ABORTED;0;0;0.601
XDP_DROP;0;0;0.601
XDP_PASS;7756;59935;0.601
XDP_ABORTED;0;0;0.701
XDP_DROP;0;0;0.701
XDP_PASS;13765;60004;0.701
XDP_ABORTED;0;0;0.801
XDP_DROP;0;0;0.801
XDP_PASS;19780;60078;0.801
XDP_ABORTED;0;0;0.902
XDP_DROP;0;0;0.902
XDP_PASS;25781;59941;0.902
XDP_ABORTED;0;0;1.002
XDP_DROP;2;20;1.002
XDP_PASS;31784;59955;1.002
XDP_ABORTED;0;0;1.102
XDP_DROP;45;429;1.102
XDP_PASS;37745;59530;1.102
XDP_ABORTED;0;0;1.202
XDP_DROP;142;968;1.202
XDP_PASS;43669;59147;1.202
XDP_ABORTED;0;0;1.302
XDP_DROP;293;1508;1.302
XDP_PASS;49519;58427;1.302
XDP_ABORTED;0;0;1.402
XDP_DROP;493;1998;1.402
XDP_PASS;55327;58011;1.402
XDP_ABORTED;0;0;1.502
XDP_DROP;744;2507;1.502
XDP_PASS;61087;57534;1.502
XDP_ABORTED;0;0;1.602
XDP_DROP;1051;3066;1.602
XDP_PASS;66791;56974;1.602
XDP_ABORTED;0;0;1.703
XDP_DROP;1400;3486;1.703
XDP_PASS;72439;56412;1.703
XDP_ABORTED;0;0;1.803
XDP_DROP;1795;3945;1.803
XDP_PASS;78053;56074;1.803
XDP_ABORTED;0;0;1.903
XDP_DROP;2240;4445;1.903
XDP_PASS;83612;55525;1.903
XDP_ABORTED;0;0;2.003
XDP_DROP;2736;4954;2.003
XDP_PASS;89128;55097;2.003
XDP_ABORTED;0;0;2.103
XDP_DROP;3283;5462;2.103
XDP_PASS;94589;54532;2.103
XDP_ABORTED;0;0;2.203
XDP_DROP;3876;5921;2.203
XDP_PASS;100005;54081;2.203
XDP_ABORTED;0;0;2.303
XDP_DROP;4511;6342;2.303
XDP_PASS;105379;53669;2.303
XDP_ABORTED;0;0;2.403
XDP_DROP;5204;6922;2.403
XDP_PASS;110697;53117;2.403
XDP_ABORTED;0;0;2.504
