XDP_action;packets;packets/sec;time
XDP_ABORTED;0;0;0.000
XDP_DROP;0;0;0.000
XDP_PASS;0;0;0.000
XDP_ABORTED;0;0;0.100
XDP_DROP;0;0;0.100
XDP_PASS;0;0;0.100
XDP_ABORTED;0;0;0.200
XDP_DROP;0;0;0.200
XDP_PASS;0;0;0.200
XDP_ABORTED;0;0;0.301
XDP_DROP;0;0;0.301
XDP_PASS;0;0;0.301
XDP_ABORTED;0;0;0.401
XDP_DROP;0;0;0.401
XDP_PASS;0;0;0.401
XDP_ABORTED;0;0;0.501
XDP_DROP;0;0;0.501
XDP_PASS;223738;2230943;0.501
XDP_ABORTED;0;0;0.601
XDP_DROP;2138;21339;0.601
XDP_PASS;803788;5789375;0.601
XDP_ABORTED;0;0;0.702
XDP_DROP;51464;491966;0.702
XDP_PASS;1392359;5870266;0.702
XDP_ABORTED;0;0;0.802
XDP_DROP;202546;1508001;0.802
XDP_PASS;1929708;5363474;0.802
XDP_ABORTED;0;0;0.902
XDP_DROP;518049;3150462;0.902
XDP_PASS;2434577;5041370;0.902
XDP_ABORTED;0;0;1.002
XDP_DROP;1093001;5738338;1.002
XDP_PASS;2870055;4346315;1.002
XDP_ABORTED;0;0;1.102
XDP_DROP;2124127;10294958;1.102
XDP_PASS;3213645;3430458;1.102
XDP_ABORTED;0;0;1.202
XDP_DROP;3500150;13740619;1.202
XDP_PASS;3498427;2843764;1.202
XDP_ABORTED;0;0;1.303
XDP_DROP;4991024;14859359;1.303
XDP_PASS;3738521;2392991;1.303
XDP_ABORTED;0;0;1.403
XDP_DROP;6606872;16128620;1.403
XDP_PASS;3928044;1891727;1.403
XDP_ABORTED;0;0;1.503
XDP_DROP;8312981;17031365;1.503
XDP_PASS;4062241;1339632;1.503
XDP_ABORTED;0;0;1.603
XDP_DROP;10182663;18643677;1.603
XDP_PASS;4141756;792889;1.603
XDP_ABORTED;0;0;1.704
XDP_DROP;12148340;19623778;1.704
XDP_PASS;4166454;246565;1.704
XDP_ABORTED;0;0;1.804
XDP_DROP;14150218;19983148;1.804
XDP_PASS;4169283;28240;1.804
XDP_ABORTED;0;0;1.904
XDP_DROP;16156100;20003078;1.904
XDP_PASS;4170286;10002;1.904
XDP_ABORTED;0;0;2.004
XDP_DROP;18158703;19991851;2.004
XDP_PASS;4171290;10023;2.004
XDP_ABORTED;0;0;2.105
XDP_DROP;20084151;19027285;2.105
XDP_PASS;4172244;9427;2.105
XDP_ABORTED;0;0;2.206
XDP_DROP;21512098;14248117;2.206
XDP_PASS;4172963;7174;2.206
XDP_ABORTED;0;0;2.306
XDP_DROP;23515984;19999828;2.306
XDP_PASS;4173963;9981;2.306
