XDP_action;packets;packets/sec;time
XDP_ABORTED;0;0;0.000
XDP_DROP;0;0;0.000
XDP_PASS;0;0;0.000
XDP_ABORTED;0;0;0.100
XDP_DROP;0;0;0.100
XDP_PASS;0;0;0.100
XDP_ABORTED;0;0;0.200
XDP_DROP;0;0;0.200
XDP_PASS;0;0;0.200
XDP_ABORTED;0;0;0.301
XDP_DROP;0;0;0.301
XDP_PASS;0;0;0.301
XDP_ABORTED;0;0;0.401
XDP_DROP;0;0;0.401
XDP_PASS;0;0;0.401
XDP_ABORTED;0;0;0.501
XDP_DROP;0;0;0.501
XDP_PASS;0;0;0.501
XDP_ABORTED;0;0;0.601
XDP_DROP;0;0;0.601
XDP_PASS;73262;730937;0.601
XDP_ABORTED;0;0;0.701
XDP_DROP;0;0;0.701
XDP_PASS;183298;1098221;0.701
XDP_ABORTED;0;0;0.802
XDP_DROP;0;0;0.802
XDP_PASS;293567;1100268;0.802
XDP_ABORTED;0;0;0.902
XDP_DROP;0;0;0.902
XDP_PASS;403822;1100078;0.902
XDP_ABORTED;0;0;1.002
XDP_DROP;82633;824876;1.002
XDP_PASS;431329;274586;1.002
XDP_ABORTED;0;0;1.102
XDP_DROP;182927;1000919;1.102
XDP_PASS;441361;100118;1.102
XDP_ABORTED;0;0;1.202
XDP_DROP;283134;1000023;1.202
XDP_PASS;451382;100005;1.202
XDP_ABORTED;0;0;1.303
XDP_DROP;383298;999752;1.303
XDP_PASS;461394;99931;1.303
XDP_ABORTED;0;0;1.403
XDP_DROP;483481;999790;1.403
XDP_PASS;471412;99976;1.403
XDP_ABORTED;0;0;1.503
XDP_DROP;583666;999770;1.503
XDP_PASS;481431;99982;1.503
XDP_ABORTED;0;0;1.603
XDP_DROP;683895;1000335;1.603
XDP_PASS;491454;100035;1.603
XDP_ABORTED;0;0;1.703
XDP_DROP;784132;1000508;1.703
XDP_PASS;501477;100044;1.703
XDP_ABORTED;0;0;1.804
XDP_DROP;884269;999285;1.804
XDP_PASS;511492;99942;1.804
XDP_ABORTED;0;0;1.904
XDP_DROP;984529;1000485;1.904
XDP_PASS;521517;100039;1.904
XDP_ABORTED;0;0;2.004
XDP_DROP;1084643;999389;2.004
XDP_PASS;531530;99955;2.004
XDP_ABORTED;0;0;2.104
XDP_DROP;1184935;1000896;2.104
XDP_PASS;541559;100088;2.104
XDP_ABORTED;0;0;2.204
XDP_DROP;1285126;999797;2.204
XDP_PASS;551578;99979;2.204
XDP_ABORTED;0;0;2.305
XDP_DROP;1385269;999457;2.305
XDP_PASS;561589;99913;2.305
XDP_ABORTED;0;0;2.405
XDP_DROP;1485488;999923;2.405
XDP_PASS;571612;100003;2.405
