XDP_action;packets;packets/sec;time
XDP_ABORTED;0;0;0.000
XDP_DROP;0;0;0.000
XDP_PASS;0;0;0.000
XDP_ABORTED;0;0;0.100
XDP_DROP;0;0;0.100
XDP_PASS;0;0;0.100
XDP_ABORTED;0;0;0.200
XDP_DROP;0;0;0.200
XDP_PASS;0;0;0.200
XDP_ABORTED;0;0;0.301
XDP_DROP;0;0;0.301
XDP_PASS;0;0;0.301
XDP_ABORTED;0;0;0.401
XDP_DROP;0;0;0.401
XDP_PASS;15571;155302;0.401
XDP_ABORTED;0;0;0.501
XDP_DROP;0;0;0.501
XDP_PASS;116792;1009355;0.501
XDP_ABORTED;0;0;0.601
XDP_DROP;0;0;0.601
XDP_PASS;217847;1009157;0.601
XDP_ABORTED;0;0;0.701
XDP_DROP;0;0;0.701
XDP_PASS;319093;1011036;0.701
XDP_ABORTED;0;0;0.802
XDP_DROP;1561;15581;0.802
XDP_PASS;418649;993682;0.802
XDP_ABORTED;0;0;0.902
XDP_DROP;16325;147341;0.902
XDP_PASS;505155;863309;0.902
XDP_ABORTED;0;0;1.002
XDP_DROP;48720;323413;1.002
XDP_PASS;573997;687278;1.002
XDP_ABORTED;0;0;1.102
XDP_DROP;99978;511824;1.102
XDP_PASS;623873;498024;1.102
XDP_ABORTED;0;0;1.202
XDP_DROP;163663;635756;1.202
XDP_PASS;661306;373685;1.202
XDP_ABORTED;0;0;1.303
XDP_DROP;238763;749329;1.303
XDP_PASS;687466;261016;1.303
XDP_ABORTED;0;0;1.403
XDP_DROP;324293;853284;1.403
XDP_PASS;703171;156680;1.403
XDP_ABORTED;0;0;1.503
XDP_DROP;419989;954935;1.503
XDP_PASS;708718;55353;1.503
XDP_ABORTED;0;0;1.603
XDP_DROP;519412;992024;1.603
XDP_PASS;710489;17671;1.603
XDP_ABORTED;0;0;1.703
XDP_DROP;619695;1000561;1.703
XDP_PASS;711491;9997;1.703
XDP_ABORTED;0;0;1.804
XDP_DROP;719831;999408;1.804
XDP_PASS;712492;9990;1.804
XDP_ABORTED;0;0;1.904
XDP_DROP;820071;1000043;1.904
XDP_PASS;713497;10026;1.904
XDP_ABORTED;0;0;2.004
XDP_DROP;920313;1000276;2.004
XDP_PASS;714498;9989;2.004
XDP_ABORTED;0;0;2.104
XDP_DROP;1020473;999256;2.104
XDP_PASS;715501;10007;2.104
XDP_ABORTED;0;0;2.205
XDP_DROP;1120714;1000120;2.205
XDP_PASS;716501;9977;2.205
XDP_ABORTED;0;0;2.305
XDP_DROP;1220957;1000417;2.305
XDP_PASS;717504;10010;2.305
XDP_ABORTED;0;0;2.405
XDP_DROP;1321223;1000693;2.405
XDP_PASS;718507;10010;2.405
