XDP_action;packets;packets/sec;time
XDP_ABORTED;0;0;0.000
XDP_DROP;0;0;0.000
XDP_PASS;0;0;0.000
XDP_ABORTED;0;0;0.100
XDP_DROP;0;0;0.100
XDP_PASS;0;0;0.100
XDP_ABORTED;0;0;0.200
XDP_DROP;0;0;0.200
XDP_PASS;0;0;0.200
XDP_ABORTED;0;0;0.301
XDP_DROP;0;0;0.301
XDP_PASS;0;0;0.301
XDP_ABORTED;0;0;0.401
XDP_DROP;0;0;0.401
XDP_PASS;111;1108;0.401
XDP_ABORTED;0;0;0.501
XDP_DROP;0;0;0.501
XDP_PASS;11003;108711;0.501
XDP_ABORTED;0;0;0.601
XDP_DROP;0;0;0.601
XDP_PASS;22045;110215;0.601
XDP_ABORTED;0;0;0.701
XDP_DROP;0;0;0.701
XDP_PASS;33067;110013;0.701
XDP_ABORTED;0;0;0.802
XDP_DROP;0;0;0.802
XDP_PASS;44107;110162;0.802
XDP_ABORTED;0;0;0.902
XDP_DROP;0;0;0.902
XDP_PASS;55111;109821;0.902
XDP_ABORTED;0;0;1.002
XDP_DROP;0;0;1.002
XDP_PASS;66141;110082;1.002
XDP_ABORTED;0;0;1.102
XDP_DROP;0;0;1.102
XDP_PASS;77155;109926;1.102
XDP_ABORTED;0;0;1.202
XDP_DROP;0;0;1.202
XDP_PASS;88175;109989;1.202
XDP_ABORTED;0;0;1.303
XDP_DROP;0;0;1.303
XDP_PASS;99221;110206;1.303
XDP_ABORTED;0;0;1.403
XDP_DROP;0;0;1.403
XDP_PASS;110221;109792;1.403
XDP_ABORTED;0;0;1.503
XDP_DROP;0;0;1.503
XDP_PASS;121230;109857;1.503
XDP_ABORTED;0;0;1.603
XDP_DROP;0;0;1.603
XDP_PASS;132265;110152;1.603
XDP_ABORTED;0;0;1.703
XDP_DROP;0;0;1.703
XDP_PASS;143285;109995;1.703
XDP_ABORTED;0;0;1.804
XDP_DROP;0;0;1.804
XDP_PASS;154325;110164;1.804
XDP_ABORTED;0;0;1.904
XDP_DROP;0;0;1.904
XDP_PASS;165331;109891;1.904
XDP_ABORTED;0;0;2.004
XDP_DROP;0;0;2.004
XDP_PASS;176331;109796;2.004
XDP_ABORTED;0;0;2.104
XDP_DROP;0;0;2.104
XDP_PASS;187375;110218;2.104
XDP_ABORTED;0;0;2.204
XDP_DROP;0;0;2.204
XDP_PASS;198387;109886;2.204
XDP_ABORTED;0;0;2.305
XDP_DROP;0;0;2.305
XDP_PASS;209431;110242;2.305
XDP_ABORTED;0;0;2.405
XDP_DROP;1414;14114;2.405
XDP_PASS;219027;95782;2.405
XDP_ABORTED;0;0;2.505
XDP_DROP;6084;46614;2.505
