XDP_action;packets;packets/sec;time
XDP_ABORTED;0;0;0.000
XDP_DROP;0;0;0.000
XDP_PASS;0;0;0.000
XDP_ABORTED;0;0;0.100
XDP_DROP;0;0;0.100
XDP_PASS;0;0;0.100
XDP_ABORTED;0;0;0.200
XDP_DROP;0;0;0.200
XDP_PASS;0;0;0.200
XDP_ABORTED;0;0;0.301
XDP_DROP;0;0;0.301
XDP_PASS;0;0;0.301
XDP_ABORTED;0;0;0.401
XDP_DROP;0;0;0.401
XDP_PASS;21169;210878;0.401
XDP_ABORTED;0;0;0.501
XDP_DROP;0;0;0.501
XDP_PASS;620765;5978824;0.501
XDP_ABORTED;0;0;0.602
XDP_DROP;0;0;0.602
XDP_PASS;1551786;9220788;0.602
XDP_ABORTED;0;0;0.703
XDP_DROP;0;0;0.703
XDP_PASS;2523694;9696260;0.703
XDP_ABORTED;0;0;0.803
XDP_DROP;0;0;0.803
XDP_PASS;3482558;9574285;0.803
XDP_ABORTED;0;0;0.903
XDP_DROP;1758;17531;0.903
XDP_PASS;4439795;9545858;0.903
XDP_ABORTED;0;0;1.003
XDP_DROP;73465;715185;1.003
XDP_PASS;5340108;8979442;1.003
XDP_ABORTED;0;0;1.103
XDP_DROP;360974;2868683;1.103
XDP_PASS;6026519;6848831;1.103
XDP_ABORTED;0;0;1.204
XDP_DROP;960062;5982784;1.204
XDP_PASS;6398144;3711228;1.204
XDP_ABORTED;0;0;1.304
XDP_DROP;1872681;9108311;1.304
XDP_PASS;6484081;857685;1.304
XDP_ABORTED;0;0;1.404
XDP_DROP;2867764;9927924;1.404
XDP_PASS;6492480;83795;1.404
XDP_ABORTED;0;0;1.504
XDP_DROP;3869239;9987016;1.504
XDP_PASS;6494650;21640;1.504
XDP_ABORTED;0;0;1.605
XDP_DROP;4871021;9991985;1.605
XDP_PASS;6495947;12937;1.605
XDP_ABORTED;0;0;1.705
XDP_DROP;5874511;10003688;1.705
XDP_PASS;6496950;9999;1.705
XDP_ABORTED;0;0;1.805
XDP_DROP;6868271;9907624;1.805
XDP_PASS;6497942;9890;1.805
XDP_ABORTED;0;0;1.907
XDP_DROP;7421177;5417509;1.907
XDP_PASS;6498497;5438;1.907
XDP_ABORTED;0;0;2.007
XDP_DROP;8259770;8369520;2.007
XDP_PASS;6499331;8324;2.007
XDP_ABORTED;0;0;2.108
XDP_DROP;9262228;9998686;2.108
XDP_PASS;6500335;10014;2.108
XDP_ABORTED;0;0;2.208
XDP_DROP;10265045;10003709;2.208
XDP_PASS;6501340;10025;2.208
XDP_ABORTED;0;0;2.308
XDP_DROP;11267250;9996831;2.308
XDP_PASS;6502340;9975;2.308
XDP_ABORTED;0;0;2.408
