XDP_action;packets;packets/sec;time
XDP_ABORTED;0;0;0.000
XDP_DROP;0;0;0.000
XDP_PASS;0;0;0.000
XDP_ABORTED;0;0;0.100
XDP_DROP;0;0;0.100
XDP_PASS;0;0;0.100
XDP_ABORTED;0;0;0.200
XDP_DROP;0;0;0.200
XDP_PASS;0;0;0.200
XDP_ABORTED;0;0;0.301
XDP_DROP;0;0;0.301
XDP_PASS;0;0;0.301
XDP_ABORTED;0;0;0.401
XDP_DROP;0;0;0.401
XDP_PASS;0;0;0.401
XDP_ABORTED;0;0;0.501
XDP_DROP;0;0;0.501
XDP_PASS;8474;84611;0.501
XDP_ABORTED;0;0;0.601
XDP_DROP;0;0;0.601
XDP_PASS;19502;110086;0.601
XDP_ABORTED;0;0;0.701
XDP_DROP;0;0;0.701
XDP_PASS;30509;109902;0.701
XDP_ABORTED;0;0;0.802
XDP_DROP;0;0;0.802
XDP_PASS;41547;110164;0.802
XDP_ABORTED;0;0;0.902
XDP_DROP;0;0;0.902
XDP_PASS;52551;109837;0.902
XDP_ABORTED;0;0;1.002
XDP_DROP;0;0;1.002
XDP_PASS;63579;110062;1.002
XDP_ABORTED;0;0;1.102
XDP_DROP;0;0;1.102
XDP_PASS;74590;109924;1.102
XDP_ABORTED;0;0;1.202
XDP_DROP;0;0;1.202
XDP_PASS;85613;110033;1.202
XDP_ABORTED;0;0;1.302
XDP_DROP;0;0;1.302
XDP_PASS;96637;110028;1.302
XDP_ABORTED;0;0;1.403
XDP_DROP;0;0;1.403
XDP_PASS;107658;109994;1.403
XDP_ABORTED;0;0;1.503
XDP_DROP;0;0;1.503
XDP_PASS;118683;110040;1.503
XDP_ABORTED;0;0;1.603
XDP_DROP;0;0;1.603
XDP_PASS;129699;109962;1.603
XDP_ABORTED;0;0;1.703
XDP_DROP;0;0;1.703
XDP_PASS;140720;109998;1.703
XDP_ABORTED;0;0;1.803
XDP_DROP;0;0;1.803
XDP_PASS;151735;109936;1.803
XDP_ABORTED;0;0;1.904
XDP_DROP;0;0;1.904
XDP_PASS;162768;110120;1.904
XDP_ABORTED;0;0;2.004
XDP_DROP;0;0;2.004
XDP_PASS;173790;110005;2.004
XDP_ABORTED;0;0;2.104
XDP_DROP;0;0;2.104
XDP_PASS;184808;109959;2.104
XDP_ABORTED;0;0;2.204
XDP_DROP;0;0;2.204
XDP_PASS;195833;110050;2.204
XDP_ABORTED;0;0;2.304
XDP_DROP;0;0;2.304
XDP_PASS;206844;109899;2.304
XDP_ABORTED;0;0;2.405
XDP_DROP;1469;14656;2.405
XDP_PASS;216409;95432;2.405
XDP_ABORTED;0;0;2.505
XDP_DROP;11496;100075;2.505
XDP_PASS;217411;10001;2.505
