XDP_action;packets;packets/sec;time
XDP_ABORTED;0;0;0.000
XDP_DROP;0;0;0.000
XDP_PASS;0;0;0.000
XDP_ABORTED;0;0;0.100
XDP_DROP;0;0;0.100
XDP_PASS;0;0;0.100
XDP_ABORTED;0;0;0.200
XDP_DROP;0;0;0.200
XDP_PASS;0;0;0.200
XDP_ABORTED;0;0;0.301
XDP_DROP;0;0;0.301
XDP_PASS;0;0;0.301
XDP_ABORTED;0;0;0.401
XDP_DROP;0;0;0.401
XDP_PASS;187361;1870395;0.401
XDP_ABORTED;0;0;0.501
XDP_DROP;0;0;0.501
XDP_PASS;1050907;8603967;0.501
XDP_ABORTED;0;0;0.601
XDP_DROP;788;7869;0.601
XDP_PASS;1992299;9401072;0.601
XDP_ABORTED;0;0;0.702
XDP_DROP;9018;82148;0.702
XDP_PASS;2934611;9405712;0.702
XDP_ABORTED;0;0;0.802
XDP_DROP;25465;164026;0.802
XDP_PASS;3917061;9797944;0.802
XDP_ABORTED;0;0;0.902
XDP_DROP;47064;215554;0.902
XDP_PASS;4898720;9796787;0.902
XDP_ABORTED;0;0;1.002
XDP_DROP;74382;272768;1.002
XDP_PASS;5869503;9693187;1.002
XDP_ABORTED;0;0;1.102
XDP_DROP;107428;330019;1.102
XDP_PASS;6837695;9668989;1.102
XDP_ABORTED;0;0;1.203
XDP_DROP;147204;396712;1.203
XDP_PASS;7801123;9608906;1.203
XDP_ABORTED;0;0;1.303
XDP_DROP;193601;463365;1.303
XDP_PASS;8756385;9540158;1.303
XDP_ABORTED;0;0;1.403
XDP_DROP;246624;527970;1.403
XDP_PASS;9707053;9466161;1.403
XDP_ABORTED;0;0;1.503
XDP_DROP;311483;647791;1.503
XDP_PASS;10642721;9345151;1.503
XDP_ABORTED;0;0;1.603
XDP_DROP;387592;759543;1.603
XDP_PASS;11569558;9249529;1.603
XDP_ABORTED;0;0;1.704
XDP_DROP;477227;895174;1.704
XDP_PASS;12469359;8986213;1.704
XDP_ABORTED;0;0;1.804
XDP_DROP;583671;1058548;1.804
XDP_PASS;13369410;8950668;1.804
XDP_ABORTED;0;0;1.904
XDP_DROP;634524;507044;1.904
XDP_PASS;13728614;3581542;1.904
XDP_ABORTED;0;0;2.005
XDP_DROP;771150;1363754;2.005
XDP_PASS;14558698;8285629;2.005
XDP_ABORTED;0;0;2.105
XDP_DROP;943789;1721440;2.105
XDP_PASS;15383972;8229073;2.105
XDP_ABORTED;0;0;2.205
XDP_DROP;1158234;2142062;2.205
XDP_PASS;16170087;7852408;2.205
XDP_ABORTED;0;0;2.305
XDP_DROP;1415699;2571579;2.305
XDP_PASS;16914640;7436648;2.305
XDP_ABORTED;0;0;2.405
